Period,Total Pendapatan,Pendapatan Bunga Dan Syariah,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga Dan Syariah,Total
12M 2011,2755461000000.0,2755461000000.0,2755461000000.0,-816121000000.0,-816121000000.0,
12M 2012,2883065000000.0,2883065000000.0,2883065000000.0,-904646000000.0,-904646000000.0,
12M 2013,3385537000000.0,3385537000000.0,3385537000000.0,-913320000000.0,-913320000000.0,
12M 2014,4083943000000.0,4083943000000.0,4083943000000.0,-1203004000000.0,-1203004000000.0,
12M 2015,4703655000000.0,4703655000000.0,4703655000000.0,-1579710000000.0,-1579710000000.0,
12M 2016,4904378000000.0,4904378000000.0,4904378000000.0,-1446372000000.0,-1446372000000.0,
12M 2017,4889674000000.0,4889674000000.0,4889674000000.0,-1404762000000.0,-1404762000000.0,
12M 2018,5200739000000.0,5200739000000.0,5200739000000.0,-1512632000000.0,-1512632000000.0,
12M 2019,5839016000000.0,5839016000000.0,5839016000000.0,-1839415000000.0,-1839415000000.0,
12M 2020,6088742000000.0,6088742000000.0,6088742000000.0,-2031472000000.0,-2031472000000.0,
12M 2021,6655168000000.0,6655168000000.0,6655168000000.0,-1977487000000.0,-1977487000000.0,
12M 2022,6882651000000.0,6882651000000.0,6882651000000.0,-1965595000000.0,-1965595000000.0,
12M 2023,7357284000000.0,7357284000000.0,7357284000000.0,-2316184000000.0,-2316184000000.0,
12M 2024,8381809000000.0,8381809000000.0,8381809000000.0,-2656211000000.0,-2656211000000.0,
