Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.29,231.23,0.29,231.23,91 B,,91 B,82 B,950 B
12M 2009,0.43,227.86,0.43,227.77,195 B,,195 B,181 B,"1,004 B"
12M 2010,0.74,143.88,0.74,143.86,578 B,,578 B,387 B,"1,116 B"
12M 2011,1.78,145.76,1.78,145.73,673 B,,673 B,585 B,"1,089 B"
12M 2012,1.21,152.80,1.21,152.77,748 B,248 B,996 B,919 B,"1,429 B"
12M 2013,0.89,172.87,0.89,172.70,"1,149 B","1,291 B","2,440 B","1,947 B","5,205 B"
12M 2014,0.58,174.85,0.58,174.85,"1,295 B",419 B,"1,714 B","1,418 B","4,652 B"
12M 2015,0.34,168.35,0.34,168.30,"1,800 B",400 B,"2,200 B","1,632 B",963 B
12M 2016,0.49,184.72,0.49,184.66,"1,585 B",413 B,"1,998 B","1,691 B","1,170 B"
12M 2017,0.77,165.65,0.77,165.61,"1,015 B","1,091 B","2,106 B","1,518 B","1,643 B"
12M 2018,0.62,171.14,0.62,171.11,"1,132 B","1,393 B","2,524 B","2,274 B","1,454 B"
12M 2019,0.48,172.17,0.48,172.14,"1,778 B","2,177 B","3,954 B","3,586 B","1,423 B"
12M 2020,0.38,130.20,0.38,130.17,"2,100 B","2,070 B","4,170 B","4,023 B","1,319 B"
12M 2021,0.43,134.20,0.43,134.17,"1,223 B","1,276 B","2,499 B","2,184 B","2,996 B"
12M 2022,0.38,131.83,0.38,131.80,"1,852 B","1,514 B","3,366 B","3,076 B","2,265 B"
12M 2023,0.58,85.78,0.58,85.77,"2,655 B",902 B,"3,558 B","3,340 B",513 B
12M 2024,0.83,85.88,0.83,85.87,"2,535 B",719 B,"3,254 B","2,980 B",(222 B)
