Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi Dan Entitas Pengendalian Bersama,Aset Tetap,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Obligasi,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Utang Sewa Pembiayaan,Utang Lain-Lain,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Obligasi Konversi,Wesel Bayar,Liabilitas Derivatif,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Utang Obligasi,Wesel Bayar,Utang Sewa Pembiayaan,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Obligasi Konversi,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,118732000.000000,129976000.000000,,129976000.000000,129976000.000000,7350000.000000,,,7350000.000000,15604000.000000,65849000.000000,337511000.000000,,76125000.000000,1993293000.000000,43776000.000000,,47217000.000000,2160411000.000000,2497922000.000000,,,444964000.000000,65225000.000000,,929000.000000,34250000.000000,35179000.000000,45347000.000000,6322000.000000,957000.000000,,138674000.000000,32572000.000000,1181000.000000,,172427000.000000,99560000.000000,,,19947000.000000,444964000.000000,1434666000.000000,,779538000.000000,141575000.000000,249809000.000000,228925000.000000,11228000.000000,,1411075000.000000,,17407000.000000,,2058000.000000,4126000.000000,1434666000.000000,1879630000.000000,,70936000.000000,114824000.000000,274356000.000000,,158176000.000000,618292000.000000,2497922000.000000,5981591235.000000
12M 2010,,,84284000.000000,160166000.000000,236000.000000,159930000.000000,160166000.000000,11820000.000000,,,11820000.000000,16281000.000000,110714000.000000,383265000.000000,,7955000.000000,2347569000.000000,40903000.000000,30000.000000,55789000.000000,2452246000.000000,2835511000.000000,,,371249000.000000,14459000.000000,,3173000.000000,60770000.000000,63943000.000000,44452000.000000,,1665000.000000,,178468000.000000,49383000.000000,13203000.000000,,241054000.000000,,,,5676000.000000,371249000.000000,1780091000.000000,,707562000.000000,148261000.000000,316000000.000000,342769000.000000,17634000.000000,,1532226000.000000,3000.000000,75775000.000000,165057000.000000,1850000.000000,5180000.000000,1780091000.000000,2151340000.000000,,109575000.000000,208826000.000000,140958000.000000,,224812000.000000,684171000.000000,2835511000.000000,11550831470.000000
12M 2011,,,20310000.000000,94519000.000000,161000.000000,94358000.000000,94519000.000000,13023000.000000,,,13023000.000000,21957000.000000,185813000.000000,335622000.000000,,5017000.000000,1281950000.000000,29598000.000000,2125000.000000,71636000.000000,1390326000.000000,1725948000.000000,,,1187807000.000000,86205000.000000,,3855000.000000,92882000.000000,96737000.000000,61078000.000000,147322000.000000,1411000.000000,,689218000.000000,49571000.000000,38475000.000000,,777264000.000000,,,,17790000.000000,1187807000.000000,959245000.000000,,113213000.000000,,164000000.000000,334810000.000000,40652000.000000,,652675000.000000,4343000.000000,125072000.000000,169579000.000000,1641000.000000,5935000.000000,959245000.000000,2147052000.000000,,109575000.000000,135964000.000000,-807556000.000000,63524000.000000,77389000.000000,-421104000.000000,1725948000.000000,11550831470.000000
12M 2012,,,11293000.000000,58743000.000000,241000.000000,58502000.000000,58743000.000000,9225000.000000,,,9225000.000000,14860000.000000,163102000.000000,257223000.000000,,11088000.000000,777285000.000000,11441000.000000,7927000.000000,43233000.000000,850974000.000000,1108197000.000000,,,279506000.000000,35747000.000000,,4932000.000000,90167000.000000,95099000.000000,37124000.000000,,1207000.000000,,22611000.000000,32637000.000000,45703000.000000,,100951000.000000,,,,9378000.000000,279506000.000000,2015580000.000000,,719837000.000000,143260000.000000,404077000.000000,225886000.000000,242035000.000000,,1735095000.000000,,98824000.000000,175237000.000000,,6424000.000000,2015580000.000000,2295086000.000000,,109575000.000000,135964000.000000,-1525785000.000000,71547000.000000,21810000.000000,-1186889000.000000,1108197000.000000,11550831470.000000
12M 2013,,,20272000.000000,17809000.000000,,17809000.000000,17809000.000000,6439000.000000,,,6439000.000000,9835000.000000,14191000.000000,68546000.000000,,24876000.000000,642933000.000000,,,72076000.000000,739885000.000000,808431000.000000,,,133519000.000000,,,4512000.000000,43673000.000000,48185000.000000,20623000.000000,,1482000.000000,,26513000.000000,15302000.000000,7193000.000000,,49008000.000000,,,,14221000.000000,133519000.000000,1805576000.000000,,706302000.000000,224887000.000000,363911000.000000,197976000.000000,202689000.000000,,1695765000.000000,17024000.000000,,,89309000.000000,3478000.000000,1805576000.000000,1939095000.000000,,109575000.000000,136141000.000000,-1424776000.000000,,48396000.000000,-1130664000.000000,808431000.000000,11550831470.000000
12M 2014,,,23945000.000000,17654000.000000,,,17654000.000000,3847000.000000,,,3847000.000000,6525000.000000,11775000.000000,63746000.000000,,2607000.000000,590380000.000000,,312000.000000,30767000.000000,624066000.000000,687812000.000000,,,165612000.000000,,,964000.000000,29389000.000000,30353000.000000,18184000.000000,,1346000.000000,,70126000.000000,32877000.000000,1998000.000000,,105001000.000000,,,,10728000.000000,165612000.000000,1694792000.000000,,657330000.000000,238751000.000000,382135000.000000,148143000.000000,249904000.000000,,1676263000.000000,16758000.000000,,,,1771000.000000,1694792000.000000,1860404000.000000,,109575000.000000,136141000.000000,-1462146000.000000,,43838000.000000,-1172592000.000000,687812000.000000,11550831470.000000
12M 2015,,,10314000.000000,2407000.000000,,,2407000.000000,7053000.000000,,,7053000.000000,251000.000000,2201000.000000,22226000.000000,,8075000.000000,29269000.000000,,,41536000.000000,78880000.000000,101106000.000000,,,22451000.000000,,,310000.000000,9700000.000000,10010000.000000,8278000.000000,,205000.000000,,2124000.000000,,1585000.000000,,3709000.000000,,,,249000.000000,22451000.000000,41844000.000000,,29234000.000000,,,,10757000.000000,,39991000.000000,636000.000000,,,,1217000.000000,41844000.000000,64295000.000000,,163636000.000000,1115632000.000000,-1263466000.000000,,21009000.000000,36811000.000000,101106000.000000,23483317538.000000
12M 2016,,,5788000.000000,1927000.000000,,,1927000.000000,1068000.000000,,,1068000.000000,562000.000000,9306000.000000,18651000.000000,,15282000.000000,32539000.000000,,3000.000000,34898000.000000,82722000.000000,101373000.000000,,,16710000.000000,,,187000.000000,5896000.000000,6083000.000000,3513000.000000,,89000.000000,,3967000.000000,,1735000.000000,,5702000.000000,,,,1323000.000000,16710000.000000,36711000.000000,,25466000.000000,,,,9890000.000000,,35356000.000000,,,,,1355000.000000,36711000.000000,53421000.000000,,163636000.000000,1115632000.000000,-1278065000.000000,4810000.000000,41939000.000000,47952000.000000,101373000.000000,23483317538.000000
12M 2017,,,4578586.000000,1678618.000000,,,1678618.000000,1112767.000000,,,1112767.000000,848143.000000,2131574.000000,10349688.000000,,21245260.000000,30078905.000000,,387836.000000,17039511.000000,68751512.000000,79101200.000000,,,14443414.000000,,,170287.000000,5793379.000000,5963666.000000,2248498.000000,,175132.000000,,3028180.000000,,1517721.000000,,4545901.000000,,,,1510217.000000,14443414.000000,35100747.000000,,24544341.000000,,,,8913824.000000,,33458165.000000,,,,,1642582.000000,35100747.000000,49544161.000000,,163636458.000000,1115631835.000000,-1288937229.000000,,39225975.000000,29557039.000000,79101200.000000,23483317538.000000
12M 2018,,,3174557.000000,2195704.000000,,,2195704.000000,573455.000000,,,573455.000000,652646.000000,1313877.000000,7910239.000000,,26304534.000000,25944717.000000,,323290.000000,10865753.000000,63438294.000000,71348533.000000,,,12833718.000000,,,129918.000000,4839422.000000,4969340.000000,1097459.000000,,100045.000000,,4553273.000000,,829694.000000,,5382967.000000,,,,1283907.000000,12833718.000000,29546979.000000,,19511220.000000,,,,8649151.000000,,28160371.000000,,,,,1386608.000000,29546979.000000,42380697.000000,,163636458.000000,1115631835.000000,-1228287325.000000,,-22013132.000000,28967836.000000,71348533.000000,23483317538.000000
