Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Others,Total Utang Pajak,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lain Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Pinjaman Jangka Panjang Lainnya,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,298773169316.000000,7539193945.000000,7539193945.000000,7539193945.000000,27902545377.000000,3704202606.000000,3124924496.000000,341044035740.000000,,927483673.000000,258525751594.000000,46282504.000000,,34591589030.000000,294091106801.000000,635135142541.000000,,,597476532670.000000,,,407431426.000000,14506809832.000000,14914241258.000000,15963148020.000000,,,15963148020.000000,23426283273.000000,13194563735.000000,,13194563735.000000,,,505072866824.000000,,,505072866824.000000,24905429560.000000,597476532670.000000,6635704851.000000,,,,,,,6635704851.000000,6635704851.000000,604112237521.000000,,574548130800.000000,-15157894600.000000,-4385837.000000,-528362945343.000000,31022905020.000000,635135142541.000000,163613800.000000
12M 2014,,,270809244770.000000,8811098337.000000,8811098337.000000,8811098337.000000,33012170999.000000,3438180746.000000,4903605572.000000,320974300424.000000,,,291236679341.000000,28655008.000000,,43109458037.000000,334374792386.000000,655349092810.000000,,,132036960769.000000,,,3801353437.000000,19046692147.000000,22848045584.000000,,,46399733631.000000,46399733631.000000,21961057658.000000,14152464883.000000,,14152464883.000000,,,,,,,26675659013.000000,132036960769.000000,8683612925.000000,,,,,,,8683612925.000000,8683612925.000000,140720573694.000000,,591952504000.000000,482797685158.000000,-5408928.000000,-560116261114.000000,514628519116.000000,655349092810.000000,337657532.000000
12M 2015,,,30001894909.000000,12674623214.000000,12674623214.000000,12674623214.000000,50780469455.000000,4868183667.000000,19919855002.000000,118245026247.000000,,,604690988618.000000,237937956.000000,,75536095265.000000,680465021839.000000,798710048086.000000,,,310170912925.000000,110000000000.000000,,,31420934886.000000,31420934886.000000,,326288392.000000,86196480294.000000,86522768686.000000,41559819987.000000,11540042120.000000,,11540042120.000000,,,,,,,29127347246.000000,310170912925.000000,6230413010.000000,,,,,,,6230413010.000000,6230413010.000000,316401325935.000000,,591952504000.000000,482797685158.000000,-3183857.000000,-592438283150.000000,482308722151.000000,798710048086.000000,337657532.000000
12M 2016,,,260825389172.000000,16700084497.000000,16700084497.000000,16700084497.000000,48907298814.000000,7541485991.000000,17699462320.000000,351673720794.000000,,,837492440834.000000,488763345.000000,,110185128065.000000,948166332244.000000,1299840053038.000000,,,179717312595.000000,,,2223370728.000000,49684380668.000000,51907751396.000000,,746749259.000000,45362157809.000000,46108907068.000000,37732368878.000000,12833404673.000000,,12833404673.000000,,,,,,,31134880580.000000,179717312595.000000,8040581264.000000,,,,,,,8040581264.000000,8040581264.000000,187757893859.000000,,601883607900.000000,1118322631262.000000,526691.000000,-608124606674.000000,1112082159179.000000,1299840053038.000000,436968571.000000
12M 2017,,,296823659000.000000,101684442000.000000,,101684442000.000000,,9119817000.000000,25022108000.000000,432650026000.000000,,,1185228367000.000000,,2960271000.000000,124654931000.000000,1312843569000.000000,1745493595000.000000,,,384304784000.000000,132887500000.000000,64200535000.000000,,,64200535000.000000,,,,,161010835000.000000,25438634000.000000,,25438634000.000000,,,,,,,767280000.000000,384304784000.000000,237814599000.000000,,225674514000.000000,,,225674514000.000000,911274000.000000,11228811000.000000,237814599000.000000,622119383000.000000,,601883608000.000000,1118342981000.000000,5196000.000000,-596857573000.000000,1123374212000.000000,1745493595000.000000,436968571.000000
12M 2018,,,41647572000.000000,148741113000.000000,,148741113000.000000,,10662998000.000000,41895721000.000000,242947404000.000000,,,1341510315000.000000,,10011522000.000000,167538447000.000000,1519060284000.000000,1762007688000.000000,,,368677573000.000000,40000000000.000000,84186570000.000000,,,84186570000.000000,,,,,197160242000.000000,37471247000.000000,,37471247000.000000,,,,9859514000.000000,,9859514000.000000,,368677573000.000000,232892280000.000000,,221510000000.000000,,,221510000000.000000,,11382280000.000000,232892280000.000000,601569853000.000000,,601883608000.000000,1118342981000.000000,7583000.000000,-559796337000.000000,1160437835000.000000,1762007688000.000000,873937142.000000
12M 2019,,,84678006000.000000,154138082000.000000,,154138082000.000000,,23106214000.000000,28689442000.000000,290611744000.000000,,1432675499000.000000,,,3698128000.000000,190332597000.000000,1626706224000.000000,1917317968000.000000,,,658513345000.000000,154010050000.000000,82273058000.000000,,,82273058000.000000,,,,,173519132000.000000,29181625000.000000,,29181625000.000000,15444480000.000000,,204085000000.000000,,,204085000000.000000,,658513345000.000000,14977209000.000000,,,,,,,14977209000.000000,14977209000.000000,673490554000.000000,,601883608000.000000,1118342981000.000000,12123000.000000,-476411298000.000000,1243827414000.000000,1917317968000.000000,873937142.000000
12M 2020,,,56205589000.000000,41987378000.000000,,41987378000.000000,,21916710000.000000,26465392000.000000,146575069000.000000,,1250045275000.000000,,,91471240000.000000,945202629000.000000,2286719144000.000000,2433294213000.000000,,,881261706000.000000,599850045000.000000,9327516000.000000,,,9327516000.000000,,,,,147174356000.000000,4985827000.000000,,4985827000.000000,13656814000.000000,,,,106267148000.000000,106267148000.000000,,881261706000.000000,755676737000.000000,,,,739431951000.000000,739431951000.000000,,16244786000.000000,755676737000.000000,1636938443000.000000,,601883608000.000000,1118342981000.000000,14279000.000000,-923885098000.000000,796355770000.000000,2433294213000.000000,873937142.000000
12M 2021,,,142769366000.000000,43146960000.000000,,43146960000.000000,,17037183000.000000,35515682000.000000,238469191000.000000,,1089828036000.000000,,,182266048000.000000,892546366000.000000,2164640450000.000000,2403109641000.000000,,,1052231311000.000000,699011668000.000000,7757278000.000000,,,7757278000.000000,,,,,182345367000.000000,18239528000.000000,,18239528000.000000,21795558000.000000,,17000000000.000000,,106081912000.000000,123081912000.000000,,1052231311000.000000,819098618000.000000,,68000000000.000000,,736849095000.000000,804849095000.000000,,14249523000.000000,819098618000.000000,1871329929000.000000,,601883608000.000000,1118342981000.000000,15094000.000000,-1188461971000.000000,531779712000.000000,2403109641000.000000,873937142.000000
12M 2022,,,236760048000.000000,49188491000.000000,,49188491000.000000,,17332995000.000000,51377237000.000000,354658771000.000000,,1009948018000.000000,,,179791414000.000000,737048050000.000000,1926787482000.000000,2281446253000.000000,,,714255992000.000000,380149000000.000000,11928278000.000000,,,11928278000.000000,,,,,183584177000.000000,,16957290000.000000,16957290000.000000,,,25500000000.000000,,96137247000.000000,121637247000.000000,,714255992000.000000,1094230049000.000000,,396447500000.000000,,684242781000.000000,1080690281000.000000,,13539768000.000000,1094230049000.000000,1808486041000.000000,,601883608000.000000,1118342981000.000000,19615000.000000,-1247285992000.000000,472960212000.000000,2281446253000.000000,873937142.000000
