Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Penghasilan Bunga,Pembayaran Kepada Pemasok Dan Lainnya,Pembayaran Kepada Karyawan,Pembayaran Beban Keuangan,Pengembalian Pajak Penghasilan Badan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penjualan Aset Tetap,Perolehan Aset Tetap,Pengurangan (Penambahan) Piutang Dari Pihak-Pihak Berelasi,Penambahan Uang Jaminan,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penambahan Uang Muka Sewa,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Biaya Emisi Saham,Penerimaan Setoran Modal Saham,Pembayaran Pinjaman Jangka Panjang,Pembayaran Pokok Liabilitas Sewa,Penerimaan (Pembayaran) Dari Kontrak Swap,Pembayaran Pinjaman Jangka Pendek,Pembayaran Pinjaman Bank,Penerimaan Dari Pinjaman Bank,Penerimaan Dari Pinjaman Jangka Pendek,Pembayaran Dari Kontrak Swap,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2013,93530892173.000000,293060443520.000000,875587317.000000,-198290981383.000000,,-2114157281.000000,,,93530892173.000000,-37169617324.000000,8000000.000000,-29738174823.000000,-2551578270.000000,-638542170.000000,,,-4249322061.000000,-37169617324.000000,200139930305.000000,-390569695.000000,534262000000.000000,-333731500000.000000,,,,,,,,200139930305.000000,256501205154.000000,42271964162.000000,298773169316.000000
12M 2014,21406753612.000000,323691624724.000000,12218676565.000000,-310215334485.000000,,-4278372083.000000,,-9841109.000000,21406753612.000000,-71571200811.000000,53000000.000000,-59104011135.000000,270189229.000000,-1364606618.000000,-5540252811.000000,,-5885519476.000000,-71571200811.000000,22200522653.000000,-6380677347.000000,223231200000.000000,-194650000000.000000,,,,,,,,22200522653.000000,-27963924546.000000,298773169316.000000,270809244770.000000
12M 2015,-2598440123.000000,367532604984.000000,6854276123.000000,-372339605797.000000,,-4611062752.000000,,-34652681.000000,-2598440123.000000,-348043909738.000000,10909091.000000,-308285969952.000000,,-20429126160.000000,-2581295556.000000,-233393600.000000,-16525033561.000000,-348043909738.000000,109835000000.000000,-165000000.000000,,,,,,,,110000000000.000000,,109835000000.000000,-240807349861.000000,270809244770.000000,30001894909.000000
12M 2016,106957847671.000000,578150361844.000000,8652771913.000000,-464250211597.000000,,-15543095105.000000,,-51979384.000000,106957847671.000000,-410210155167.000000,18600000.000000,-356021186712.000000,,-5893201021.000000,-13611808492.000000,-1018605542.000000,-33683953400.000000,-410210155167.000000,534075801759.000000,-6411503691.000000,650487305450.000000,,,,-285000000000.000000,,,175000000000.000000,,534075801759.000000,230823494263.000000,30001894909.000000,260825389172.000000
12M 2017,144625707000.000000,821490163000.000000,6522572000.000000,-569371861000.000000,-112924499000.000000,-586558000.000000,,-504110000.000000,144625707000.000000,-463704451000.000000,155273000.000000,,-452846408000.000000,,,-11013316000.000000,,-463704451000.000000,355077014000.000000,,,,,,,,,355077014000.000000,,355077014000.000000,35998270000.000000,260825389000.000000,296823659000.000000
12M 2018,221655632000.000000,1157284187000.000000,4025713000.000000,-755510740000.000000,-142251070000.000000,-25448941000.000000,,-16443517000.000000,221655632000.000000,-383944219000.000000,2369743000.000000,,-382798974000.000000,,,-3514988000.000000,,-383944219000.000000,-92887500000.000000,,,,,,-205387500000.000000,,,112500000000.000000,,-92887500000.000000,-255176087000.000000,296823659000.000000,41647572000.000000
12M 2019,257295892000.000000,1431838788000.000000,1073860000.000000,-962377726000.000000,-162751345000.000000,-16003566000.000000,,-34484119000.000000,257295892000.000000,-321185944000.000000,16601000.000000,-318504271000.000000,,,,-2698274000.000000,,-321185944000.000000,106920486000.000000,,,,,,-234859514000.000000,,,341780000000.000000,,106920486000.000000,43030434000.000000,41647572000.000000,84678006000.000000
12M 2020,-87501650000.000000,382809549000.000000,4379684000.000000,-346545133000.000000,-105910236000.000000,-9910167000.000000,,-12325347000.000000,-87501650000.000000,-117414070000.000000,1940583000.000000,-102319092000.000000,,,,-17035561000.000000,,-117414070000.000000,176443303000.000000,,,,-55053054000.000000,-6003643000.000000,-22500000000.000000,,,260000000000.000000,,176443303000.000000,-28472417000.000000,84678006000.000000,56205589000.000000
12M 2021,-35985133000.000000,303604886000.000000,994600000.000000,-228462681000.000000,-69010249000.000000,-42721210000.000000,,-390479000.000000,-35985133000.000000,-13608360000.000000,102636000.000000,-11453016000.000000,,,-1806900000.000000,-451080000.000000,,-13608360000.000000,136157270000.000000,,,,-34765928000.000000,-28642802000.000000,-599673000000.000000,,,799239000000.000000,,136157270000.000000,86563777000.000000,56205589000.000000,142769366000.000000
12M 2022,243675815000.000000,1102897075000.000000,4020304000.000000,-749612721000.000000,-81549864000.000000,-39009534000.000000,6968231000.000000,-37676000.000000,243675815000.000000,-21804160000.000000,187111000.000000,-16811903000.000000,,,-4608273000.000000,-571095000.000000,,-21804160000.000000,-127880973000.000000,,,,-73524693000.000000,,-125739000000.000000,,,90000000000.000000,-18617280000.000000,-127880973000.000000,93990682000.000000,142769366000.000000,236760048000.000000
12M 2023,204033939000.000000,1058635220000.000000,5776296000.000000,-728098685000.000000,-81459053000.000000,-49812647000.000000,87318000.000000,-1094510000.000000,204033939000.000000,-82754030000.000000,671326000.000000,-80235949000.000000,,,-1772492000.000000,-1416915000.000000,,-82754030000.000000,-182267791000.000000,,,,-68811095000.000000,,-266927000000.000000,,,160000000000.000000,-6529696000.000000,-182267791000.000000,-60987882000.000000,236760048000.000000,175772166000.000000
12M 2024,238562971000.000000,1187130665000.000000,6928648000.000000,-818941804000.000000,-86374448000.000000,-49135287000.000000,,-1044803000.000000,238562971000.000000,-50722055000.000000,14711000.000000,-50246258000.000000,,,-490508000.000000,,,-50722055000.000000,-260458716000.000000,,,,-82449466000.000000,,-434391000000.000000,,,240000000000.000000,16381750000.000000,-260458716000.000000,-72617800000.000000,175772166000.000000,103154366000.000000
