Period,Total Pendapatan,Pendapatan Bunga Dan Syariah,Provisi Dan Komisi Kredit,Pendapatan Premi,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga Dan Syariah,Beban Klaim,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Laba (Rugi) Selisih Kurs,Pemulihan Estimasi Kerugian Komitmen Dan Kontinjensi,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Keuntungan Dari Penjualan Aset-Aset Keuangan,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan Dan Non-Keuangan,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,23928549000000.000000,23232749000000.000000,695800000000.000000,,23928549000000.000000,-11573106000000.000000,-11430672000000.000000,,-142434000000.000000,-11573106000000.000000,12355443000000.000000,-6142526000000.000000,,2447476000000.000000,313845000000.000000,61409000000.000000,-14061000000.000000,228498000000.000000,714284000000.000000,3751451000000.000000,,-4028959000000.000000,-3421783000000.000000,-2113994000000.000000,-329241000000.000000,-9893977000000.000000,-6142526000000.000000,6212917000000.000000,120466000000.000000,6333383000000.000000,-1985892000000.000000,-2686154000000.000000,700262000000.000000,-1985892000000.000000,4347491000000.000000,-1267000000.000000,4346224000000.000000,,,,,4346224000000.000000,4347491000000.000000,-1267000000.000000,4346224000000.000000,,,,
12M 2008,27336237000000.000000,26496487000000.000000,839750000000.000000,,27336237000000.000000,-12536617000000.000000,-12371417000000.000000,,-165200000000.000000,-12536617000000.000000,14799620000000.000000,-6889178000000.000000,,3423247000000.000000,789350000000.000000,221393000000.000000,1486000000.000000,-54061000000.000000,610549000000.000000,4991964000000.000000,,-4563768000000.000000,-3861684000000.000000,-2986361000000.000000,-469329000000.000000,-11881142000000.000000,-6889178000000.000000,7910442000000.000000,158118000000.000000,8068560000000.000000,-2753244000000.000000,-4711894000000.000000,1958650000000.000000,-2753244000000.000000,5315316000000.000000,-2495000000.000000,5312821000000.000000,,,,,5312821000000.000000,5315316000000.000000,-2495000000.000000,5312821000000.000000,,,,
12M 2009,32598964000000.000000,31640259000000.000000,958705000000.000000,,32598964000000.000000,-15821849000000.000000,-15675213000000.000000,,-146636000000.000000,-15821849000000.000000,16777115000000.000000,-6342637000000.000000,,4311235000000.000000,637065000000.000000,-37782000000.000000,-2155000000.000000,180752000000.000000,-274345000000.000000,4814770000000.000000,,-4853601000000.000000,-4324893000000.000000,-1147540000000.000000,-831373000000.000000,-11157407000000.000000,-6342637000000.000000,10434478000000.000000,389596000000.000000,10824074000000.000000,-3625586000000.000000,-3479867000000.000000,-145719000000.000000,-3625586000000.000000,7198488000000.000000,-43024000000.000000,7155464000000.000000,,,,,7155464000000.000000,7198488000000.000000,-43024000000.000000,7155464000000.000000,,,,
12M 2010,34956956000000.000000,33931650000000.000000,,1025306000000.000000,34956956000000.000000,-14885435000000.000000,-14394598000000.000000,-472394000000.000000,-18443000000.000000,-14885435000000.000000,20071521000000.000000,-6329501000000.000000,,5101838000000.000000,595449000000.000000,-53358000000.000000,-23401000000.000000,286870000000.000000,2824308000000.000000,8731706000000.000000,,-5802173000000.000000,-5467972000000.000000,-2986234000000.000000,-804828000000.000000,-15061207000000.000000,-6329501000000.000000,13742020000000.000000,230142000000.000000,13972162000000.000000,-4602936000000.000000,-3026466000000.000000,-1576470000000.000000,-4602936000000.000000,9369226000000.000000,-150928000000.000000,9218298000000.000000,,,,,9218298000000.000000,9369226000000.000000,-150928000000.000000,9218298000000.000000,,,,
12M 2011,42536106000000.000000,37730019000000.000000,,4806087000000.000000,42536106000000.000000,-18945151000000.000000,-15934042000000.000000,-2991114000000.000000,-19995000000.000000,-18945151000000.000000,23590955000000.000000,-7242022000000.000000,,6543236000000.000000,812715000000.000000,127257000000.000000,69903000000.000000,117136000000.000000,4697422000000.000000,12367669000000.000000,,-6766471000000.000000,-6577643000000.000000,-3297670000000.000000,-2967907000000.000000,-19609691000000.000000,-7242022000000.000000,16348933000000.000000,163102000000.000000,16512035000000.000000,-3816150000000.000000,-3172540000000.000000,-643610000000.000000,-3816150000000.000000,12695885000000.000000,,12695885000000.000000,-216429000000.000000,-216429000000.000000,-216429000000.000000,12479456000000.000000,12695885000000.000000,12246044000000.000000,449841000000.000000,12695885000000.000000,12479456000000.000000,12029615000000.000000,449841000000.000000,12479456000000.000000
12M 2012,48214937000000.000000,42550442000000.000000,,5664495000000.000000,48214937000000.000000,-18521273000000.000000,-15019850000000.000000,-3501423000000.000000,,-18521273000000.000000,29693664000000.000000,-10068217000000.000000,,7400355000000.000000,1094476000000.000000,43937000000.000000,42470000000.000000,296739000000.000000,3389901000000.000000,12267878000000.000000,,-8045716000000.000000,-8253902000000.000000,-3423067000000.000000,-2613410000000.000000,-22336095000000.000000,-10068217000000.000000,19625447000000.000000,878821000000.000000,20504268000000.000000,-4460650000000.000000,-4640513000000.000000,179863000000.000000,-4460650000000.000000,16043618000000.000000,,16043618000000.000000,212963000000.000000,212963000000.000000,212963000000.000000,16256581000000.000000,16043618000000.000000,15504067000000.000000,539551000000.000000,16043618000000.000000,16256581000000.000000,15717030000000.000000,539551000000.000000,16256581000000.000000
12M 2013,56654991000000.000000,50208842000000.000000,,6446149000000.000000,56654991000000.000000,-21252359000000.000000,-17432216000000.000000,-3820143000000.000000,,-21252359000000.000000,35402632000000.000000,-11850921000000.000000,,8704095000000.000000,1853099000000.000000,10784000000.000000,-219353000000.000000,39116000000.000000,4133767000000.000000,14521508000000.000000,,-9431337000000.000000,-9898400000000.000000,-4871442000000.000000,-2171250000000.000000,-26372429000000.000000,-11850921000000.000000,23551711000000.000000,510126000000.000000,24061837000000.000000,-5231903000000.000000,-5288489000000.000000,56586000000.000000,-5231903000000.000000,18829934000000.000000,,18829934000000.000000,-833848000000.000000,-833848000000.000000,-833848000000.000000,17996086000000.000000,18829934000000.000000,18203753000000.000000,626181000000.000000,18829934000000.000000,17996086000000.000000,17369905000000.000000,626181000000.000000,17996086000000.000000
12M 2014,72002229000000.000000,62637942000000.000000,,9364287000000.000000,72002229000000.000000,-30189235000000.000000,-23505518000000.000000,-6683717000000.000000,,-30189235000000.000000,41812994000000.000000,-15834888000000.000000,,9131975000000.000000,1587639000000.000000,5313000000.000000,146521000000.000000,234463000000.000000,4151682000000.000000,15257593000000.000000,,-10848031000000.000000,-11448310000000.000000,-5718130000000.000000,-3078010000000.000000,-31092481000000.000000,-15834888000000.000000,25978106000000.000000,29909000000.000000,26008015000000.000000,-5353232000000.000000,-5309919000000.000000,-43313000000.000000,-5353232000000.000000,20654783000000.000000,,20654783000000.000000,827897000000.000000,827897000000.000000,827897000000.000000,21482680000000.000000,20654783000000.000000,19871873000000.000000,782910000000.000000,20654783000000.000000,21482680000000.000000,20699770000000.000000,782910000000.000000,21482680000000.000000
12M 2015,81117020000000.000000,71570127000000.000000,,9546893000000.000000,81117020000000.000000,-32616847000000.000000,-26207024000000.000000,-6409823000000.000000,,-32616847000000.000000,48500173000000.000000,-22161201000000.000000,,10014810000000.000000,2238098000000.000000,-198450000000.000000,-18306000000.000000,275499000000.000000,5946528000000.000000,18258179000000.000000,,-12376655000000.000000,-12799851000000.000000,-11664837000000.000000,-3578037000000.000000,-40419380000000.000000,-22161201000000.000000,26338972000000.000000,30458000000.000000,26369430000000.000000,-5217032000000.000000,-5548058000000.000000,331026000000.000000,-5217032000000.000000,21152398000000.000000,,21152398000000.000000,-705569000000.000000,-705569000000.000000,-705569000000.000000,20446829000000.000000,21152398000000.000000,20334968000000.000000,817430000000.000000,21152398000000.000000,20446829000000.000000,19658155000000.000000,788674000000.000000,20446829000000.000000
12M 2016,86087629000000.000000,76709888000000.000000,,9377741000000.000000,86087629000000.000000,-31609829000000.000000,-24884519000000.000000,-6725310000000.000000,,-31609829000000.000000,54477800000000.000000,-35865073000000.000000,,11440002000000.000000,2265234000000.000000,181459000000.000000,15638000000.000000,745904000000.000000,5698826000000.000000,20347063000000.000000,,-13618745000000.000000,-13958211000000.000000,-24943938000000.000000,-3691242000000.000000,-56212136000000.000000,-35865073000000.000000,18612727000000.000000,-39762000000.000000,18572965000000.000000,-3922802000000.000000,-5088924000000.000000,1166122000000.000000,-3922802000000.000000,14650163000000.000000,,14650163000000.000000,25694885000000.000000,25694885000000.000000,25694885000000.000000,40345048000000.000000,14650163000000.000000,13806565000000.000000,843598000000.000000,14650163000000.000000,40345048000000.000000,39484138000000.000000,860910000000.000000,40345048000000.000000
12M 2017,89826717000000.000000,79501530000000.000000,,10325187000000.000000,89826717000000.000000,-35034483000000.000000,-27174371000000.000000,-7860112000000.000000,,-35034483000000.000000,54792234000000.000000,-27622483000000.000000,,12483134000000.000000,2888082000000.000000,-173402000000.000000,167892000000.000000,893570000000.000000,6778375000000.000000,23037651000000.000000,,-14858642000000.000000,-15405579000000.000000,-15646385000000.000000,-4749528000000.000000,-50660134000000.000000,-27622483000000.000000,27169751000000.000000,-12888000000.000000,27156863000000.000000,-5713821000000.000000,-5593293000000.000000,-120528000000.000000,-5713821000000.000000,21443042000000.000000,,21443042000000.000000,1877993000000.000000,1877993000000.000000,1877993000000.000000,23321035000000.000000,21443042000000.000000,20639683000000.000000,803359000000.000000,21443042000000.000000,23321035000000.000000,22491109000000.000000,829926000000.000000,23321035000000.000000
12M 2018,91335057000000.000000,80992570000000.000000,,10342487000000.000000,91335057000000.000000,-34005292000000.000000,-26369938000000.000000,-7635354000000.000000,,-34005292000000.000000,57329765000000.000000,-23423968000000.000000,,13013786000000.000000,,270973000000.000000,-18483000000.000000,674087000000.000000,14596781000000.000000,28537144000000.000000,,-16322769000000.000000,-16587005000000.000000,-14394973000000.000000,-4656365000000.000000,-51961112000000.000000,-23423968000000.000000,33905797000000.000000,37572000000.000000,33943369000000.000000,-8091432000000.000000,-7232055000000.000000,-859377000000.000000,-8091432000000.000000,25851937000000.000000,,25851937000000.000000,-1316749000000.000000,-1316749000000.000000,-1316749000000.000000,24535188000000.000000,25851937000000.000000,25015021000000.000000,836916000000.000000,25851937000000.000000,24535188000000.000000,23771531000000.000000,763657000000.000000,24535188000000.000000
12M 2019,102638740000000.000000,91525090000000.000000,,11113650000000.000000,102638740000000.000000,-41391049000000.000000,-32084902000000.000000,-9306147000000.000000,,-41391049000000.000000,61247691000000.000000,-24796177000000.000000,,14216435000000.000000,,-262215000000.000000,8205000000.000000,853850000000.000000,12206701000000.000000,27022976000000.000000,,-17221046000000.000000,-17635053000000.000000,-11742986000000.000000,-5220068000000.000000,-51819153000000.000000,-24796177000000.000000,36451514000000.000000,-10074000000.000000,36441440000000.000000,-7985848000000.000000,-7635134000000.000000,-350714000000.000000,-7985848000000.000000,28455592000000.000000,,28455592000000.000000,7211076000000.000000,7211076000000.000000,7211076000000.000000,35666668000000.000000,28455592000000.000000,27482133000000.000000,973459000000.000000,28455592000000.000000,35666668000000.000000,34655095000000.000000,1011573000000.000000,35666668000000.000000
12M 2020,100211477000000.000000,87321117000000.000000,,12890360000000.000000,100211477000000.000000,-42189633000000.000000,-30812988000000.000000,-11376645000000.000000,,-42189633000000.000000,58021844000000.000000,-34845541000000.000000,,12943683000000.000000,,-1221532000000.000000,12487000000.000000,999026000000.000000,14422433000000.000000,27156097000000.000000,,-17770433000000.000000,-17322716000000.000000,-21354847000000.000000,-5553642000000.000000,-62001638000000.000000,-34845541000000.000000,23176303000000.000000,121738000000.000000,23298041000000.000000,-5652417000000.000000,-5210969000000.000000,-441448000000.000000,-5652417000000.000000,17645624000000.000000,,17645624000000.000000,3426831000000.000000,3426831000000.000000,3426831000000.000000,21072455000000.000000,17645624000000.000000,17119253000000.000000,526371000000.000000,17645624000000.000000,21072455000000.000000,20466256000000.000000,606199000000.000000,21072455000000.000000
12M 2021,112607027000000.000000,97749086000000.000000,,14857941000000.000000,112607027000000.000000,-37756600000000.000000,-24686592000000.000000,-13070008000000.000000,,-37756600000000.000000,74850427000000.000000,-36410224000000.000000,,15408693000000.000000,,1162993000000.000000,2824000000.000000,3242400000000.000000,13341385000000.000000,33158295000000.000000,,-22677112000000.000000,-19519699000000.000000,-20428352000000.000000,-6943356000000.000000,-69568519000000.000000,-36410224000000.000000,38440203000000.000000,-81782000000.000000,38358421000000.000000,-7807324000000.000000,-9245615000000.000000,1438291000000.000000,-7807324000000.000000,30551097000000.000000,,30551097000000.000000,-2231176000000.000000,-2231176000000.000000,-2231176000000.000000,28319921000000.000000,30551097000000.000000,28028155000000.000000,2522942000000.000000,30551097000000.000000,28319921000000.000000,25638536000000.000000,2681385000000.000000,28319921000000.000000
