Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2015,1.61,1.61,1.61,3.17,0.0,0.0,1.29,0.51,2.17
12M 2016,1.36,1.36,1.46,3.36,0.0,0.0,1.21,0.44,2.36
12M 2017,1.38,1.38,1.78,3.54,0.0,0.0,1.45,0.5,2.53
12M 2018,1.65,1.65,1.97,4.06,0.0,0.0,1.88,0.49,3.06
12M 2019,1.5,1.5,1.91,4.13,0.0,0.0,1.67,0.46,3.13
12M 2020,1.15,1.15,2.38,5.9,0.0,0.0,1.47,0.4,4.84
12M 2021,1.4,1.4,0.95,3.25,0.0,0.0,0.19,0.29,2.23
12M 2022,1.74,1.73,0.27,2.3,0.0,0.0,-0.06,0.12,1.29
12M 2023,1.89,1.89,0.34,1.88,0.0,0.0,0.16,0.18,0.88
12M 2024,1.6,1.5,0.4,2.14,0.0,0.0,0.33,0.19,1.14
