Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok Dan Lainnya,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Pajak Penghasilan,Pembayaran Beban Keuangan,Hasil Restitusi Paja Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Pencairan Bank Dibatasi Penggunaannya,Hasil Penjualan Aset Tetap,Penurunan Aset Lainnya Dan Uang Muka,Pencairan (Penempatan) Investasi Jangka Pendek - Bersih,Pembayaran Pajak Pertambahan Nilai Barang Modal,Pencairan (Penempatan) Aset Keuangan Lancar Lainnya - Bersih,Penerimaan Dari Akuisisi Anak Perusahaan,Perolehan Aset Tetap,Penempatan Aset Keuangan Tidak Lancar Lainnya - Bersih,Pengurangan Aset Keuangan Tidak Lancar Lainnya,Pelepasan Investasi Pada Saham Tersedia Untuk Dijual,Penambahan Aset Lainnya Dan Uang Muka,Pelepasan Investasi Pihak Hubungan Istimewa,Penambahan Investasi Pada Entitas Asosiasi,Penambahan Investasi Lain,Pengurangan (Penambahan) Aset Lainnya,Kas Bersih Yang Diperoleh Pada Saat Akuisisi,Penambahan Properti Investasi,Pelepasan Investasi,Pembayaran Piutang Dari Pihak Berelasi,Penambahan Piutang Dari Pihak Berelasi,Penambahan Investasi Pada Perusahaan Asosiasi,Pembelian Tambahan/Arus Kas Keluar Investasi Saham Pada Entitas Anak,Penyertaan Saham Pada Anak Perusahaan,Penjualan (Penambahan) Investasi Saham Entitas Anak,Pelunasan Wesel Tagih,Penambahan Aset Tidak Berwujud,Penurunan Aset Takberwujud,Penurunan (Kenaikan) Uang Muka Investasi,Penambahan Biaya Perolehan Pelanggan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoral Modal Dari Pelaksanaan Opsi Saham Karyawan Perusahaan Dan Entitas Anak,Setoran Modal Non-Pengendali Pada Entitas Anak,Setoran Modal Pemegang Saham Pada Entitas Anak,Penurunan Utang Lain-Lain Pihak Berelasi,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Utang Bank,Saham Diperoleh Kembali Entitas Anak,Penjualan Saham Diperoleh Kembali Entitas Anak,Pembelian Saham Diperoleh Kembali Oleh Entitas Anak,Penerimaan Utang Bank,Pembelian Saham Diperoleh Kembali,Penjualan Saham Diperoleh Kembali,Penerimaan Pinjaman Jangka Pendek - Bersih,Pembayaran Hutang Sewa,Pembayaran Utang Kepada Pihak Berelasi,Pembayaran Utang Lainnya,Penerimaan Pinjaman Jangka Panjang - Bersih,Penerimaan Utang Obligasi,Pelunasan Utang Obligasi,Pembayaran Emisi Saham Entitas Anak,Pembayaran Hutang Pihak Berhubungan Istimewa,Pembayaran Pinjaman Jangka Pendek - Bersih,Pembayaran Pinjaman Jangka Panjang - Bersih,Pembayaran Dividen Entitas Anak Pada Kepentingan Nonpengendali,Penerimaan Utang Kepada Pihak Berelasi,Penerbitan Wesel Bayar,Penerimaan Jaminan,Penerimaan Dari Hasil Penerbitan Obligasi,Penerimaan Dari Hasil Penawaran Umum Entitas Anak,Penerimaan Utang Sukuk,Pelunasan Utang Sukuk Ijarah,Penerimaan Setoran Modal,Pembayaran Dividen Perusahaan,Pembayaran Dividen Entitas Anak,Pembayaran Uang Pembelian Aset Tetap,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,30758000000.000000,4703063000000.000000,,-3911901000000.000000,,-3911901000000.000000,-175139000000.000000,-643041000000.000000,57776000000.000000,30758000000.000000,-1769961000000.000000,102362000000.000000,20806000000.000000,28687000000.000000,,-696970000000.000000,-29126000000.000000,,761130000000.000000,-670862000000.000000,,,,-3720000000.000000,1221228000000.000000,,-2299570000000.000000,,,-104380000000.000000,,-6342000000.000000,,,,-93204000000.000000,,,,,,,-1769961000000.000000,-43605000000.000000,1099000000.000000,,,,,,-8895000000.000000,,,,,,236541000000.000000,-26276000000.000000,,,9699000000.000000,,-220000000000.000000,,,,,,-17168000000.000000,1000000000.000000,,,,,,,,-19605000000.000000,,-43605000000.000000,-1782808000000.000000,3173504000000.000000,,1390696000000.000000
12M 2009,158238000000.000000,5004143000000.000000,,-4405661000000.000000,,-4405661000000.000000,-115267000000.000000,-324977000000.000000,,158238000000.000000,-74507000000.000000,36834000000.000000,,35463000000.000000,,298819000000.000000,,,,-270498000000.000000,,,159811000000.000000,-59257000000.000000,,,-174479000000.000000,,,-91950000000.000000,,2692000000.000000,,,,-11942000000.000000,,,,,,,-74507000000.000000,-198095000000.000000,784000000.000000,,,,,,-21256000000.000000,,,,-6442000000.000000,,65619000000.000000,-9609000000.000000,,,-176475000000.000000,,-3525000000.000000,,,,,,962000000.000000,,,,,,,,,-48153000000.000000,,-198095000000.000000,-114364000000.000000,1390696000000.000000,,1276332000000.000000
12M 2010,-578165000000.000000,5849323000000.000000,,-5883408000000.000000,,-5883408000000.000000,-211692000000.000000,-332388000000.000000,,-578165000000.000000,-1288200000000.000000,36270000000.000000,-94574000000.000000,44794000000.000000,,454820000000.000000,,,,-1401696000000.000000,,,,23817000000.000000,2000000000.000000,,-58162000000.000000,,,-2685000000.000000,,26683000000.000000,,,,-319467000000.000000,,,,,,,-1288200000000.000000,1731661000000.000000,696000000.000000,,,,,,-100294000000.000000,,,,-73695000000.000000,,280748000000.000000,-4836000000.000000,,,519206000000.000000,,,,,,,,-6101000000.000000,,,1205788000000.000000,,,,,-64991000000.000000,-24860000000.000000,,1731661000000.000000,-134704000000.000000,1276332000000.000000,,1141628000000.000000
12M 2011,924606000000.000000,6708235000000.000000,,-5011921000000.000000,,-5011921000000.000000,-396150000000.000000,-375558000000.000000,,924606000000.000000,-193385000000.000000,46324000000.000000,,5782000000.000000,104847000000.000000,,,-329625000000.000000,,-213959000000.000000,18189000000.000000,,,,,,,,,,,,-10809000000.000000,,-516123000000.000000,,675230000000.000000,26759000000.000000,,,,,-193385000000.000000,-976421000000.000000,56894000000.000000,,,,-3066000000.000000,,,,,,-474873000000.000000,402292000000.000000,-140004000000.000000,,,,664079000000.000000,,-1281301000000.000000,,,,,,4184000000.000000,,,,,,,,-135629000000.000000,-61889000000.000000,-7108000000.000000,-976421000000.000000,-245200000000.000000,1141628000000.000000,,896428000000.000000
12M 2012,1702349000000.000000,8568674000000.000000,,-831810000000.000000,-5302395000000.000000,-6134205000000.000000,-429243000000.000000,-302877000000.000000,,1702349000000.000000,-4168812000000.000000,36172000000.000000,,26908000000.000000,2337000000.000000,,,-2773543000000.000000,,-1394144000000.000000,-53500000000.000000,,,,,,,,,,,,-13042000000.000000,,,,,,,,,,-4168812000000.000000,2522564000000.000000,135629000000.000000,28446000000.000000,,,-3158000000.000000,-169360000000.000000,,37178000000.000000,,60463000000.000000,-391525000000.000000,720113000000.000000,,,,,,,,-11270000000.000000,,,,,1954000000.000000,,,1243490000000.000000,1204748000000.000000,,,,-185312000000.000000,-148832000000.000000,,2522564000000.000000,56101000000.000000,896428000000.000000,,952529000000.000000
12M 2013,1559337000000.000000,9822106000000.000000,,-897061000000.000000,-6264487000000.000000,-7161548000000.000000,-693664000000.000000,-407557000000.000000,,1559337000000.000000,80094000000.000000,41895000000.000000,,9336000000.000000,-269622000000.000000,,,2341490000000.000000,,-1975248000000.000000,-16000000000.000000,,,,,,,,,,,,-19857000000.000000,-31900000000.000000,,,,,,,,,80094000000.000000,-1062372000000.000000,253827000000.000000,213458000000.000000,,,-10108000000.000000,-499729000000.000000,,-436640000000.000000,,3021486000000.000000,-1176959000000.000000,403412000000.000000,,,,,,,-2118512000000.000000,,,,,,,,,,,,,,-334257000000.000000,-378350000000.000000,,-1062372000000.000000,577059000000.000000,952529000000.000000,,1529588000000.000000
12M 2014,1545216000000.000000,10661183000000.000000,,-1046472000000.000000,-6998823000000.000000,-8045295000000.000000,-694125000000.000000,-376547000000.000000,,1545216000000.000000,-5125899000000.000000,103871000000.000000,,76737000000.000000,-936592000000.000000,,,-350697000000.000000,,-2489725000000.000000,-1552526000000.000000,,,,,,,,,,,,23033000000.000000,,,,,,,,,,-5125899000000.000000,3536516000000.000000,156041000000.000000,130723000000.000000,,,-11572000000.000000,-486605000000.000000,,-58787000000.000000,,3369947000000.000000,-7891000000.000000,992260000000.000000,,,,,,,-39121000000.000000,,,,,,4061000000.000000,,,,,,,,-347863000000.000000,-164677000000.000000,,3536516000000.000000,-44167000000.000000,1529588000000.000000,,1485421000000.000000
12M 2015,2238999000000.000000,10346156000000.000000,,-1183328000000.000000,-5650013000000.000000,-6833341000000.000000,-757314000000.000000,-529423000000.000000,12921000000.000000,2238999000000.000000,-2151764000000.000000,76303000000.000000,,50015000000.000000,,,,706646000000.000000,7243000000.000000,-2354086000000.000000,-443452000000.000000,,,,,,,34300000000.000000,,,,,821000000.000000,-69941000000.000000,,,,,-159613000000.000000,,,,-2151764000000.000000,-941247000000.000000,,35285000000.000000,,,-13313000000.000000,-107509000000.000000,,-226495000000.000000,,338780000000.000000,-38856000000.000000,,,,,,,,-250000000000.000000,,,,,,-25983000000.000000,,,,,,,,-351280000000.000000,-301876000000.000000,,-941247000000.000000,-854012000000.000000,1485421000000.000000,,631409000000.000000
12M 2016,4290388000000.000000,10993400000000.000000,,-1239438000000.000000,-4318763000000.000000,-5558201000000.000000,-587602000000.000000,-578965000000.000000,21756000000.000000,4290388000000.000000,-2544400000000.000000,44190000000.000000,,75351000000.000000,,,,683573000000.000000,4188000000.000000,-1368092000000.000000,-292620000000.000000,,,,,,,-111031000000.000000,,,,,-60704000000.000000,,-1398259000000.000000,,,,-120996000000.000000,,,,-2544400000000.000000,-1561840000000.000000,8000000.000000,46761000000.000000,,,-20476000000.000000,-45663000000.000000,,-1032406000000.000000,,,-143455000000.000000,,403187000000.000000,,,,2900537000000.000000,,,,,,-3372017000000.000000,,-8715000000.000000,,,,,,,,-69399000000.000000,-220202000000.000000,,-1561840000000.000000,184148000000.000000,631992000000.000000,,816140000000.000000
12M 2017,4372376000000.000000,10826261000000.000000,,-1098752000000.000000,-3922362000000.000000,-5021114000000.000000,-690791000000.000000,-741980000000.000000,,4372376000000.000000,-4487304000000.000000,38076000000.000000,,502785000000.000000,,,,544689000000.000000,55730000000.000000,-1850200000000.000000,-676276000000.000000,,,,,,,-172292000000.000000,,,,,-44128000000.000000,,-2753234000000.000000,,,,-132454000000.000000,,,,-4487304000000.000000,66177000000.000000,,371488000000.000000,,,-75185000000.000000,-272720000000.000000,,-664405000000.000000,,,-1695000000.000000,,640072000000.000000,,,,3594687000000.000000,,-1000000000000.000000,,,,-3738485000000.000000,,25150000000.000000,,,1089990000000.000000,,397035000000.000000,,,-69382000000.000000,-230373000000.000000,,66177000000.000000,-48751000000.000000,816140000000.000000,,767389000000.000000
