Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,50.03 B,9.58,37.16,3.00,,0.84%,9.73%,0.71%,
12M 2009,50.03 B,-0.21,-1514.29,2.55,,-0.02%,-0.20%,0.06%,
12M 2010,56.28 B,9.44,81.99,6.65,,0.71%,7.35%,1.13%,
12M 2011,56.28 B,11.89,35.07,2.88,,0.70%,8.59%,1.13%,
12M 2012,56.28 B,21.47,18.72,2.39,,1.04%,12.72%,1.58%,
12M 2013,60.97 B,25.34,12.23,1.69,,1.10%,12.65%,1.79%,
12M 2014,67.75 B,10.31,20.17,1.05,,0.49%,4.84%,0.68%,
12M 2015,67.75 B,16.81,10.17,0.83,,0.72%,7.35%,0.97%,
12M 2016,67.75 B,28.76,11.82,1.70,,1.17%,10.25%,1.59%,
12M 2017,67.75 B,26.63,9.91,1.21,,1.04%,8.82%,1.47%,
12M 2018,76.22 B,28.79,7.16,1.06,"3,331.45 B",1.24%,8.88%,1.73%,
12M 2019,76.22 B,24.18,8.52,1.01,"2,864.64 B",1.09%,7.02%,1.49%,
12M 2020,76.22 B,16.62,20.82,2.06,"2,346.17 B",0.73%,4.72%,1.08%,
12M 2021,76.22 B,21.58,15.38,2.36,"2,693.64 B",0.97%,5.81%,1.28%,
12M 2022,76.22 B,19.30,11.81,1.67,"2,554.01 B",0.91%,5.06%,1.25%,
12M 2023,76.22 B,22.87,10.58,1.55,"2,875.89 B",1.01%,5.76%,1.41%,
12M 2024,76.22 B,14.64,14.21,1.21,"2,102.61 B",0.57%,3.65%,0.86%,
