Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,0.00,105.97,0.00,105.97,8 B,1 B,10 B,(7 B),33 B
12M 2016,3.73,104.54,3.73,104.54,16 B,4 B,20 B,(167 B),210 B
12M 2017,5.81,106.77,5.81,106.77,43 B,19 B,63 B,47 B,86 B
12M 2018,6.33,109.80,6.47,107.37,45 B,24 B,69 B,40 B,42 B
12M 2019,11.84,112.37,12.10,109.94,38 B,30 B,69 B,28 B,29 B
12M 2020,12.01,114.91,12.27,112.48,48 B,22 B,70 B,(4 B),27 B
12M 2021,11.38,122.18,11.61,119.75,39 B,220 B,258 B,(197 B),404 B
12M 2022,10.27,126.05,10.48,123.62,46 B,224 B,270 B,(145 B),433 B
12M 2023,9.26,128.03,9.43,125.60,42 B,217 B,259 B,(176 B),427 B
12M 2024,4.85,120.65,4.95,118.22,72 B,209 B,281 B,134 B,283 B
