Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2013,0.44 B,61.75,0.00,0.00,,9.72%,12.96%,30.80%,
12M 2014,0.51 B,91.29,14.24,4.23,,9.22%,16.08%,12.39%,
12M 2015,0.51 B,97.02,34.53,7.64,,9.05%,14.21%,11.95%,
12M 2016,0.51 B,114.73,30.51,7.35,,11.48%,14.38%,13.89%,
12M 2017,0.51 B,155.45,38.60,10.26,,12.01%,15.85%,16.59%,
12M 2018,0.51 B,171.56,37.89,11.14,148.19 B,13.17%,14.98%,14.50%,
12M 2019,0.56 B,217.57,45.96,5.98,421.92 B,4.54%,13.00%,21.03%,
12M 2020,0.56 B,167.50,59.70,6.30,295.79 B,3.36%,8.84%,5.97%,1.39
12M 2021,0.56 B,225.81,29.23,3.90,298.93 B,4.28%,11.62%,7.29%,2.38
12M 2022,0.52 B,1164.36,9.32,6.67,271.94 B,18.31%,43.92%,4.66%,2.12
12M 2023,0.52 B,220.69,46.67,5.47,341.25 B,2.73%,8.45%,5.00%,1.97
12M 2024,10.31 B,14.58,39.78,5.22,241.60 B,2.67%,10.73%,4.72%,2.42
