Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,6.42,,3.68,,2.61,,1.02,3.08,3.08,2.19
12M 2009,56.57,92.71,40.89,108.39,6.45,7.0,3.94,5.01,2.32,2.34,0.99,1.08,3.23,3.23,3.44
12M 2010,49.56,64.4,32.3,81.66,7.36,6.9,5.67,5.18,2.64,2.65,1.27,1.22,3.31,3.31,4.02
12M 2011,42.94,72.5,24.97,90.47,8.5,8.35,5.03,4.24,2.64,2.58,1.21,1.14,3.5,3.5,2.79
12M 2012,46.05,83.49,28.68,100.86,7.93,7.58,4.37,3.89,1.71,1.37,0.87,0.76,3.8,3.8,2.13
12M 2013,46.26,73.1,31.57,87.79,7.89,6.96,4.99,4.12,1.74,1.62,0.95,0.86,6.01,6.01,1.57
12M 2014,52.99,99.19,52.2,99.98,6.89,6.94,3.68,3.64,1.35,1.17,0.77,0.7,6.47,6.47,1.42
12M 2015,49.79,108.96,55.88,102.87,7.33,6.28,3.35,3.27,1.19,1.11,0.71,0.67,4.43,4.43,1.81
12M 2016,53.33,119.74,68.35,104.72,6.84,6.45,3.05,3.07,1.26,1.32,0.73,0.76,4.11,4.11,1.89
12M 2017,58.09,114.61,73.16,99.54,6.28,5.98,3.18,3.04,1.42,1.41,0.8,0.79,3.53,3.53,2.39
12M 2018,55.28,92.42,59.49,88.21,6.6,6.15,3.95,3.82,1.62,1.58,0.9,0.85,4.49,4.49,2.15
12M 2019,54.85,84.8,54.01,85.64,6.65,7.13,4.3,4.41,1.55,1.59,0.85,0.88,3.94,3.94,2.9
12M 2020,70.11,99.09,47.11,122.09,5.21,5.64,3.68,3.9,1.18,1.17,0.65,0.65,3.06,3.06,2.56
12M 2021,57.26,91.41,42.83,105.84,6.37,5.73,3.99,3.58,1.87,1.9,0.95,0.91,4.19,4.19,1.99
12M 2022,56.42,79.55,46.54,89.43,6.47,5.73,4.59,4.48,2.45,2.42,1.15,1.1,4.24,4.24,2.42
12M 2023,69.0,82.4,64.37,87.03,5.29,6.18,4.43,5.57,1.81,1.82,0.84,0.85,4.1,4.1,2.04
12M 2024,62.65,72.5,68.08,67.07,5.83,5.27,5.03,5.14,1.71,1.76,0.78,0.79,3.7,3.7,2.16
