Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1637886215000.000000,-1390233550000.000000,247652665000.000000,-109373609000.000000,-54073882000.000000,-55299727000.000000,,,-109373609000.000000,138279056000.000000,22587125000.000000,33481458000.000000,10108902000.000000,2634260000.000000,-29477343000.000000,,5839848000.000000,22587125000.000000,160866181000.000000,-55678769000.000000,105187412000.000000,-10411892000.000000,94775520000.000000,,,94775520000.000000,105187412000.000000,-10411892000.000000,94775520000.000000,,,,
12M 2009,1500639310000.000000,-1260000440000.000000,240638870000.000000,-86278281000.000000,-40276263000.000000,-46002018000.000000,,,-86278281000.000000,154360589000.000000,-20423151000.000000,-7709436000.000000,6327123000.000000,1157640000.000000,-12194308000.000000,,-8004170000.000000,-20423151000.000000,133937438000.000000,-58224487000.000000,75712951000.000000,-3607377000.000000,72105574000.000000,,,72105574000.000000,75712951000.000000,-3607377000.000000,72105574000.000000,,,,
12M 2010,1805359612000.000000,-1497478944000.000000,307880668000.000000,-93450666000.000000,-45055998000.000000,-48394668000.000000,,,-93450666000.000000,214430002000.000000,-532701000.000000,-2343504000.000000,3019264000.000000,-179546000.000000,-422114000.000000,,-606801000.000000,-532701000.000000,213897301000.000000,-69122655000.000000,144774646000.000000,-10614447000.000000,134160199000.000000,,,134160199000.000000,144774646000.000000,-10614447000.000000,134160199000.000000,,,,
12M 2011,1900212056000.000000,-1616094915000.000000,284117141000.000000,-94257157000.000000,-40857389000.000000,-53399768000.000000,,,-94257157000.000000,189859984000.000000,-66852612000.000000,2437059000.000000,1654115000.000000,,-6177115000.000000,,-64766671000.000000,-66852612000.000000,123007372000.000000,-51967744000.000000,71039628000.000000,,71039628000.000000,-16060592000.000000,54979036000.000000,71039628000.000000,67489275000.000000,3550353000.000000,71039628000.000000,54979036000.000000,57328364000.000000,-2349328000.000000,54979036000.000000
12M 2012,174136178.000000,-159726341.000000,14409837.000000,-10753235.000000,-4371443.000000,-6381792.000000,,,-10753235.000000,3656602.000000,21658264.000000,314369.000000,226375.000000,,-921776.000000,,22039296.000000,21658264.000000,25314866.000000,-2768550.000000,22546316.000000,,22546316.000000,1980731.000000,24527047.000000,22546316.000000,16791809.000000,5754507.000000,22546316.000000,24527047.000000,18055308.000000,6471739.000000,24527047.000000
12M 2013,200167829.000000,-177852614.000000,22315215.000000,-11173536.000000,-5036894.000000,-6136642.000000,,,-11173536.000000,11141679.000000,-2747597.000000,-2396896.000000,96944.000000,,-1113501.000000,,665856.000000,-2747597.000000,8394082.000000,-2851812.000000,5542270.000000,,5542270.000000,-3584804.000000,1957466.000000,5542270.000000,4827654.000000,714616.000000,5542270.000000,1957466.000000,2526568.000000,-569102.000000,1957466.000000
12M 2014,207717046.000000,-173388060.000000,34328986.000000,-12031368.000000,-5353743.000000,-6677625.000000,,,-12031368.000000,22297618.000000,-500232.000000,363386.000000,146190.000000,,-2137801.000000,,1127993.000000,-500232.000000,21797386.000000,-5911019.000000,15886367.000000,,15886367.000000,1158870.000000,17045237.000000,15886367.000000,13796575.000000,2089792.000000,15886367.000000,17045237.000000,14540454.000000,2504783.000000,17045237.000000
12M 2015,207866547.000000,-172571775.000000,35294772.000000,-11821505.000000,-5477788.000000,-6343717.000000,,,-11821505.000000,23473267.000000,-5188879.000000,-1218696.000000,76437.000000,,-4231918.000000,,185298.000000,-5188879.000000,18284388.000000,-5710782.000000,12573606.000000,,12573606.000000,-2141135.000000,10432471.000000,12573606.000000,10412569.000000,2161037.000000,12573606.000000,10432471.000000,9066447.000000,1366024.000000,10432471.000000
12M 2016,220298959.000000,-175146608.000000,45152351.000000,-12071025.000000,-5909022.000000,-6162003.000000,,,-12071025.000000,33081326.000000,-2043672.000000,195316.000000,69602.000000,,-3435415.000000,,1126825.000000,-2043672.000000,31037654.000000,-8738072.000000,22299582.000000,,22299582.000000,193870.000000,22493452.000000,22299582.000000,19266499.000000,3033083.000000,22299582.000000,22493452.000000,19312760.000000,3180692.000000,22493452.000000
12M 2017,241782757.000000,-195030073.000000,46752684.000000,-13420099.000000,-6992118.000000,-6427981.000000,,,-13420099.000000,33332585.000000,736853.000000,185111.000000,61618.000000,,-2565940.000000,,3056064.000000,736853.000000,34069438.000000,-9501511.000000,24567927.000000,,24567927.000000,4264807.000000,28832734.000000,24567927.000000,22324326.000000,2243601.000000,24567927.000000,28832734.000000,25040005.000000,3792729.000000,28832734.000000
12M 2018,264440260.000000,-223332698.000000,41107562.000000,-13548267.000000,-7151962.000000,-6396305.000000,,,-13548267.000000,27559295.000000,-462293.000000,-173775.000000,178450.000000,,-2072602.000000,,1605634.000000,-462293.000000,27097002.000000,-7719952.000000,19377050.000000,,19377050.000000,6161515.000000,25538565.000000,19377050.000000,16971417.000000,2405633.000000,19377050.000000,25538565.000000,23185145.000000,2353420.000000,25538565.000000
12M 2019,245619303.000000,-214482204.000000,31137099.000000,-12340568.000000,-5651891.000000,-6688677.000000,,,-12340568.000000,18796531.000000,1742313.000000,745108.000000,157184.000000,,-1222871.000000,,2062892.000000,1742313.000000,20538844.000000,-5956151.000000,14582693.000000,,14582693.000000,3395349.000000,17978042.000000,14582693.000000,13502969.000000,1079724.000000,14582693.000000,17978042.000000,15628043.000000,2349999.000000,17978042.000000
12M 2020,168492294.000000,-156593859.000000,11898435.000000,-10553865.000000,-5239137.000000,-5314728.000000,,,-10553865.000000,1344570.000000,-5606983.000000,-309393.000000,167523.000000,,-963208.000000,,-4501905.000000,-5606983.000000,-4262413.000000,216996.000000,-4045417.000000,,-4045417.000000,-386997.000000,-4432414.000000,-4045417.000000,-3895537.000000,-149880.000000,-4045417.000000,-4432414.000000,-4098379.000000,-334035.000000,-4432414.000000
12M 2021,259766696.000000,-211680939.000000,48085757.000000,-17335226.000000,-10789338.000000,-6545888.000000,,,-17335226.000000,30750531.000000,5062760.000000,351347.000000,116987.000000,,-836541.000000,,5430967.000000,5062760.000000,35813291.000000,-9374490.000000,26438801.000000,,26438801.000000,-4462969.000000,21975832.000000,26438801.000000,24973072.000000,1465729.000000,26438801.000000,21975832.000000,22105463.000000,-129631.000000,21975832.000000
12M 2022,335234244.000000,-268247457.000000,66986787.000000,-19759277.000000,-12019002.000000,-7740275.000000,,,-19759277.000000,47227510.000000,-1877221.000000,-868624.000000,110685.000000,,-1026045.000000,,-93237.000000,-1877221.000000,45350289.000000,-10430588.000000,34919701.000000,,34919701.000000,-5072547.000000,29847154.000000,34919701.000000,31985804.000000,2933897.000000,34919701.000000,29847154.000000,27532331.000000,2314823.000000,29847154.000000
12M 2023,251962129.000000,-214377491.000000,37584638.000000,-15283934.000000,-6689603.000000,-8594331.000000,,,-15283934.000000,22300704.000000,2604824.000000,870847.000000,1310139.000000,,-1265860.000000,,1689698.000000,2604824.000000,24905528.000000,-7454419.000000,17451109.000000,,17451109.000000,84947.000000,17536056.000000,17451109.000000,15315409.000000,2135700.000000,17451109.000000,17536056.000000,15378025.000000,2158031.000000,17536056.000000
12M 2024,230915213.000000,-194763063.000000,36152150.000000,-17379260.000000,-9388026.000000,-7991234.000000,,,-17379260.000000,18772890.000000,1366403.000000,-180224.000000,2562825.000000,,-1270415.000000,,254217.000000,1366403.000000,20139293.000000,-5889473.000000,14249820.000000,,14249820.000000,336249.000000,14586069.000000,14249820.000000,11967185.000000,2282635.000000,14249820.000000,14586069.000000,12232876.000000,2353193.000000,14586069.000000
