Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Properti Pertambangan,Goodwill,Aset Eksplorasi Dan Evaluasi,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lain Jangka Panjang,Liabilitas Derivatif,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Dari Pihak Ketiga,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,47779551000.000000,725595000.000000,725595000.000000,,725595000.000000,1749177000.000000,,1749177000.000000,1749177000.000000,,1526928000.000000,51781251000.000000,,2652872000.000000,6519931693000.000000,,886801917000.000000,,,,4911393086000.000000,2866576520000.000000,15187356088000.000000,15239137339000.000000,,,42050242000.000000,,26000026000.000000,3162729000.000000,457491000.000000,12429996000.000000,,,,,,,42050242000.000000,15412911280000.000000,15333260963000.000000,,75009490000.000000,75009490000.000000,,4640827000.000000,,15412911280000.000000,15454961522000.000000,,520000000.000000,,-3571593000.000000,104125540000.000000,-316898130000.000000,-215824183000.000000,15239137339000.000000,520.000000
12M 2010,,,913750630000.000000,,,,,,,,,,1068143962000.000000,1981894592000.000000,,29248299000.000000,9174826484000.000000,,908746608000.000000,,,,4902618539000.000000,3098786495000.000000,18114226425000.000000,20096121017000.000000,,,295142924000.000000,,19866802000.000000,9396354000.000000,73471795000.000000,81846418000.000000,,79391466000.000000,,31170089000.000000,110561555000.000000,,295142924000.000000,2648319301000.000000,460679583000.000000,,2182255564000.000000,2182255564000.000000,,5384154000.000000,,2648319301000.000000,2943462225000.000000,,11355380000000.000000,-2853785000.000000,761032299000.000000,432566722000.000000,4606533556000.000000,17152658792000.000000,20096121017000.000000,18168608000.000000
12M 2011,,,129195775000.000000,,,,,76738000000.000000,,76738000000.000000,76738000000.000000,,1297434694000.000000,1503368469000.000000,,256253521000.000000,9753221329000.000000,81967045000.000000,1180941053000.000000,,,,3600037409000.000000,1028622146000.000000,15901042503000.000000,17404410972000.000000,,,324325297000.000000,,96145847000.000000,11867287000.000000,43446141000.000000,77842908000.000000,,82419401000.000000,,12603713000.000000,95023114000.000000,,324325297000.000000,3014403699000.000000,458267119000.000000,,2541115318000.000000,2541115318000.000000,,15021262000.000000,,3014403699000.000000,3338728996000.000000,,15981343776000.000000,245367142000.000000,1392818731000.000000,323005198000.000000,-3876852871000.000000,14065681976000.000000,17404410972000.000000,25570150041.000000
12M 2012,,,6850390.000000,,,,,,,,,,182333696.000000,189184086.000000,,925709.000000,1029972246.000000,27697690.000000,550474441.000000,,,55114712.000000,,133738086.000000,1797922884.000000,1987106970.000000,,,458819620.000000,98693467.000000,14186043.000000,1405423.000000,9546931.000000,13662828.000000,,309729551.000000,,,309729551.000000,11595377.000000,458819620.000000,70822764.000000,53879862.000000,,14429991.000000,14429991.000000,,82056.000000,2430855.000000,70822764.000000,529642384.000000,,1743318971.000000,-409198357.000000,108450909.000000,-2322882.000000,17215945.000000,1457464586.000000,1987106970.000000,25570150644.000000
12M 2013,,,6238628.000000,,,,,,,,,,6206045.000000,12444673.000000,,142636278.000000,1009961865.000000,51772622.000000,542559639.000000,,,46593452.000000,,81169735.000000,1874693591.000000,1887138264.000000,,,508024984.000000,116560775.000000,10768857.000000,2091441.000000,14644198.000000,26936551.000000,,337023162.000000,,,337023162.000000,,508024984.000000,71084530.000000,67841003.000000,,714398.000000,714398.000000,,11246.000000,2517883.000000,71084530.000000,579109514.000000,,1743318971.000000,-409198357.000000,-12702619.000000,-27005743.000000,13616498.000000,1308028750.000000,1887138264.000000,25570150644.000000
12M 2014,,,6276401.000000,,,,,,,,,,1011984.000000,7288385.000000,,132418465.000000,965923506.000000,74522411.000000,130758802.000000,412480533.000000,,51731693.000000,,88407026.000000,1856242436.000000,1863530821.000000,,,627143402.000000,143897249.000000,11175822.000000,2206926.000000,37656847.000000,25987962.000000,,406218596.000000,,,406218596.000000,,627143402.000000,76615808.000000,73006061.000000,,191769.000000,191769.000000,,2315.000000,3415663.000000,76615808.000000,703759210.000000,,1743318971.000000,-409198357.000000,-102001885.000000,-83784595.000000,11437477.000000,1159771611.000000,1863530821.000000,25570150644.000000
12M 2015,,,7240573.000000,923899.000000,,,923899.000000,,,,,,555186.000000,8719658.000000,,122440128.000000,1033429604.000000,96936954.000000,127648257.000000,414040427.000000,,96644784.000000,,92966507.000000,1984106661.000000,1992826319.000000,,,817468679.000000,170780034.000000,62076303.000000,2118894.000000,78415519.000000,21464354.000000,,482613575.000000,,,482613575.000000,,817468679.000000,78987379.000000,75335102.000000,,304797.000000,304797.000000,,,3347480.000000,78987379.000000,896456058.000000,,1743318971.000000,-409198357.000000,-144619700.000000,-102008999.000000,8878346.000000,1096370261.000000,1992826319.000000,25570150644.000000
12M 2016,,,2679915.000000,,,,,,,,,,1252901.000000,3932816.000000,,101990666.000000,,153819726.000000,126205455.000000,411609280.000000,,98564944.000000,,179472380.000000,1071662451.000000,1075595267.000000,,,269031740.000000,190961331.000000,51539041.000000,1389157.000000,24767243.000000,280700.000000,,94268.000000,,,94268.000000,,269031740.000000,168840476.000000,75404668.000000,,90279140.000000,90279140.000000,,,3156668.000000,168840476.000000,437872216.000000,,1743318971.000000,-408850214.000000,-459997065.000000,-245468174.000000,8719533.000000,637723051.000000,1075595267.000000,25570150644.000000
12M 2017,,,5247380.000000,,,,,,,,,,394103434.000000,399350814.000000,,45499810.000000,,78643831.000000,19771195.000000,26337645.000000,,76285842.000000,,220731711.000000,467270034.000000,866620848.000000,,,191997801.000000,53995367.000000,6681704.000000,26868107.000000,1567373.000000,69405.000000,,99620076.000000,,,99620076.000000,3195769.000000,191997801.000000,110310053.000000,75405570.000000,,154909.000000,154909.000000,31409536.000000,,3340038.000000,110310053.000000,302307854.000000,,1881485536.000000,-314884932.000000,-693678283.000000,-260088541.000000,-48520786.000000,564312994.000000,866620848.000000,62322456902.000000
12M 2018,,,8205883.000000,,,,,,,,,,33392652.000000,41598535.000000,,45500572.000000,,78617749.000000,2646878.000000,27852882.000000,,84631603.000000,,409909964.000000,649159648.000000,690758183.000000,,,62020873.000000,53995367.000000,6292978.000000,903286.000000,510392.000000,173921.000000,,144929.000000,,,144929.000000,,62020873.000000,109787709.000000,75405317.000000,,,,31409536.000000,,2972856.000000,109787709.000000,171808582.000000,,1881485536.000000,-314884932.000000,-796457433.000000,-259913103.000000,8719533.000000,518949601.000000,690758183.000000,62322456902.000000
12M 2019,,,752333.000000,,,,,,,,,1800560.000000,35341136.000000,37894029.000000,,45503163.000000,,78652841.000000,11816152.000000,132721591.000000,,,,406418558.000000,675112305.000000,713006334.000000,,,113596146.000000,53995367.000000,5383033.000000,52262673.000000,956841.000000,531795.000000,,,,,,466437.000000,113596146.000000,79086393.000000,75407768.000000,,,,,,3678625.000000,79086393.000000,192682539.000000,,1881485536.000000,-314884932.000000,-795065882.000000,-259930460.000000,8719533.000000,520323795.000000,713006334.000000,62322456902.000000
12M 2020,,,2171078.000000,550013.000000,,550013.000000,550013.000000,,,,,8560650.000000,35709559.000000,46991300.000000,,37030.000000,,69230260.000000,14942689.000000,140452276.000000,,,,316489817.000000,541152072.000000,588143372.000000,,,67109899.000000,,5543072.000000,56095131.000000,3252164.000000,1663270.000000,,,,,,556262.000000,67109899.000000,34329828.000000,29943422.000000,,,,,,4386406.000000,34329828.000000,101439727.000000,,1912725385.000000,-293641834.000000,-882131504.000000,-258967935.000000,8719533.000000,486703645.000000,588143372.000000,71007759834.000000
