Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2009,,,,,,,,,,,,,,,1.23
12M 2010,0.89,,,0.89,409.34,,,,0.17,0.33,0.01,0.01,0.09,0.09,6.72
12M 2011,,,,,,,,,0.18,0.17,0.01,0.01,0.16,0.16,4.64
12M 2012,,,,,,,,,0.07,0.04,0.01,0.01,-0.08,-0.08,0.41
12M 2013,,,,,,,,,0.04,0.04,0.01,0.01,-0.04,-0.04,0.02
12M 2014,,,,,,,,,0.05,0.12,0.01,0.01,-0.03,-0.03,0.01
12M 2015,13.89,,,13.89,26.28,26.28,,,0.1,0.09,0.01,0.01,-0.02,-0.02,0.01
12M 2016,80.46,,,80.46,4.54,164.45,,,0.02,0.02,,,-0.01,-0.01,0.01
12M 2017,,,,,,,,,0.07,0.07,0.01,0.01,0.02,0.02,2.08
12M 2018,,,,,,,,,0.11,0.38,,,-0.06,-0.06,0.67
12M 2019,,,,,,,,,0.62,0.39,0.01,0.01,-0.06,-0.06,0.33
12M 2020,11.64,778.89,817.56,-27.03,31.35,31.35,0.47,0.36,0.65,0.64,0.01,0.01,-0.43,-0.43,0.7
12M 2021,9.35,644.86,627.85,26.36,39.03,17.47,0.57,0.55,0.14,0.09,0.01,0.01,0.06,0.06,2.97
12M 2022,,597.13,695.57,-98.44,,,0.61,0.57,0.07,0.07,0.01,0.01,0.09,0.09,2.77
12M 2023,0.5,128.25,217.26,-88.51,731.3,46.67,2.85,1.95,0.25,0.23,0.04,0.04,0.75,0.75,1.73
12M 2024,0.14,50.63,57.79,-7.02,2645.02,62.21,7.21,4.5,0.79,0.79,0.14,0.14,5.33,5.33,1.2
