Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2010,18.17 B,61.82,10.42,78.79,,5.59%,6.72%,0.62%,0.10
12M 2011,25.57 B,26.00,19.62,71.28,,3.82%,4.84%,0.14%,0.07
12M 2012,25.57 B,-11.24,-21.44,28.69,,-1.50%,-2.04%,0.52%,0.13
12M 2013,25.57 B,-57.80,-3.29,20.29,,-6.42%,-9.07%,0.59%,0.09
12M 2014,25.57 B,-43.45,-7.00,38.69,,-4.79%,-7.18%,0.70%,0.07
12M 2015,25.57 B,-22.55,-2.13,7.33,,-2.10%,-3.49%,-0.12%,-0.01
12M 2016,25.57 B,-164.17,-0.39,56.61,,-29.05%,-35.38%,-0.30%,-0.03
12M 2017,62.32 B,-50.04,-1.26,58.67,,-26.56%,-27.92%,-0.66%,-0.08
12M 2018,62.32 B,-23.67,-2.03,177.61,(60.12 B),-14.74%,-13.08%,-0.76%,-108.21
12M 2019,62.32 B,0.29,172.41,49.38,(1.31 B),0.18%,0.17%,-0.12%,-35.95
12M 2020,71.01 B,0.81,98.77,46.71,10.15 B,0.69%,0.55%,-0.02%,-27.14
12M 2021,129.11 B,7.66,15.14,98.93,25.80 B,7.07%,6.37%,0.12%,29.69
12M 2022,141.78 B,1.43,111.19,130.14,38.34 B,1.21%,1.12%,0.11%,21.37
12M 2023,141.78 B,1.50,113.33,33.88,323.57 B,1.24%,1.17%,1.65%,538.56
12M 2024,141.78 B,2.73,126.74,19.07,810.42 B,2.07%,1.99%,4.24%,4.67
