Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2009,,,,,,,,,,,,,,,0.0
12M 2010,,,,,,,,,4.11,8.04,0.1,0.16,,,0.0
12M 2011,,,,,,,,,4.5,3.93,0.09,0.08,,,0.0
12M 2012,,,,,,,,,3.42,2.96,0.09,0.09,,,0.0
12M 2013,,,,,,,,,2.68,2.58,0.09,0.08,,,0.0
12M 2014,,,,,,,,,3.18,3.08,0.09,0.09,,,0.0
12M 2015,,,,,,,,,2.94,2.81,0.1,0.08,,,0.0
12M 2016,,,,,,,,,2.77,2.77,0.1,0.1,,,0.0
12M 2017,,,,,,,,,2.85,2.77,0.1,0.1,,,0.0
12M 2018,,,,,,,,,2.63,2.57,0.1,0.1,,,0.0
12M 2019,,,,,,,,,2.57,2.49,0.1,0.09,,,0.0
12M 2020,,,,,,,,,2.21,2.13,0.08,0.08,,,0.0
12M 2021,,,,,,,,,2.12,2.16,0.07,0.07,,,0.0
12M 2022,,,,,,,,,2.16,2.17,0.07,0.07,,,0.0
12M 2023,,,,,,,,,2.26,2.25,0.07,0.07,,,0.0
12M 2024,,,,,,,,,2.4,2.43,0.07,0.07,,,0.0
