Period,Total Pendapatan,Pendapatan Bunga,Others,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Others,Total
12M 2009,782390000000.000000,782390000000.000000,,782390000000.000000,-470357000000.000000,-470357000000.000000,,
12M 2010,916108000000.000000,916108000000.000000,,916108000000.000000,-497652000000.000000,-497652000000.000000,,
12M 2011,1310172000000.000000,1310172000000.000000,,1310172000000.000000,-798535000000.000000,-798535000000.000000,,
12M 2012,1451584000000.000000,1451584000000.000000,,1451584000000.000000,-671392000000.000000,-671392000000.000000,,
12M 2013,1390147000000.000000,1390147000000.000000,,1390147000000.000000,-563787000000.000000,-563787000000.000000,,
12M 2014,1794506000000.000000,1794506000000.000000,,1794506000000.000000,-806881000000.000000,-806881000000.000000,,
12M 2015,2379676000000.000000,2379676000000.000000,,2379676000000.000000,-1048493000000.000000,-1048493000000.000000,,
12M 2016,2881420000000.000000,2881420000000.000000,,2881420000000.000000,-1136444000000.000000,-1136444000000.000000,,
12M 2017,3106718000000.000000,2708982000000.000000,397736000000.000000,3106718000000.000000,-1181506000000.000000,-1181506000000.000000,,
12M 2018,3085519000000.0,2604754000000.0,480765000000.0,3085519000000.0,-919577000000.0,-763373000000.0,-156204000000.0,
12M 2019,3360860000000.0,2781204000000.0,579656000000.0,3360860000000.0,-1150357000000.0,-967014000000.0,-183343000000.0,
12M 2020,3300261000000.0,2632465000000.0,667796000000.0,3300261000000.0,-1112057000000.0,-905187000000.0,-206870000000.0,
12M 2021,3317979000000.0,2622909000000.0,695070000000.0,3317979000000.0,-902182000000.0,-687603000000.0,-214579000000.0,
12M 2022,3298457000000.0,2527616000000.0,770841000000.0,3298457000000.0,-765810000000.0,-566923000000.0,-198887000000.0,
12M 2023,3515811000000.0,2781795000000.0,734016000000.0,3515811000000.0,-892492000000.0,-632923000000.0,-259569000000.0,
12M 2024,3788903000000.0,3018913000000.0,769990000000.0,3788903000000.0,-1190095000000.0,-829608000000.0,-360487000000.0,
