Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2010,,,,,,,,,,,,,,,1.08
12M 2011,34.67,63.4,171.19,-73.12,10.53,,5.76,,11.87,,0.7,,21.32,,1.06
12M 2012,60.51,69.99,117.56,12.94,6.03,7.44,5.22,8.12,16.84,28.45,0.92,1.56,3.41,3.41,1.68
12M 2013,46.1,56.7,73.12,29.68,7.92,5.85,6.44,5.32,4.13,2.32,1.06,0.85,-4.22,-4.22,0.49
12M 2014,30.73,27.33,35.62,22.44,11.88,11.6,13.35,15.59,3.47,3.56,1.34,1.34,-11.23,-11.23,0.67
12M 2015,32.82,15.81,25.84,22.79,11.12,11.61,23.09,26.38,4.08,3.69,1.55,1.39,-27.52,-27.52,0.84
12M 2016,44.45,13.13,25.17,32.41,8.21,9.18,27.8,29.45,3.51,3.52,1.33,1.38,45.44,45.44,1.11
12M 2017,39.87,8.97,14.74,34.1,9.15,7.86,40.71,33.23,5.87,6.02,1.98,1.81,15.87,15.87,1.45
12M 2018,41.95,13.7,20.05,35.6,8.7,8.07,26.64,17.25,7.2,7.08,1.98,1.73,27.26,27.26,1.21
12M 2019,44.9,16.89,31.99,29.8,8.13,8.84,21.61,20.54,6.8,6.85,1.68,1.67,32.06,32.06,1.21
12M 2020,55.22,15.08,33.11,37.19,6.61,7.76,24.2,18.28,5.84,5.75,1.34,1.29,9.76,9.76,1.58
12M 2021,31.83,14.86,18.38,28.31,11.47,11.28,24.56,19.53,11.8,11.46,1.99,1.79,6.79,6.79,1.6
12M 2022,22.98,19.11,14.44,27.65,15.88,15.6,19.1,15.98,15.46,14.07,2.44,2.42,23.38,23.38,1.25
12M 2023,24.48,17.89,15.99,26.38,14.91,14.86,20.4,16.0,15.59,15.36,2.74,2.61,19.24,19.24,1.38
12M 2024,31.48,23.0,16.31,38.17,11.59,11.27,15.87,12.62,13.29,13.53,2.4,2.32,11.38,11.38,1.75
