Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Adjustment,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,4412083400.000000,-10824775310.000000,-6412691910.000000,-2478710636.000000,,-138709856.000000,-2340000780.000000,-2478710636.000000,-8891402546.000000,-13851284.000000,,1556286.000000,-4152231.000000,,-11255339.000000,-13851284.000000,-8905253830.000000,-138000931.000000,276001862.000000,-8767252899.000000,,,-8767252899.000000,-8767252899.000000,,,-8767252899.000000,,,,,
12M 2009,10219506500.000000,-14479222691.000000,-4259716191.000000,-1957553658.000000,,-228772600.000000,-1728781058.000000,-1957553658.000000,-6217269849.000000,24780306.000000,,993181.000000,-4052180.000000,,27839305.000000,24780306.000000,-6192489543.000000,39790475.000000,-79580950.000000,-6232280018.000000,,,-6232280018.000000,-6232280018.000000,,,-6232280018.000000,,,,,
12M 2010,21222020400.000000,-25934405352.000000,-4712384952.000000,-2725551544.000000,-2725551544.000000,,,-2725551544.000000,-7437936496.000000,43370480.000000,,,,,43370480.000000,43370480.000000,-7394566016.000000,2845675330.000000,,-4548890686.000000,,,-4548890686.000000,-4548890686.000000,,,-4548890686.000000,,,,,
12M 2011,23973345663.000000,-18198711338.000000,5774634325.000000,-5532969029.000000,,-215668095.000000,-5317300934.000000,-5532969029.000000,241665296.000000,-111333758.000000,,,,,-111333758.000000,-111333758.000000,130331538.000000,-3873432313.000000,,-3743100775.000000,,-3743100775.000000,-3743100775.000000,-3743100775.000000,,,-3743100775.000000,-3743100775.000000,-3743100775.000000,,,-3743100775.000000
12M 2012,62161737788.000000,-54491144048.000000,7670593740.000000,-5888989865.000000,,-1185175595.000000,-4703814270.000000,-5888989865.000000,1781603875.000000,-884367946.000000,-844563766.000000,,,,-39804180.000000,-884367946.000000,897235929.000000,127755612.000000,,1024991541.000000,,1024991541.000000,1024991541.000000,1024991541.000000,,,1024991541.000000,1024991541.000000,1024991541.000000,,,1024991541.000000
12M 2013,46980927036.000000,-42043813611.000000,4937113425.000000,-5221602330.000000,,-1243182705.000000,-3978419625.000000,-5221602330.000000,-284488905.000000,2531603228.000000,,,,,2531603228.000000,2531603228.000000,2247114323.000000,54366063.000000,,2301480386.000000,,2301480386.000000,2301480385.000000,2301480385.000000,,,2301480385.000000,2301480385.000000,2301480385.000000,,,2301480385.000000
12M 2014,43386541235.000000,-34118316637.000000,9268224598.000000,-11067561713.000000,,-1513899194.000000,-9553662519.000000,-11067561713.000000,-1799337115.000000,245682453.000000,,,,,245682453.000000,245682453.000000,-1553654662.000000,-1669342819.000000,,-3222997481.000000,-1388158424.000000,-4611155905.000000,-3222997481.000000,-2680823454.000000,-542174027.000000,,-3222997481.000000,-4611155905.000000,-4068981878.000000,-542174027.000000,,-4611155905.000000
12M 2015,49116023376.000000,-34551751719.000000,14564271657.000000,-13094670926.000000,,-1141757003.000000,-11952913923.000000,-13094670926.000000,1469600731.000000,-1200222679.000000,,,-1336538081.000000,,136315402.000000,-1200222679.000000,269378052.000000,2518750.000000,,271896802.000000,836333000.000000,1108229802.000000,271896801.000000,509499458.000000,-237602657.000000,,271896801.000000,1108229801.000000,1271476658.000000,-163246857.000000,,1108229801.000000
12M 2016,748088902523.000000,-638351290632.000000,109737611891.000000,-36658062016.000000,-36658062016.000000,,,-36658062016.000000,73079549875.000000,-70741505539.000000,,158543704.000000,-59298672202.000000,,-11601377041.000000,-70741505539.000000,2338044336.000000,-91854523.000000,,2246189813.000000,-10285638277.000000,-8039448464.000000,2246189813.000000,1650275656.000000,595914157.000000,,2246189813.000000,-8039448464.000000,-4373656051.000000,-3665792413.000000,,-8039448464.000000
12M 2017,887141290201.000000,-773313851789.000000,113827438412.000000,-48190631795.000000,-48190631795.000000,,,-48190631795.000000,65636806617.000000,-106740686289.000000,,325675513.000000,-99828823485.000000,,-7237538317.000000,-106740686289.000000,-41103879672.000000,-1739913359.000000,,-42843793031.000000,-8835697580.000000,-51679490611.000000,-42843793031.000000,-31477334742.000000,-11366458289.000000,,-42843793031.000000,-51679490611.000000,-45581398207.000000,-6098092404.000000,,-51679490611.000000
12M 2018,890045953988.000000,-809143951385.000000,80902002603.000000,-41678254600.000000,-41678254600.000000,,,-41678254600.000000,39223748003.000000,38494383615.000000,,64969083.000000,-84796803116.000000,,123226217648.000000,38494383615.000000,77718131618.000000,-1716400752.000000,,76001730866.000000,38285360252.000000,114287091118.000000,76001730866.000000,76001730866.000000,,,76001730866.000000,114287091118.000000,114287091118.000000,,,114287091118.000000
12M 2019,697914218244.000000,-675755697970.000000,22158520274.000000,-25079893777.000000,-25079893777.000000,,,-25079893777.000000,-2921373503.000000,-110723026218.000000,,,-97507687636.000000,,-13215338582.000000,-110723026218.000000,-113644399721.000000,29800599127.000000,,-83843800594.000000,-34068947807.000000,-117912748401.000000,-83843800594.000000,-83843800594.000000,,,-83843800594.000000,-117912748401.000000,-117912748401.000000,,,-117912748401.000000
12M 2020,1013029439944.000000,-1364881167697.000000,-351851727753.000000,-27512156815.000000,-27512156815.000000,,,-27512156815.000000,-379363884568.000000,-245064342336.000000,,,-89111131560.000000,,-155953210776.000000,-245064342336.000000,-624428226904.000000,114920335992.000000,,-509507890912.000000,29263609789.000000,-480244281123.000000,-509507890912.000000,-509507890912.000000,,,-509507890912.000000,-480244281123.000000,-480244281123.000000,,,-480244281123.000000
12M 2021,146942545316.000000,-158544255213.000000,-11601709897.000000,-29961770649.000000,-29961770649.000000,,,-29961770649.000000,-41563480546.000000,-94292526126.000000,,,-91838239348.000000,,-2454286778.000000,-94292526126.000000,-135856006672.000000,29344017346.000000,,-106511989326.000000,5730276570.000000,-100781712756.000000,-106511989327.000000,-106511989327.000000,,,-106511989327.000000,-100781712757.000000,-100781712757.000000,,,-100781712757.000000
12M 2022,153501795074.000000,-165324746502.000000,-11822951428.000000,-29200964615.000000,-29200964615.000000,,,-29200964615.000000,-41023916043.000000,-92344771679.000000,,,-89447808313.000000,,-2896963366.000000,-92344771679.000000,-133368687722.000000,-100565328.000000,,-133469253050.000000,-225208388627.000000,-358677641677.000000,-133469253051.000000,-133469253051.000000,,,-133469253051.000000,-358677641678.000000,-358677641678.000000,,,-358677641678.000000
12M 2023,196668165620.000000,-202695414069.000000,-6027248449.000000,-34507172913.000000,-34507172913.000000,,,-34507172913.000000,-40534421362.000000,-73211237851.000000,,,-91824528183.000000,,18613290332.000000,-73211237851.000000,-113745659213.000000,-302126265.000000,,-114047785478.000000,17980118134.000000,-96067667344.000000,-114047785478.000000,-114047785478.000000,,,-114047785478.000000,-96067667344.000000,-96067667344.000000,,,-96067667344.000000
