Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak,Penerimaan Restitusi Pajak,Penerimaan Lainnya,Pembayaran Untuk Aktivitas Operasi Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penurunan Neto Investasi Jangka Pendek,Penerimaan Atas Pelaksanaan Call And Put Option,Penerimaan Dari Penjualan Aset Keuangan Tersedia Untuk Dijual,Perolehan Aset Tetap,Penerimaan Dari Penjualan Aset Tetap,Pembayaran Akuisisi Entitas Anak,Penambahan Investasi Pada Entitas Anak,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Saham Seri B,Penerimaan (Pembayaran) Pinjaman Bank Jangka Pendek,Pembayaran Utang Obligasi,Pembayaran Utang Hubungan Istimewa,Pembayaran Biaya Penerbitan Obligasi,Penerimaan Dari Penerbitan Wesel Senior,Penerimaan Dari Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Utang Sewa Pembiayaan,Penerimaan Dari Penerbitan Waran,Penerbitan Kembali Saham Beredar Yang Diperoleh Kembali,Saham Beredar Yang Diperoleh Kembali,Penggunaan (Penempatan) Pada Kas Yang Dibatasi Penggunaannya,Pembayaran Pinjaman,Pembayaran Wesel Senior,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2007,504476733855.000000,1520955125886.000000,-669904662352.000000,-128075551793.000000,16381338058.000000,-45164610614.000000,-23905553678.000000,4046887654.000000,,-169856239306.000000,,504476733855.000000,-1970013854064.000000,-45516346093.000000,,,-1401515156257.000000,,,,-522982351714.000000,-1970013854064.000000,1521775916145.000000,,,650000000000.000000,,-7223895107.000000,,1333610459697.000000,-473181001665.000000,,18570353220.000000,,,,,,1521775916145.000000,56238795936.000000,239424066284.000000,,295662862220.000000
12M 2008,600056349918.000000,2507444107162.000000,-1265506569691.000000,-210839178871.000000,89740731111.000000,-216709985460.000000,-33142965852.000000,7022349321.000000,,-277952137802.000000,,600056349918.000000,-3408163649239.000000,-977658790870.000000,,,-2214560873256.000000,,,,-215943985113.000000,-3408163649239.000000,3014084162843.000000,,,,,,2938389007682.000000,1913175873.000000,,,121781131180.000000,,-47999151892.000000,,,,3014084162843.000000,205976863522.000000,295662862220.000000,,501639725742.000000
12M 2009,1143057476882.000000,2628468952536.000000,-936783355602.000000,-250802462775.000000,101325971330.000000,-335585800375.000000,-39391550480.000000,4114935328.000000,,-28289213080.000000,,1143057476882.000000,-531272863836.000000,521789067443.000000,,,-1579914155606.000000,390000000000.000000,,,136852224327.000000,-531272863836.000000,-397751629238.000000,,235000000000.000000,,,,,697814221.000000,-58298310399.000000,-662773459227.000000,,87622326167.000000,,,,,-397751629238.000000,214032983808.000000,501639725742.000000,,715672709550.000000
12M 2010,826344590157.000000,3033446574698.000000,-1469257730481.000000,-276520895307.000000,36817578808.000000,-416228475972.000000,-40646981495.000000,16669817052.000000,,-57935297146.000000,,826344590157.000000,-1605596534135.000000,281657614957.000000,,,-1780512518534.000000,225311817.000000,,,-106966942375.000000,-1605596534135.000000,397261967950.000000,,-235000000000.000000,,,,2254750000000.000000,271830425000.000000,-1274452383177.000000,-433865480720.000000,,,,-103206730806.000000,,-82793862347.000000,397261967950.000000,-381989976028.000000,715672709550.000000,,333682733522.000000
12M 2011,792414978633.000000,2896680048319.000000,-857930723536.000000,-321081027512.000000,8639226693.000000,-755106368525.000000,-48093633494.000000,25452688370.000000,,-156145231682.000000,,792414978633.000000,-1167124691133.000000,266523593043.000000,,,-1390705727020.000000,436023128.000000,,,-43378580284.000000,-1167124691133.000000,184781100569.000000,,,,,,1260718940000.000000,,-271964961891.000000,-677248895340.000000,,,,-55198442714.000000,,-71525539486.000000,184781100569.000000,-189928611931.000000,333682733522.000000,18568524386.000000,162322645977.000000
12M 2012,405845176279.000000,2579165555150.000000,-852022254475.000000,-361718558065.000000,2768669706.000000,-767783169352.000000,-211516000682.000000,183347292472.000000,,-166396358475.000000,,405845176279.000000,-301718151785.000000,4590904924.000000,,,-350587492106.000000,47650089471.000000,,,-3371654074.000000,-301718151785.000000,-10596078843.000000,557064865000.000000,,-650000000000.000000,,,,476650000000.000000,,-484176813349.000000,,,,112639147294.000000,-22773277788.000000,,-10596078843.000000,93530945651.000000,162322645977.000000,4556284224.000000,260409875852.000000
12M 2013,283671058258.000000,2083019926279.000000,-768186304657.000000,-341811435449.000000,2969914310.000000,-405590123335.000000,-146973239647.000000,860615038.000000,,-140618294281.000000,,283671058258.000000,-93835515127.000000,2463781629.000000,,,-274302614153.000000,60416457499.000000,,,117586859898.000000,-93835515127.000000,-407923425667.000000,,,,,,,,-105793908310.000000,-387606749318.000000,,,,85477231961.000000,,,-407923425667.000000,-218087882536.000000,260409875852.000000,720988927.000000,43042982243.000000
12M 2014,146320286500.000000,1124799879392.000000,-537413853834.000000,-320952228065.000000,656803424.000000,-31060910718.000000,-89709403699.000000,,,,,146320286500.000000,-111157510868.000000,,,,-134069063772.000000,22911552904.000000,,,,-111157510868.000000,-62825307630.000000,,,,,,,,,-62825307630.000000,,,,,,,-62825307630.000000,-27662531998.000000,43042982243.000000,442395284.000000,15822845529.000000
12M 2015,-157641000000.000000,423566000000.000000,-371390000000.000000,-173020000000.000000,67000000.000000,-3591000000.000000,-33273000000.000000,,,,,-157641000000.000000,147317000000.000000,,,146650000000.000000,-1206000000.000000,1873000000.000000,,,,147317000000.000000,,,,,,,,,,,,,,,,,,-10324000000.000000,15823000000.000000,221000000.000000,5720000000.000000
12M 2016,-2919000000.000000,98921000000.000000,-17457000000.000000,-82918000000.000000,46000000.000000,-1458000000.000000,-53000000.000000,,,,,-2919000000.000000,-563000000.000000,,,,,,-563000000.000000,,,-563000000.000000,,,,,,,,,,,,,,,,,,-3482000000.000000,5720000000.000000,-27000000.000000,2211000000.000000
12M 2017,-1786000000.000000,8176000000.000000,-4304000000.000000,-17517000000.000000,9000000.000000,-32000000.000000,-28105000000.000000,,39987000000.000000,,,-1786000000.000000,-75000000.000000,,,,-75000000.000000,,,,,-75000000.000000,,,,,,,,,,,,,,,,,,-1861000000.000000,2211000000.000000,,350000000.000000
12M 2018,30000000.000000,8433000000.000000,-42747000000.000000,-21806000000.000000,3000000.000000,-13000000.000000,-174000000.000000,,56334000000.000000,,,30000000.000000,-73000000.000000,,,,-73000000.000000,,,,,-73000000.000000,,,,,,,,,,,,,,,,,,-43000000.000000,350000000.000000,3000000.000000,310000000.000000
12M 2019,610000000.000000,8869000000.000000,-17790000000.000000,-8270000000.000000,46000000.000000,-15000000.000000,-416000000.000000,,18186000000.000000,,,610000000.000000,-54000000.000000,,,,-54000000.000000,,,,,-54000000.000000,,,,,,,,,,,,,,,,,,556000000.000000,310000000.000000,,866000000.000000
12M 2020,-335000000.000000,11665000000.000000,-9580000000.000000,-8632000000.000000,1000000.000000,-8000000.000000,-417000000.000000,,6636000000.000000,,,-335000000.000000,-122000000.000000,,,,-122000000.000000,,,,,-122000000.000000,,,,,,,,,,,,,,,,,,-457000000.000000,866000000.000000,,409000000.000000
12M 2021,7657000000.000000,41191000000.000000,-16393000000.000000,-23916000000.000000,3000000.000000,-32000000.000000,2639000000.000000,,4165000000.000000,,,7657000000.000000,-4913000000.000000,,,,-313000000.000000,,,-4600000000.000000,,-4913000000.000000,,,,,,,,,,,,,,,,,,2744000000.000000,409000000.000000,,3153000000.000000
12M 2022,-2620000000.000000,44864000000.000000,-19349000000.000000,-29794000000.000000,13000000.000000,-15000000.000000,783000000.000000,,878000000.000000,,,-2620000000.000000,-129000000.000000,,,,-129000000.000000,,,,,-129000000.000000,,,,,,,,,,,,,,,,,,-2749000000.000000,3153000000.000000,,404000000.000000
12M 2023,-1557000000.000000,62033000000.000000,-52325000000.000000,-20327000000.000000,11000000.000000,-50000000.000000,2178000000.000000,,6923000000.000000,,,-1557000000.000000,-10110000000.000000,,,,-10110000000.000000,,,,,-10110000000.000000,13763000000.000000,,,,13763000000.000000,,,,,,,,,,,,13763000000.000000,2096000000.000000,404000000.000000,,2500000000.000000
