Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Keuntungan Atas Penjualan Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1551987000000.000000,-1331548000000.000000,220439000000.000000,-84944000000.000000,-33147000000.000000,-51797000000.000000,-84944000000.000000,135495000000.000000,-99929000000.000000,,,-49412000000.000000,,,-51299000000.000000,782000000.000000,-99929000000.000000,35566000000.000000,-11046000000.000000,,-11046000000.000000,-11046000000.000000,24520000000.000000,8461000000.000000,32981000000.000000,,32981000000.000000,32981000000.000000,24520000000.000000,8461000000.000000,32981000000.000000,32981000000.000000,32981000000.000000,,32981000000.000000
12M 2009,1782132000000.000000,-1520875000000.000000,261257000000.000000,-107381000000.000000,-46019000000.000000,-61362000000.000000,-107381000000.000000,153876000000.000000,24541000000.000000,,,73434000000.000000,,,-53429000000.000000,4536000000.000000,24541000000.000000,178417000000.000000,-22660000000.000000,-10064000000.000000,-12596000000.000000,-22660000000.000000,155757000000.000000,-9342000000.000000,146415000000.000000,,146415000000.000000,146415000000.000000,155757000000.000000,-9342000000.000000,146415000000.000000,146415000000.000000,146415000000.000000,,146415000000.000000
12M 2010,2124381000000.000000,-1881605000000.000000,242776000000.000000,-108026000000.000000,-47606000000.000000,-60420000000.000000,-108026000000.000000,134750000000.000000,-62867000000.000000,,,11137000000.000000,909000000.000000,,-59941000000.000000,-14972000000.000000,-62867000000.000000,71883000000.000000,-25036000000.000000,-4672000000.000000,-20364000000.000000,-25036000000.000000,46847000000.000000,-717000000.000000,46130000000.000000,,46130000000.000000,46130000000.000000,46847000000.000000,-717000000.000000,46130000000.000000,46130000000.000000,46130000000.000000,,46130000000.000000
12M 2011,2503984000000.000000,-2187683000000.000000,316301000000.000000,-136812000000.000000,-67555000000.000000,-69257000000.000000,-136812000000.000000,179489000000.000000,-89394000000.000000,,19000000.000000,-15067000000.000000,971000000.000000,2143000000.000000,-61136000000.000000,-16324000000.000000,-89394000000.000000,90095000000.000000,-27130000000.000000,-12657000000.000000,-14473000000.000000,-27130000000.000000,62965000000.000000,,62965000000.000000,2678000000.000000,65643000000.000000,62965000000.000000,59128000000.000000,3837000000.000000,62965000000.000000,65643000000.000000,61806000000.000000,3837000000.000000,65643000000.000000
12M 2012,2295369000000.000000,-2091870000000.000000,203499000000.000000,-116189000000.000000,-41113000000.000000,-75076000000.000000,-116189000000.000000,87310000000.000000,-74835000000.000000,11170000000.000000,,-26883000000.000000,1034000000.000000,1085000000.000000,-70890000000.000000,9649000000.000000,-74835000000.000000,12475000000.000000,-7391000000.000000,-3180000000.000000,-4211000000.000000,-7391000000.000000,5084000000.000000,,5084000000.000000,-1434000000.000000,3650000000.000000,5084000000.000000,5049000000.000000,35000000.000000,5084000000.000000,3650000000.000000,3615000000.000000,35000000.000000,3650000000.000000
12M 2013,2568954000000.000000,-2261231000000.000000,307723000000.000000,-151609000000.000000,-71761000000.000000,-79848000000.000000,-151609000000.000000,156114000000.000000,-117565000000.000000,,,-87622000000.000000,492000000.000000,-288000000.000000,-88498000000.000000,58351000000.000000,-117565000000.000000,38549000000.000000,4337000000.000000,-4898000000.000000,9235000000.000000,4337000000.000000,42886000000.000000,,42886000000.000000,-3091000000.000000,39795000000.000000,42886000000.000000,10789000000.000000,32097000000.000000,42886000000.000000,39795000000.000000,7698000000.000000,32097000000.000000,39795000000.000000
12M 2014,2284211000000.000000,-2007000000000.000000,277211000000.000000,-144847000000.000000,-62653000000.000000,-82194000000.000000,-144847000000.000000,132364000000.000000,-88876000000.000000,,,552000000.000000,704000000.000000,,-108849000000.000000,18717000000.000000,-88876000000.000000,43488000000.000000,-14989000000.000000,-979000000.000000,-14010000000.000000,-14989000000.000000,28499000000.000000,,28499000000.000000,-269000000.000000,28230000000.000000,28499000000.000000,27912000000.000000,587000000.000000,28499000000.000000,28230000000.000000,27643000000.000000,587000000.000000,28230000000.000000
12M 2015,2378805000000.000000,-2158224000000.000000,220581000000.000000,-98244000000.000000,-35882000000.000000,-62362000000.000000,-98244000000.000000,122337000000.000000,-70212000000.000000,,,-22922000000.000000,375000000.000000,,-108735000000.000000,61070000000.000000,-70212000000.000000,52125000000.000000,-31053000000.000000,-270000000.000000,-30783000000.000000,-31053000000.000000,21072000000.000000,,21072000000.000000,125394000000.000000,146466000000.000000,21072000000.000000,19602000000.000000,1470000000.000000,21072000000.000000,146466000000.000000,144934000000.000000,1532000000.000000,146466000000.000000
12M 2016,2467553000000.000000,-2193293000000.000000,274260000000.000000,-109409000000.000000,-32215000000.000000,-77194000000.000000,-109409000000.000000,164851000000.000000,-112019000000.000000,,,12869000000.000000,342000000.000000,,-118829000000.000000,-6401000000.000000,-112019000000.000000,52832000000.000000,-14208000000.000000,-3268000000.000000,-10940000000.000000,-14208000000.000000,38624000000.000000,,38624000000.000000,-1668000000.000000,36956000000.000000,38624000000.000000,33651000000.000000,4973000000.000000,38624000000.000000,36956000000.000000,32120000000.000000,4836000000.000000,36956000000.000000
12M 2017,2510578000000.000000,-2162779000000.000000,347799000000.000000,-165086000000.000000,-75437000000.000000,-89649000000.000000,-165086000000.000000,182713000000.000000,-121697000000.000000,,,272000000.000000,259000000.000000,,-115845000000.000000,-6383000000.000000,-121697000000.000000,61016000000.000000,-15325000000.000000,-4003000000.000000,-11322000000.000000,-15325000000.000000,45691000000.000000,,45691000000.000000,-4726000000.000000,40965000000.000000,45691000000.000000,41078000000.000000,4613000000.000000,45691000000.000000,40965000000.000000,36472000000.000000,4493000000.000000,40965000000.000000
12M 2018,2647193000000.000000,-2297120000000.000000,350073000000.000000,-156142000000.000000,-64164000000.000000,-91978000000.000000,-156142000000.000000,193931000000.000000,-122150000000.000000,,,12352000000.000000,631000000.000000,,-138096000000.000000,2963000000.000000,-122150000000.000000,71781000000.000000,-21314000000.000000,-21314000000.000000,,-21314000000.000000,50467000000.000000,,50467000000.000000,-687000000.000000,49780000000.000000,50467000000.000000,48064000000.000000,2403000000.000000,50467000000.000000,49780000000.000000,47363000000.000000,2417000000.000000,49780000000.000000
12M 2019,3003768000000.000000,-2622892000000.000000,380876000000.000000,-149098000000.000000,-49481000000.000000,-99617000000.000000,-149098000000.000000,231778000000.000000,-147873000000.000000,,,3341000000.000000,284000000.000000,,-146115000000.000000,-5383000000.000000,-147873000000.000000,83905000000.000000,-19884000000.000000,-8205000000.000000,-11679000000.000000,-19884000000.000000,64021000000.000000,,64021000000.000000,17308000000.000000,81329000000.000000,64021000000.000000,61228000000.000000,2793000000.000000,64021000000.000000,81329000000.000000,74251000000.000000,7078000000.000000,81329000000.000000
12M 2020,2725866000000.000000,-2371651000000.000000,354215000000.000000,-156980000000.000000,-53647000000.000000,-103333000000.000000,-156980000000.000000,197235000000.000000,-127923000000.000000,,,-2604000000.000000,1138000000.000000,,-124677000000.000000,-1780000000.000000,-127923000000.000000,69312000000.000000,-2219000000.000000,-3634000000.000000,1415000000.000000,-2219000000.000000,67093000000.000000,,67093000000.000000,-3261000000.000000,63832000000.000000,67093000000.000000,62496000000.000000,4597000000.000000,67093000000.000000,63832000000.000000,59280000000.000000,4552000000.000000,63832000000.000000
12M 2021,3374782000000.000000,-2932579000000.000000,442203000000.000000,-219488000000.000000,-95834000000.000000,-123654000000.000000,-219488000000.000000,222715000000.000000,-108750000000.000000,,,3638000000.000000,1637000000.000000,,-115956000000.000000,1931000000.000000,-108750000000.000000,113965000000.000000,-22242000000.000000,-17669000000.000000,-4573000000.000000,-22242000000.000000,91723000000.000000,,91723000000.000000,812000000.000000,92535000000.000000,91723000000.000000,83283000000.000000,8440000000.000000,91723000000.000000,92535000000.000000,84155000000.000000,8380000000.000000,92535000000.000000
12M 2022,3382326000000.000000,-2968749000000.000000,413577000000.000000,-190604000000.000000,-58498000000.000000,-132106000000.000000,-190604000000.000000,222973000000.000000,-106942000000.000000,,,-272000000.000000,537000000.000000,,-107657000000.000000,450000000.000000,-106942000000.000000,116031000000.000000,-22966000000.000000,-20684000000.000000,-2282000000.000000,-22966000000.000000,93065000000.000000,,93065000000.000000,267000000.000000,93332000000.000000,93065000000.000000,88961000000.000000,4104000000.000000,93065000000.000000,93332000000.000000,89219000000.000000,4113000000.000000,93332000000.000000
12M 2023,3944953000000.000000,-3464462000000.000000,480491000000.000000,-238532000000.000000,-102961000000.000000,-135571000000.000000,-238532000000.000000,241959000000.000000,-114648000000.000000,,,3408000000.000000,1041000000.000000,,-120555000000.000000,1458000000.000000,-114648000000.000000,127311000000.000000,-24769000000.000000,-27480000000.000000,2711000000.000000,-24769000000.000000,102542000000.000000,,102542000000.000000,106734000000.000000,209276000000.000000,102542000000.000000,100802000000.000000,1740000000.000000,102542000000.000000,209276000000.000000,197977000000.000000,11299000000.000000,209276000000.000000
12M 2024,4009264000000.000000,-3588394000000.000000,420870000000.000000,-203785000000.000000,-59160000000.000000,-144625000000.000000,-203785000000.000000,217085000000.000000,-132093000000.000000,,,3598000000.000000,823000000.000000,,-137566000000.000000,1052000000.000000,-132093000000.000000,84992000000.000000,-17144000000.000000,-37882000000.000000,20738000000.000000,-17144000000.000000,67848000000.000000,,67848000000.000000,540000000.000000,68388000000.000000,67848000000.000000,61624000000.000000,6224000000.000000,67848000000.000000,68388000000.000000,61416000000.000000,6972000000.000000,68388000000.000000
