Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,3.75 B,6.53,19.91,0.31,,1.44%,3.96%,26.62%,2.64
12M 2009,3.76 B,41.46,5.31,0.46,,9.74%,20.93%,14.64%,2.88
12M 2010,3.77 B,12.42,17.71,0.39,,2.38%,6.14%,12.03%,2.25
12M 2011,3.78 B,15.63,15.36,0.36,,2.78%,7.70%,14.06%,2.94
12M 2012,4.10 B,1.23,92.68,0.20,,0.22%,0.62%,6.26%,1.23
12M 2013,4.10 B,2.63,41.44,0.17,,0.45%,1.33%,11.32%,1.76
12M 2014,4.10 B,6.81,15.71,0.19,,1.13%,3.33%,9.13%,1.22
12M 2015,4.50 B,4.36,14.45,0.12,,0.60%,1.91%,7.40%,1.13
12M 2016,4.50 B,7.48,11.63,0.16,,1.15%,3.11%,9.12%,1.39
12M 2017,4.50 B,9.13,10.30,0.17,,1.40%,3.71%,9.72%,1.58
12M 2018,4.50 B,10.68,8.99,0.16,325.39 B,1.42%,4.23%,10.09%,1.40
12M 2019,4.50 B,13.61,7.57,0.15,403.66 B,2.04%,5.15%,12.23%,1.59
12M 2020,4.50 B,13.89,7.13,0.16,387.01 B,2.11%,5.12%,10.54%,1.58
12M 2021,4.50 B,18.51,9.67,0.24,417.09 B,2.78%,6.51%,11.91%,1.92
12M 2022,4.50 B,19.77,11.43,0.30,421.20 B,2.80%,6.68%,11.60%,2.07
12M 2023,4.50 B,22.41,12.41,0.32,451.64 B,3.03%,6.87%,11.92%,2.01
12M 2024,4.50 B,13.70,16.50,0.25,404.50 B,1.61%,4.14%,10.04%,1.58
