Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Pihak Berelasi,Pihak Ketiga,Total Piutang Pihak Berelasi,Aset Pajak Tangguhan,Goodwill,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pihak Berelasi,Pihak Berelasi,Pihak Ketiga,Total Utang Pihak Berelasi,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,13530573000.000000,96202765000.000000,5450344000.000000,90752421000.000000,96202765000.000000,5737538000.000000,,20834541000.000000,13457778000.000000,149763195000.000000,,2237112000.000000,,,2237112000.000000,269842000.000000,,2690580469000.000000,,2693087423000.000000,2842850618000.000000,,,889223243000.000000,,,4842709000.000000,116936510000.000000,121779219000.000000,,677102102000.000000,,677102102000.000000,,8925066000.000000,58536335000.000000,,22880521000.000000,,22880521000.000000,,889223243000.000000,374321080000.000000,,373241714000.000000,,373241714000.000000,,1079366000.000000,374321080000.000000,1263544323000.000000,,1100000000000.000000,,-32588948000.000000,,511895243000.000000,1579306295000.000000,2842850618000.000000,11000000000.000000
12M 2011,,,28798232000.000000,214493354000.000000,32977710000.000000,181515644000.000000,214493354000.000000,3835024000.000000,,28390135000.000000,527798825000.000000,803315570000.000000,,2547846000.000000,,,2547846000.000000,1494015000.000000,,1341160995000.000000,,1345202856000.000000,2148518426000.000000,,,621352298000.000000,277747259000.000000,,57652350000.000000,140372640000.000000,198024990000.000000,,,10246360000.000000,10246360000.000000,,9187315000.000000,81604697000.000000,,44541677000.000000,,44541677000.000000,,621352298000.000000,299753836000.000000,,288140314000.000000,,288140314000.000000,,11613522000.000000,299753836000.000000,921106134000.000000,,1765000000000.000000,293229527000.000000,-963101639000.000000,6250000.000000,132278154000.000000,1227412292000.000000,2148518426000.000000,17650000000.000000
12M 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2013,,,7086849.000000,5035036.000000,457015.000000,4578021.000000,5035036.000000,568379.000000,,901435.000000,42146402.000000,55738101.000000,,81161265.000000,,,81161265.000000,81034.000000,,119162448.000000,,200404747.000000,256142848.000000,,,30016206.000000,,,3808617.000000,9497095.000000,13305712.000000,,,,,353791.000000,940068.000000,8699165.000000,,6717470.000000,,6717470.000000,,30016206.000000,124541712.000000,,122871106.000000,,122871106.000000,,1670606.000000,124541712.000000,154557918.000000,,198286419.000000,34201838.000000,-136510448.000000,227.000000,5606894.000000,101584930.000000,256142848.000000,17650000000.000000
12M 2014,,,3655743.000000,5756879.000000,,5756879.000000,5756879.000000,821344.000000,,1450668.000000,28111223.000000,39795857.000000,,44692019.000000,,44692019.000000,44692019.000000,73666.000000,,121634203.000000,,166399888.000000,206195745.000000,,,37742391.000000,,,,12074455.000000,12074455.000000,,,,,284053.000000,1666955.000000,8860117.000000,,14856811.000000,,14856811.000000,,37742391.000000,79432727.000000,,76791404.000000,,76791404.000000,,2641323.000000,79432727.000000,117175118.000000,,198287744.000000,34202763.000000,-149248150.000000,188.000000,5778082.000000,89020627.000000,206195745.000000,17650000000.000000
12M 2015,,,3434166.000000,15257944.000000,,15257944.000000,15257944.000000,26466250.000000,,1266357.000000,7560305.000000,53985022.000000,,18500000.000000,,18500000.000000,18500000.000000,53851.000000,,134245252.000000,,152799103.000000,206784125.000000,,,48786673.000000,,,,13907018.000000,13907018.000000,,,,,930545.000000,2897666.000000,7025574.000000,,24025870.000000,,24025870.000000,,48786673.000000,55695744.000000,,53432388.000000,,53432388.000000,71765.000000,2191591.000000,55695744.000000,104482417.000000,,200065130.000000,40225377.000000,-148204066.000000,577.000000,10214690.000000,102301708.000000,206784125.000000,2426895677.000000
12M 2016,,,3353425.000000,12453788.000000,,12453788.000000,12453788.000000,3035839.000000,,1733929.000000,27616512.000000,48193493.000000,,,,,,77952.000000,22342759.000000,168147738.000000,,190568449.000000,238761942.000000,,,43648031.000000,,,,11764788.000000,11764788.000000,,,,,1739606.000000,2204992.000000,5437639.000000,,22501006.000000,,22501006.000000,,43648031.000000,96483806.000000,,93916241.000000,,93916241.000000,,2567565.000000,96483806.000000,140131837.000000,,200065130.000000,40225377.000000,-144027836.000000,125.000000,2367309.000000,98630105.000000,238761942.000000,2426895677.000000
12M 2017,,,5814531.000000,12351518.000000,,12351518.000000,12351518.000000,8378020.000000,,2716972.000000,29313705.000000,58574746.000000,,,,,,82428.000000,22342759.000000,230061998.000000,,252487185.000000,311061931.000000,,,58311547.000000,,,,12465052.000000,12465052.000000,,,,,672912.000000,4062079.000000,2761630.000000,,38349874.000000,,38349874.000000,,58311547.000000,94738984.000000,,91944136.000000,,91944136.000000,,2794848.000000,94738984.000000,153050531.000000,,218243981.000000,39407320.000000,-133417676.000000,13364438.000000,20413337.000000,158011400.000000,311061931.000000,4853791354.000000
12M 2018,,,3549116.000000,18566193.000000,,18566193.000000,18566193.000000,10437836.000000,,2001270.000000,49984822.000000,84539237.000000,,,,,,97581.000000,22342759.000000,222998373.000000,,245438713.000000,329977950.000000,,,63838975.000000,,,,11214003.000000,11214003.000000,,,,,1395504.000000,6856359.000000,3254533.000000,,41118576.000000,,41118576.000000,,63838975.000000,72321544.000000,,69454579.000000,,69454579.000000,,2866965.000000,72321544.000000,136160519.000000,,235026729.000000,46397891.000000,-115660570.000000,12277336.000000,15776045.000000,193817431.000000,329977950.000000,7298983130.000000
12M 2019,,,6081614.000000,20273048.000000,,20273048.000000,20273048.000000,11766163.000000,,4300938.000000,90994703.000000,133416466.000000,,,,,,138116.000000,58569655.000000,358439121.000000,280000.000000,417426892.000000,550843358.000000,,,86755385.000000,9348367.000000,,,11548664.000000,11548664.000000,,,,,1340780.000000,10207424.000000,6066837.000000,,48243313.000000,,48243313.000000,,86755385.000000,181094827.000000,,177425590.000000,,177425590.000000,,3669237.000000,181094827.000000,267850212.000000,,263928010.000000,70555052.000000,-91227613.000000,14720285.000000,25017412.000000,282993146.000000,550843358.000000,11365338377.000000
