Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,0.00,143.57,0.00,143.57,23 B,373 B,396 B,383 B,(739 B)
12M 2011,1.44,69.54,1.44,69.54,322 B,288 B,610 B,582 B,182 B
12M 2012,0.00,0.00,0.00,0.00,,,,,
12M 2013,0.71,70.21,0.71,70.21,82 B,"1,499 B","1,581 B","1,494 B",314 B
12M 2014,0.80,62.75,0.80,62.75,185 B,955 B,"1,140 B","1,095 B",26 B
12M 2015,0.11,581.50,0.11,581.50,331 B,737 B,"1,069 B","1,021 B",72 B
12M 2016,0.23,546.04,0.29,422.35,302 B,"1,262 B","1,564 B","1,519 B",61 B
12M 2017,0.35,403.74,0.41,341.38,520 B,"1,246 B","1,765 B","1,686 B",4 B
12M 2018,0.32,360.17,0.37,315.84,595 B,"1,006 B","1,601 B","1,550 B",300 B
12M 2019,0.49,328.13,0.63,256.49,801 B,"2,466 B","3,267 B","3,182 B",649 B
12M 2020,0.94,372.71,1.13,308.64,"1,649 B","4,431 B","6,080 B","5,942 B",2 B
12M 2021,2.05,115.96,2.94,80.86,"2,155 B","3,718 B","5,873 B","5,758 B","(1,996 B)"
12M 2022,1.38,128.81,1.93,92.35,738 B,"2,190 B","2,928 B","2,795 B",(620 B)
12M 2023,0.97,158.14,1.26,122.03,823 B,"1,610 B","2,433 B","2,380 B",(565 B)
12M 2024,0.66,181.11,0.84,143.33,"1,046 B","1,150 B","2,196 B","2,075 B",(670 B)
