Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,566995026000.000000,-511416202000.000000,55578824000.000000,-24547507000.000000,-24547507000.000000,-24547507000.000000,31031317000.000000,-17953327000.000000,-6980348000.000000,-22667664000.000000,,11694685000.000000,-17953327000.000000,13077990000.000000,-6460668000.000000,6617322000.000000,22653263000.000000,29270585000.000000,6617322000.000000,6617322000.000000,,6617322000.000000,29270585000.000000,29270585000.000000,,29270585000.000000
12M 2011,906656235000.000000,-749412474000.000000,157243761000.000000,-49616448000.000000,-49616448000.000000,-49616448000.000000,107627313000.000000,-1038889178000.000000,-61951417000.000000,-43416853000.000000,-1239008000.000000,-932281900000.000000,-1038889178000.000000,-931261865000.000000,-9549463000.000000,-940811328000.000000,,-940811328000.000000,-940811328000.000000,-940811328000.000000,,-940811328000.000000,-940811328000.000000,-940811328000.000000,,-940811328000.000000
12M 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2013,47401704.000000,-39991659.000000,7410045.000000,-5536785.000000,-5536785.000000,-5536785.000000,1873260.000000,-42977701.000000,,-10966464.000000,-17307057.000000,-14704180.000000,-42977701.000000,-41104441.000000,-568773.000000,-41673214.000000,-1456989.000000,-43130203.000000,-41673214.000000,-41673176.000000,-38.000000,-41673214.000000,-43130203.000000,-43130203.000000,,-43130203.000000
12M 2014,42871333.000000,-33441113.000000,9430220.000000,-5553277.000000,-5553277.000000,-5553277.000000,3876943.000000,-19395766.000000,,-7476912.000000,-926098.000000,-10992756.000000,-19395766.000000,-15518823.000000,-539550.000000,-16058373.000000,3491820.000000,-12566553.000000,-16058373.000000,-16058334.000000,-39.000000,-16058373.000000,-12566553.000000,-12566553.000000,,-12566553.000000
12M 2015,50638377.000000,-29473193.000000,21165184.000000,-5853215.000000,-5853215.000000,-5853215.000000,15311969.000000,-4472159.000000,3759216.000000,-7669687.000000,-165.000000,-561523.000000,-4472159.000000,10839810.000000,-854291.000000,9985519.000000,6538823.000000,16524342.000000,9985519.000000,9985546.000000,-27.000000,9985519.000000,16524342.000000,16524342.000000,,16524342.000000
12M 2016,51249759.000000,-35968588.000000,15281171.000000,-6810054.000000,-6810054.000000,-6810054.000000,8471117.000000,-8019621.000000,-697563.000000,-7438530.000000,,116472.000000,-8019621.000000,451496.000000,33937.000000,485433.000000,-4156543.000000,-3671110.000000,485433.000000,485444.000000,-11.000000,485433.000000,-3671110.000000,-3671099.000000,-11.000000,-3671110.000000
12M 2017,65091388.000000,-36818672.000000,28272716.000000,-7310203.000000,-7310203.000000,-7310203.000000,20962513.000000,-9655539.000000,51465.000000,-8926159.000000,,-780845.000000,-9655539.000000,11306974.000000,-102265.000000,11204709.000000,22386711.000000,33591420.000000,11204709.000000,8544103.000000,2660606.000000,11204709.000000,33591420.000000,29010270.000000,4581150.000000,33591420.000000
12M 2018,85432450.000000,-51848136.000000,33584314.000000,-6964549.000000,-6964549.000000,-6964549.000000,26619765.000000,-11744900.000000,-25673.000000,-9829140.000000,,-1890087.000000,-11744900.000000,14874865.000000,-14628.000000,14860237.000000,-53925.000000,14806312.000000,14860237.000000,13512937.000000,1347300.000000,14860237.000000,14806312.000000,12884286.000000,1922026.000000,14806312.000000
12M 2019,101451071.000000,-58529378.000000,42921693.000000,-8696454.000000,-8696454.000000,-8696454.000000,34225239.000000,-10820022.000000,-1421784.000000,-16003443.000000,,6605205.000000,-10820022.000000,23405217.000000,-135369.000000,23269848.000000,12961309.000000,36231157.000000,23269848.000000,20999805.000000,2270043.000000,23269848.000000,36231157.000000,33788208.000000,2442949.000000,36231157.000000
12M 2020,194428731.000000,-96957715.000000,97471016.000000,-9113835.000000,-9113835.000000,-9113835.000000,88357181.000000,-50477761.000000,-716314.000000,-39266060.000000,,-10495387.000000,-50477761.000000,37879420.000000,-117427.000000,37761993.000000,17233609.000000,54995602.000000,37761993.000000,36003820.000000,1758173.000000,37761993.000000,54995602.000000,53237429.000000,1758173.000000,54995602.000000
12M 2021,179032246.0,-137563618.0,41468628.0,-8395222.0,-8395222.0,-8395222.0,33073406.0,-263972325.0,512866.0,-46831533.0,-55014716.0,-162638942.0,-263972325.0,-230898919.0,-19986.0,-230918905.0,-14006354.0,-244925259.0,-230918905.0,-227943319.0,-2975586.0,-230918905.0,-244925259.0,-241949673.0,-2975586.0,-244925259.0
12M 2022,113848872.0,-89334351.0,24514521.0,-11149495.0,-11149495.0,-11149495.0,13365026.0,-56619412.0,2688881.0,-38654913.0,-16165153.0,-4488227.0,-56619412.0,-43254386.0,-129894.0,-43384280.0,45881392.0,2497112.0,-43384280.0,-43975950.0,591670.0,-43384280.0,2497112.0,1905442.0,591670.0,2497112.0
