Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,,,,,,0.13
12M 2009,30.66,36.21,108.01,-41.14,11.91,,10.08,,1.23,,0.1,,-0.42,,0.13
12M 2010,65.7,19.36,49.29,35.77,5.56,3.65,18.85,0.8,0.62,0.33,0.23,0.19,-5.14,-5.14,0.81
12M 2011,101.39,16.79,25.4,92.78,3.6,4.78,21.75,20.84,0.44,0.45,0.25,0.26,4.48,4.48,1.42
12M 2012,113.09,17.23,24.4,105.92,3.23,3.09,21.18,21.67,0.47,0.48,0.22,0.19,2.94,2.94,1.53
12M 2013,143.39,18.28,23.14,138.53,2.55,2.65,19.97,17.98,0.52,0.53,0.18,0.17,2.7,2.7,1.44
12M 2014,156.78,17.66,21.26,153.18,2.33,3.14,20.67,18.77,0.57,0.58,0.16,0.16,4.15,4.15,1.26
12M 2015,172.77,25.04,30.5,167.31,2.11,2.15,14.58,15.31,0.27,0.27,0.09,0.09,-1.49,-1.49,0.65
12M 2016,126.39,18.39,24.44,120.34,2.89,2.94,19.85,20.52,0.23,0.23,0.09,0.08,3.29,3.29,1.15
12M 2017,113.94,18.34,41.54,90.74,3.2,2.85,19.9,21.62,0.24,0.23,0.08,0.08,-0.45,-0.45,0.48
12M 2018,64.48,15.53,40.99,39.02,5.66,4.69,23.5,16.24,0.37,0.35,0.13,,-0.69,-0.69,0.35
12M 2019,57.65,15.76,44.56,28.85,6.33,6.03,23.16,22.74,0.38,0.37,0.15,0.15,-0.62,-0.62,0.28
12M 2020,276.45,59.62,234.54,101.53,1.32,2.06,6.12,30.35,0.05,0.05,0.02,0.02,-0.04,-0.04,0.08
12M 2021,17.01,12.87,161.74,-131.86,21.45,1.85,28.35,32.66,0.06,0.05,0.03,0.02,-0.04,-0.04,0.04
12M 2022,34.16,13.09,174.19,-126.94,10.68,6.41,27.88,22.53,0.06,0.06,0.03,0.03,-0.04,-0.04,0.05
12M 2023,9.37,8.96,31.61,-13.28,38.97,29.68,40.73,26.46,0.34,0.32,0.39,0.2,-8.92,-8.92,0.85
12M 2024,10.82,14.49,29.09,-3.78,33.72,29.63,25.19,25.38,0.27,0.27,0.19,0.19,7.64,7.64,1.2
