Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Others,Total
12M 2009,45877806537.000000,,45877806537.000000,-17461277078.000000,,
12M 2010,166461025020.000000,,166461025020.000000,-46175534177.000000,,
12M 2011,216709266856.000000,,216709266856.000000,-52124096587.000000,,
12M 2012,224431065219.000000,,224431065219.000000,-54479467563.000000,,
12M 2013,243688962373.000000,,243688962373.000000,-59721974725.000000,,
12M 2014,256499390082.000000,,256499390082.000000,-76356351295.000000,,
12M 2015,198932423404.000000,,198932423404.000000,-61764186884.000000,,
12M 2016,236714789668.000000,,236714789668.000000,-89428114248.000000,,
12M 2017,252002580129.000000,,252002580129.000000,-86624826645.000000,,
12M 2018,488803600222.000000,,488803600222.000000,-193678898238.000000,,
12M 2019,612705519111.000000,,612705519111.000000,-266534069070.000000,,
12M 2020,67905888011.000000,,67905888011.000000,-36219853025.000000,,
12M 2021,61422461126.000000,,61422461126.000000,-27460534004.000000,,
12M 2022,65000306762.000000,,65000306762.000000,-23471300108.000000,,
12M 2023,371284754257.000000,,371284754257.000000,-106082666672.000000,,
12M 2024,355259333593.000000,,355259333593.000000,-104471177185.000000,,
