Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.00,6700.56,0.00,4857.72,153 B,381 B,534 B,516 B,(242 B)
12M 2009,2.32,224.29,2.48,209.41,169 B,366 B,536 B,217 B,63 B
12M 2010,4.61,279.60,4.99,258.50,328 B,900 B,"1,229 B",730 B,168 B
12M 2011,3.17,352.80,3.59,312.19,213 B,"1,627 B","1,840 B","1,781 B",(76 B)
12M 2012,3.36,411.22,3.50,394.61,177 B,"2,684 B","2,861 B","2,811 B",(179 B)
12M 2013,2.72,488.63,2.81,473.16,362 B,"3,279 B","3,640 B","3,572 B",(396 B)
12M 2014,1.85,216.57,2.24,178.51,"1,808 B","5,533 B","7,341 B","7,163 B","(1,490 B)"
12M 2015,0.67,207.20,0.82,169.25,"2,761 B","6,272 B","9,034 B","7,783 B","(1,158 B)"
12M 2016,1.41,194.77,1.75,156.97,"1,619 B","6,857 B","8,476 B","8,347 B",(991 B)
12M 2017,0.97,188.52,1.21,150.90,"1,737 B","6,485 B","8,222 B","8,137 B","(1,513 B)"
12M 2018,0.91,180.55,1.15,143.09,"1,601 B","6,638 B","8,240 B","8,218 B","(1,207 B)"
12M 2019,1.09,144.04,1.47,106.72,"1,267 B","7,994 B","9,261 B","9,229 B",(836 B)
12M 2020,1.32,109.20,1.90,75.75,"1,904 B","5,570 B","7,474 B","7,432 B",(399 B)
12M 2021,1.15,64.29,2.28,32.49,"1,241 B","5,997 B","7,238 B","7,134 B","(1,083 B)"
12M 2022,1.01,64.18,1.97,33.05,"1,532 B","5,527 B","7,059 B","6,950 B","(1,511 B)"
12M 2023,0.78,69.22,1.39,38.75,"1,843 B","3,265 B","5,108 B","5,081 B","(2,213 B)"
12M 2024,0.77,77.11,1.26,46.65,"1,309 B","3,123 B","4,432 B","4,374 B","(1,524 B)"
