Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Direktur Dan Karyawan,Pembayaran Kepada Pemasok,Pembayaran Beban Keuangan,Pembayaran Royalti/ Iuran Eksploitasi,Pembayaran Pajak,Penerimaan Pengembalian Pajak,Pendapatan Keuangan,Penerimaan Kewajiban Lindung Nilai,"Pembayaran Lain-Lain, Bersih",Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Penambahan Properti Pertambangan,"Akusisi Entitas Anak, Dikurangi Kas Yang Diperoleh",Uang Muka Akuisisi Anak Perusahaan Baru,Hasil Penjualan Aset Tetap,Penerimaan Uang Muka Dari Hasil Penjualan Aset Tetap,Pinjaman Kepada Pihak Berelasi,Perubahan Dalam Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Penerimaan Pendapatan Bunga,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Kas Dari :,Pinjaman,Penerbitan Obligasi,Pinjaman Jangka Panjang,Penerbitan Modal Saham,Pinjaman Jangka Pendek,Total Perolehan Kas Dari :,Akuisisi Kepentingan Pada Entitas Anak Dari Kepentingan Nonpengendali,Penerimaan Yang Berhubungan Dengan Capped Loss Link Swap,Penerbitan Senior Notes,Pembayaran Kembali Atas Senior Noted,Premi Atas Pembayaran Kembali Senior Notes,Pembayaran Kembali Atas:,Pinjaman Jangka Panjang,Pinjaman Jangka Pendek,Pinjaman,Biaya Keuangan,Sewa Pembiayaan,Capped Loss Link Swap,Pinjaman Pihak Ketiga,Total Pembayaran Kembali Atas:,Pembayaran Dividen Kepada :,Pemilik Entitas Induk,Kepentingan Non-Pengendali,Total Pembayaran Dividen Kepada :,Pinjaman Kepada Pihak Berelasi,Perubahan Dalam Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Pembayaran Beban Yang Berhubungan Dengan Pinjaman,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-209089000000.000000,5355853000000.000000,-250175000000.000000,-4201668000000.000000,-165115000000.000000,-409565000000.000000,-198742000000.000000,,28214000000.000000,-352871000000.000000,-15020000000.000000,-209089000000.000000,-1393874000000.000000,-1115784000000.000000,-47776000000.000000,,-5571000000.000000,,64091000000.000000,,-288834000000.000000,,,-1393874000000.000000,2843215000000.000000,,,,2130936000000.000000,1796470000000.000000,182316000000.000000,4109722000000.000000,,,,,,,-946295000000.000000,-184340000000.000000,,,-15872000000.000000,,,-1146507000000.000000,-120000000000.000000,,,-120000000000.000000,,,,2843215000000.000000,1240252000000.000000,291444000000.000000,,1531696000000.000000
12M 2009,-347750000000.000000,7480812000000.000000,-322127000000.000000,-5945238000000.000000,-117226000000.000000,-754666000000.000000,-639398000000.000000,,25394000000.000000,-27489000000.000000,-47812000000.000000,-347750000000.000000,-367804000000.000000,-351732000000.000000,-22715000000.000000,,,,135038000000.000000,,-128395000000.000000,,,-367804000000.000000,83871000000.000000,,,,480030000000.000000,,,480030000000.000000,,,,,,,-381517000000.000000,,,,-14642000000.000000,,,-396159000000.000000,,,,,,,,83871000000.000000,-631683000000.000000,1531696000000.000000,,900013000000.000000
12M 2010,562994000000.000000,8658579000000.000000,-343215000000.000000,-6081737000000.000000,-141426000000.000000,-994528000000.000000,-269152000000.000000,,31700000000.000000,-140989000000.000000,-156238000000.000000,562994000000.000000,-259277000000.000000,-257171000000.000000,-2144000000.000000,,,,38000000.000000,,,,,-259277000000.000000,240954000000.000000,,,,2278750000000.000000,,,2278750000000.000000,,,,,,,-2032461000000.000000,,,,-5335000000.000000,,,-2037796000000.000000,,,,,,,,240954000000.000000,544671000000.000000,900013000000.000000,,1444684000000.000000
12M 2011,1133385000000.000000,13185200000000.000000,-409685000000.000000,-10084248000000.000000,-115071000000.000000,-1386115000000.000000,-337986000000.000000,363678000000.000000,13851000000.000000,-28969000000.000000,-67270000000.000000,1133385000000.000000,-1871457000000.000000,-343407000000.000000,-7507000000.000000,,-1526643000000.000000,,6100000000.000000,,,,,-1871457000000.000000,730551000000.000000,,,,,,1590445000000.000000,1590445000000.000000,,,,,,,-518722000000.000000,,,,-342000000.000000,,,-519064000000.000000,,-266666000000.000000,-51697000000.000000,-318363000000.000000,-22467000000.000000,,,730551000000.000000,-7521000000.000000,1444684000000.000000,,1437163000000.000000
12M 2012,-39747235.000000,1416356764.000000,-57030871.000000,-1170390002.000000,-20445830.000000,-156525896.000000,-20327440.000000,6431975.000000,,5341817.000000,-43157752.000000,-39747235.000000,-126371399.000000,-122847538.000000,-996899.000000,,,,106142.000000,,-1033088.000000,-2891573.000000,1291557.000000,-126371399.000000,160400627.000000,,655000000.000000,,,,,655000000.000000,,,,,,,,,-401666667.000000,,-6590.000000,,,-401673257.000000,,-69956107.000000,-4581755.000000,-74537862.000000,,,-18388254.000000,160400627.000000,-5718007.000000,158487332.000000,,152769325.000000
12M 2013,45428656.000000,1145295460.000000,-48958008.000000,-919632454.000000,-31887184.000000,-114015587.000000,-19979110.000000,24088038.000000,,27781846.000000,-17264345.000000,45428656.000000,-61050030.000000,-38145835.000000,-1104275.000000,,,,12500.000000,,,-24479724.000000,2667304.000000,-61050030.000000,45739368.000000,,68000000.000000,,,,,68000000.000000,,18000000.000000,,,,,-34020000.000000,,,,-207330.000000,-3033302.000000,,-37260632.000000,,,,,,,-3000000.000000,45739368.000000,30117994.000000,152769325.000000,-1506432.000000,181380887.000000
12M 2014,65879793.000000,829593554.000000,-41697176.000000,-678129600.000000,-31698715.000000,-86188626.000000,-15917146.000000,91586189.000000,,2283404.000000,-3952091.000000,65879793.000000,-45928395.000000,-35100472.000000,-99681.000000,-50711.000000,,,,,,-12914642.000000,2237111.000000,-45928395.000000,-121110150.000000,,25331861.000000,,,,,25331861.000000,,,,,,,,,-136080000.000000,,-141197.000000,-5530714.000000,,-141751911.000000,,,-4690100.000000,-4690100.000000,,,,-121110150.000000,-101158752.000000,181380887.000000,-143776.000000,80078359.000000
12M 2015,51961062.000000,461888605.000000,-33860055.000000,-424259966.000000,-27554364.000000,-41073115.000000,-21373958.000000,142472354.000000,,-1431050.000000,-2847389.000000,51961062.000000,-29419145.000000,-47503395.000000,,-459866.000000,,,1151844.000000,,,14598339.000000,2793933.000000,-29419145.000000,-11788537.000000,,,,,,,,,,,,,,,,-34020000.000000,,-125954.000000,-6033274.000000,,-40179228.000000,,,-1258794.000000,-1258794.000000,,29649485.000000,,-11788537.000000,10753380.000000,80078359.000000,-542465.000000,90289274.000000
12M 2016,99467261.000000,540753821.000000,-34749520.000000,-330265891.000000,-39944889.000000,-37414643.000000,-33981782.000000,37645758.000000,,,-2575593.000000,99467261.000000,-58541469.000000,-47795720.000000,,-1817141.000000,,,299965.000000,,,-9990685.000000,762112.000000,-58541469.000000,-71639899.000000,,,,,,,,,,,,,,,,-60000000.000000,,-72852.000000,-3033303.000000,,-63106155.000000,,,-3091625.000000,-3091625.000000,,,-5442119.000000,-71639899.000000,-30714107.000000,90289274.000000,192245.000000,59767412.000000
12M 2017,431942648.000000,1045565187.000000,-37339715.000000,-480609835.000000,-31711577.000000,-73429047.000000,-42286456.000000,52579118.000000,,,-825027.000000,431942648.000000,-35806555.000000,-34824588.000000,,-480475.000000,,,208515.000000,,,-1853637.000000,1143630.000000,-35806555.000000,-397141561.000000,,,,,,,,,,,,,,,100000000.000000,-484211861.000000,,,,,-384211861.000000,,,-12129700.000000,-12129700.000000,,,-800000.000000,-397141561.000000,-1005468.000000,59767412.000000,-93937.000000,58668007.000000
