Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,20703684.000000,-16963436.000000,3740248.000000,-1123234.000000,-1093069.000000,-30165.000000,-1123234.000000,2617014.000000,-1367388.000000,15165.000000,-1382553.000000,-1367388.000000,1249626.000000,-748099.000000,501527.000000,,501527.000000,501527.000000,501527.000000,,501527.000000,501527.000000,501527.000000,,501527.000000
12M 2013,17816009.000000,-14626653.000000,3189356.000000,-1471522.000000,-1085663.000000,-385859.000000,-1471522.000000,1717834.000000,-1014235.000000,14152.000000,-1028387.000000,-1014235.000000,703599.000000,-235972.000000,467627.000000,,467627.000000,467627.000000,467627.000000,,467627.000000,467627.000000,467627.000000,,467627.000000
12M 2014,10194850.000000,-13139140.000000,-2944290.000000,-1339583.000000,-1568957.000000,229374.000000,-1339583.000000,-4283873.000000,-645930.000000,10775.000000,-656705.000000,-645930.000000,-4929803.000000,-309909.000000,-5239712.000000,,-5239712.000000,-5239712.000000,-5239712.000000,,-5239712.000000,-5239712.000000,-5239712.000000,,-5239712.000000
12M 2015,4550028.000000,-11306997.000000,-6756969.000000,-759876.000000,-719777.000000,-40099.000000,-759876.000000,-7516845.000000,-372356.000000,3899.000000,-376255.000000,-372356.000000,-7889201.000000,151031.000000,-7738170.000000,,-7738170.000000,-7738170.000000,-7738170.000000,,-7738170.000000,-7738170.000000,-7738170.000000,,-7738170.000000
12M 2016,4370358.000000,-9399846.000000,-5029488.000000,-606929.000000,-824178.000000,217249.000000,-606929.000000,-5636417.000000,-198119.000000,848.000000,-198967.000000,-198119.000000,-5834536.000000,-81093.000000,-5915629.000000,1208.000000,-5914421.000000,-5915629.000000,-5915629.000000,,-5915629.000000,-5914421.000000,-5914421.000000,,-5914421.000000
12M 2017,2316275.000000,-6482621.000000,-4166346.000000,6785.000000,-731929.000000,738714.000000,6785.000000,-4159561.000000,-122405.000000,90.000000,-122495.000000,-122405.000000,-4281966.000000,-30540.000000,-4312506.000000,15816.000000,-4296690.000000,-4312506.000000,-4312506.000000,,-4312506.000000,-4296690.000000,-4296690.000000,,-4296690.000000
12M 2018,2273111.000000,-6673833.000000,-4400722.000000,73711.000000,-557026.000000,630737.000000,73711.000000,-4327011.000000,-61754.000000,111.000000,-61865.000000,-61754.000000,-4388765.000000,160051.000000,-4228714.000000,793.000000,-4227921.000000,-4228714.000000,-4228714.000000,,-4228714.000000,-4227921.000000,-4227921.000000,,-4227921.000000
12M 2019,1654850.000000,-5674838.000000,-4019988.000000,-1724860.000000,-1990490.000000,265630.000000,-1724860.000000,-5744848.000000,-81733.000000,237.000000,-81970.000000,-81733.000000,-5826581.000000,197028.000000,-5629553.000000,12134.000000,-5617419.000000,-5629553.000000,-5629553.000000,,-5629553.000000,-5617419.000000,-5617419.000000,,-5617419.000000
12M 2020,2659028.000000,-5493148.000000,-2834120.000000,833667.000000,-606357.000000,1440024.000000,833667.000000,-2000453.000000,-53460.000000,350.000000,-53810.000000,-53460.000000,-2053913.000000,192734.000000,-1861179.000000,-3160.000000,-1864339.000000,-1861179.000000,-1861179.000000,,-1861179.000000,-1864339.000000,-1864339.000000,,-1864339.000000
12M 2021,3051870.000000,-5993432.000000,-2941562.000000,1053606.000000,-559525.000000,1613131.000000,1053606.000000,-1887956.000000,-29360.000000,2556.000000,-31916.000000,-29360.000000,-1917316.000000,-10730.000000,-1928046.000000,7759.000000,-1920287.000000,-1928046.000000,-1928046.000000,,-1928046.000000,-1920287.000000,-1920287.000000,,-1920287.000000
12M 2022,3604390.000000,-6349168.000000,-2744778.000000,-778818.000000,-878869.000000,100051.000000,-778818.000000,-3523596.000000,903.000000,2174.000000,-1271.000000,903.000000,-3522693.000000,-32923.000000,-3555616.000000,,-3555616.000000,-3555616.000000,-3555616.000000,,-3555616.000000,-3555616.000000,-3555616.000000,,-3555616.000000
