Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,0.63 B,7.76,0.00,0.00,,0.61%,4.16%,25.38%,1.89
12M 2013,0.83 B,6.84,0.00,0.00,,0.52%,2.98%,8.26%,1.67
12M 2014,0.83 B,-78.21,-3.39,1.74,,-6.50%,-50.25%,-20.92%,-6.52
12M 2015,0.83 B,-124.34,-2.12,3.61,,-10.89%,-280.61%,-72.61%,-19.98
12M 2016,0.83 B,-94.45,-18.42,24.94,,-9.37%,180.98%,-252.92%,-28.33
12M 2017,0.83 B,-69.25,-3.87,7.20,,-7.38%,56.55%,103.49%,-33.96
12M 2018,0.83 B,-72.30,-3.65,6.79,2.56 B,-9.39%,35.38%,48.47%,-69.94
12M 2019,0.83 B,-95.55,-1.70,5.77,(24.49 B),-19.71%,25.47%,34.47%,-70.08
12M 2020,0.83 B,-32.55,-3.44,2.41,25.76 B,-7.95%,7.90%,8.96%,-37.18
12M 2021,0.83 B,-33.11,-4.53,2.86,30.66 B,-9.67%,7.36%,7.54%,-59.15
12M 2022,0.83 B,-63.46,-1.28,1.26,3.95 B,-23.16%,11.37%,12.51%,-2772.30
