Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
12M 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76
12M 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69
12M 2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24
12M 2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49
12M 2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95
12M 2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32
12M 2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61
12M 2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2
12M 2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99
