Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Premi,Penerimaan Jasa,Penerimaan Bunga,Penerimaan Lainnya,Pembayaran Bunga,Penerimaan (Pembayaran) Simpanan Dari Nasabah,Simpanan Dari Bank Lain,Pembayaran Kredit,Efek-Efek,Pembayaran Komisi,Pembayaran Klaim,Pembayaran Pajak Penghasilan,Pembayaran Beban Keuangan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga Dan Lainnya,Pendirian Entitas Anak,Pembayaran Akuisisi Saham Entitas Anak Setelah Dikurangi Kas Yang Diterima,Penerimaan (Penempatan) Investasi Deposito Berjangka,Pencairan Deposito Berjangka,Penempatan Investasi Efek,Pelepasan Investasi Efek,Penerimaan Investasi Pada Entitas Asosiasi,Penerimaan (Penempatan) Piutang Lain-Lain,Penjualan Aset Tetap,Penerimaan Uang Muka Pembelian Aset Tetap,Perolehan Properti Investasi Tanah Dan Bangunan,Perolehan Aset Tetap,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Utang Pihak Berelasi,Pembayaran Obligasi,Penerimaan Setoran Modal,Penerimaan Utang Bank,Penerimaan Medium Term Notes,Biaya Penerbitan Mtn,Tambahan Modal Disetor,Biaya Emisi Saham,Setoran Modal Entitas Anak Oleh Pihak Non-Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2015,204314176297.000000,209110835071.000000,5301016605.000000,1883511478.000000,,,,,,,-17787402.000000,,,,,-11963399455.000000,,-11963399455.000000,204314176297.000000,-569500818694.000000,5901552885.000000,,-44035673479.000000,-101800000000.000000,,-213481438203.000000,,-327091107200.000000,126542117689.000000,,-11804100000.000000,,-3732170386.000000,,-569500818694.000000,386020216581.000000,-18987979562.000000,,,,,,405000000000.000000,8196143.000000,,386020216581.000000,20833574184.000000,1557542442.000000,22391116626.000000
12M 2016,2255447742903.000000,2251853037115.000000,1663450648.000000,23895585492.000000,,,,,,,-3861552329.000000,,,,,-18102778023.000000,,-18102778023.000000,2255447742903.000000,-2778906523480.000000,165773096008.000000,,,-12418123609.000000,,-2701135576532.000000,,-244826445000.000000,,,21804100000.000000,,-8103574347.000000,,-2778906523480.000000,705633577415.000000,,,,,,,705632441208.000000,1136207.000000,,705633577415.000000,182174796838.000000,22391116626.000000,204565913464.000000
12M 2017,2223415887897.000000,5717701470132.000000,12823165530.000000,3831072767.000000,3716864360.000000,,,,,,-23067375241.000000,-3419208842288.000000,-3303253441.000000,,,-40345046994.000000,-28732166928.000000,-69077213922.000000,2223415887897.000000,-2087175475259.000000,286642480356.000000,,,-223271800000.000000,81312923609.000000,-3554308807477.000000,1334145018032.000000,,-10771113029.000000,988500000.000000,,,-1912676750.000000,,-2087175475259.000000,6431824500.000000,3500000000.000000,,,,,,2431822500.000000,,500002000.000000,6431824500.000000,142672237138.000000,254565913464.000000,397238150602.000000
12M 2018,341058515655.000000,7854313713465.000000,19528788961.000000,170607420.000000,2850748023.000000,,,,,,-72837760633.000000,-6923077787597.000000,-3753191920.000000,,,-493891769053.000000,-42244833011.000000,-536136602064.000000,341058515655.000000,-4950949680662.000000,337374504340.000000,,,-972410237672.000000,91000000000.000000,-3954734241345.000000,,,-1420918647344.000000,,,,-3671296313.000000,972410237672.000000,-4950949680662.000000,4333326714554.000000,-3006000000.000000,,,,,,4341332714554.000000,-5000000000.000000,,4333326714554.000000,-276564450453.000000,397238150602.000000,120673700149.000000
12M 2019,7579481000000.000000,10603303000000.000000,28598000000.000000,851960000000.000000,81079000000.000000,-583726000000.000000,684487000000.000000,138423000000.000000,-807595000000.000000,-528373000000.000000,-116571000000.000000,-2312748000000.000000,-10390000000.000000,,,-299802000000.000000,-149164000000.000000,-448966000000.000000,7579481000000.000000,-3560880000000.000000,847938000000.000000,,,-1557108000000.000000,103000000000.000000,-2912427000000.000000,,,-36702000000.000000,,,,-5581000000.000000,,-3560880000000.000000,,,,,,,,,,,,4018601000000.000000,120674000000.000000,4139275000000.000000
12M 2020,712031000000.000000,9355072000000.000000,22170000000.000000,1000825000000.000000,-2385847000000.000000,-1103081000000.000000,261538000000.000000,791593000000.000000,3206345000000.000000,2223466000000.000000,-30597000000.000000,-12281389000000.000000,-16222000000.000000,,,-114823000000.000000,-217019000000.000000,-331842000000.000000,712031000000.000000,-949487000000.000000,772650000000.000000,,,-1005877000000.000000,6640000000.000000,-719550000000.000000,,,101887000000.000000,,,,-105237000000.000000,,-949487000000.000000,3000000.000000,,,,,,,3000000.000000,,,3000000.000000,-237453000000.000000,4139276000000.000000,3901823000000.000000
12M 2021,2417579000000.000000,13418471000000.000000,20360000000.000000,856190000000.000000,7669000000.000000,-1362416000000.000000,2345238000000.000000,-270126000000.000000,4076912000000.000000,-1726619000000.000000,-83041000000.000000,-13281589000000.000000,-12704000000.000000,,,-1289229000000.000000,-281537000000.000000,-1570766000000.000000,2417579000000.000000,587134000000.000000,2185409000000.000000,,,-20123000000.000000,,-1382593000000.000000,,,-191724000000.000000,,,,-3835000000.000000,,587134000000.000000,997759000000.000000,,,3000000.000000,,1000000000000.000000,-2244000000.000000,,,,997759000000.000000,4002472000000.000000,3901823000000.000000,7904295000000.000000
12M 2022,-8119839000000.000000,9226757000000.000000,17241000000.000000,639647000000.000000,-36468000000.000000,-1020133000000.000000,-4611932000000.000000,1035054000000.000000,-568499000000.000000,-471814000000.000000,-113938000000.000000,-8800397000000.000000,-13978000000.000000,,,-3401379000000.000000,,-3401379000000.000000,-8119839000000.000000,4901818000000.000000,1540064000000.000000,,,-70361000000.000000,,2009263000000.000000,,,1427347000000.000000,,,,-4495000000.000000,,4901818000000.000000,-200000000000.000000,,-200000000000.000000,,,,,,,,-200000000000.000000,-3418021000000.000000,7904295000000.000000,4486274000000.000000
12M 2023,-2596504000000.000000,5715173000000.000000,16936000000.000000,1321779000000.000000,5672324000000.000000,-1266008000000.000000,-1535415000000.000000,-691400000000.000000,-4148231000000.000000,342702000000.000000,-76427000000.000000,-6600887000000.000000,-29464000000.000000,,,-1317586000000.000000,,-1317586000000.000000,-2596504000000.000000,972742000000.000000,629185000000.000000,,,-293689000000.000000,,1102925000000.000000,,,-445051000000.000000,,,,-20628000000.000000,,972742000000.000000,,,,,,,,,,,,-1623762000000.000000,4486274000000.000000,2862512000000.000000
12M 2024,-3278430000000.000000,4099817000000.000000,31093000000.000000,1855142000000.000000,-82916000000.000000,-1032545000000.000000,40843000000.000000,-143441000000.000000,-772676000000.000000,-2135012000000.000000,-81474000000.000000,-4233970000000.000000,-28537000000.000000,,,-794754000000.000000,,-794754000000.000000,-3278430000000.000000,4012839000000.000000,461319000000.000000,,,-10501000000.000000,,3796169000000.000000,,,576014000000.000000,,,-805000000000.000000,-5162000000.000000,,4012839000000.000000,-250000000000.000000,,-1250000000000.000000,,1000000000000.000000,,,,,,-250000000000.000000,484409000000.000000,2862512000000.000000,3346921000000.000000
