Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2015,204 B,(4 B),201 B,33.15
12M 2016,"2,255 B",(8 B),"2,247 B",194.58
12M 2017,"2,223 B",(2 B),"2,222 B",192.04
12M 2018,341 B,(4 B),337 B,6.19
12M 2019,"7,579 B",(6 B),"7,574 B",139.03
12M 2020,712 B,(105 B),607 B,11.14
12M 2021,"2,418 B",(4 B),"2,414 B",44.31
12M 2022,"(8,120 B)",(4 B),"(8,124 B)",-149.14
12M 2023,"(2,597 B)",(21 B),"(2,617 B)",-48.04
12M 2024,"(3,278 B)",(5 B),"(3,284 B)",-60.28
