Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(41 B),(49 B),(90 B),-302.78
12M 2009,105 B,(15 B),90 B,302.82
12M 2010,(207 B),(25 B),(232 B),-778.48
12M 2011,126 B,(14 B),112 B,377.00
12M 2012,166 B,(19 B),147 B,495.43
12M 2013,20 B,(31 B),(11 B),-38.08
12M 2014,(148 B),(25 B),(173 B),-581.82
12M 2015,169 B,(20 B),149 B,250.00
12M 2016,176 B,(17 B),159 B,266.97
12M 2017,209 B,(23 B),186 B,312.95
12M 2018,287 B,(13 B),274 B,461.26
12M 2019,453 B,(19 B),434 B,729.76
12M 2020,171 B,(33 B),138 B,231.79
12M 2021,(91 B),(56 B),(147 B),-247.11
12M 2022,12 B,(60 B),(48 B),-80.11
12M 2023,542 B,(11 B),532 B,893.90
12M 2024,(18 B),(23 B),(41 B),-69.53
