Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.24,122.93,0.33,89.15,0 B,0 B,1 B,(8 B),28 B
12M 2009,0.15,144.87,0.19,113.51,0 B,0 B,0 B,(16 B),46 B
12M 2010,0.10,148.73,0.13,119.78,0 B,,0 B,(44 B),55 B
12M 2011,0.07,150.67,0.08,123.83,,,,(28 B),56 B
12M 2012,0.77,139.75,0.91,117.89,,,,(11 B),41 B
12M 2013,1.73,98.57,2.15,79.66,1 B,1 B,2 B,(28 B),45 B
12M 2014,1.53,92.74,1.92,74.11,5 B,52 B,57 B,19 B,(78 B)
12M 2015,0.86,103.67,0.98,90.42,20 B,118 B,138 B,(209 B),314 B
12M 2016,1.19,99.81,1.37,86.62,1 B,120 B,121 B,(30 B),65 B
12M 2017,0.84,95.18,1.21,66.18,95 B,650 B,745 B,377 B,28 B
12M 2018,0.88,97.44,1.26,68.43,428 B,"1,244 B","1,672 B","1,216 B",161 B
12M 2019,0.76,96.68,1.08,67.66,817 B,"1,314 B","2,132 B","1,569 B",29 B
12M 2020,1.79,79.26,2.83,50.23,"4,431 B",0 B,"4,431 B","3,879 B","(3,867 B)"
12M 2021,3.26,71.23,5.49,42.25,114 B,"4,459 B","4,573 B","4,271 B",(13 B)
12M 2022,-5.89,-19.00,-3.51,-31.87,150 B,"18,681 B","18,831 B","17,499 B",702 B
12M 2023,-1.17,-47.01,-0.91,-60.64,448 B,"10,677 B","11,125 B","10,826 B",(582 B)
12M 2024,0.32,141.84,0.34,132.61,"1,115 B","10,910 B","12,024 B","11,566 B","(1,214 B)"
