Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(0 B),(2 B),(2 B),-3.00
12M 2009,14 B,(2 B),12 B,21.63
12M 2010,13 B,(2 B),11 B,18.51
12M 2011,1 B,(3 B),(3 B),-4.50
12M 2012,4 B,(10 B),(6 B),-9.88
12M 2013,(37 B),(245 B),(282 B),-37.96
12M 2014,(17 B),(176 B),(193 B),-25.98
12M 2015,(11 B),(105 B),(117 B),-11.22
12M 2016,0 B,(176 B),(175 B),-16.86
12M 2017,(189 B),(264 B),(453 B),-14.54
12M 2018,218 B,(781 B),(563 B),-18.06
12M 2019,499 B,(374 B),124 B,3.98
12M 2020,716 B,"(1,796 B)","(1,081 B)",-34.66
12M 2021,928 B,(511 B),417 B,13.38
12M 2022,"2,612 B","(1,564 B)","1,048 B",33.61
12M 2023,"1,735 B","(1,183 B)",552 B,17.69
12M 2024,"1,908 B",(673 B),"1,235 B",39.60
