Period,Arus Kas Dari Aktivitas Operasi,Kas Diperoleh Dari Pelanggan,Penerimaan Atas Pajak Dibayar Dimuka,Kas Dibayar Kepada Pemasok,Kas Dibayar Untuk Beban Usaha Dan Karyawan,Kas Dibayar Untuk Beban Usaha,Pembayaran Kepada Karyawan,Total Kas Dibayar Untuk Beban Usaha Dan Karyawan,Kas Untuk Beban Keuangan,Pembayaran Untuk Pajak Penghasilan Dan Pajak Pertambahan Nilai,Penerimaan Keuangan,Pembayaran Pajak,Penerimaan (Pembayaran) Lainnya,Aktivitas Operasi Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembayaran Uang Muka,Penerimaan Dari Penjualan Aset Tidak Lancar Tersedia Untuk Dijual,Investasi Entitas Asosisasi,Aset Tetap,Penjualan,Perolehan Aset Tetap,Total Aset Tetap,Penerimaan Dari Klaim Asuransi,Penambahan Aset Hak Guna,Kas Di Bank Yang Dibatasi Penggunaannya,Penerimaan Atas Divestasi Entitas Anak,Akuisisi Dari Kepentingan Non-Pengendali,Investasi Saham,Penerimaan Dari Penjualan Investasi,Penerimaan Atas Penjualan Entitas Anak,Penambahan Aset Tidak Berwujud,Penerimaan Dividen Dari Perusahaan Asosiasi,Pendirian Anak Perusahaan,"Pembayaran Untuk Akuisisi Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh",Penambahan Uang Muka Pembelian Aset Tetap,Penambahan Aset Tidak Lancar Lainnya,Pembentukan Perusahaan Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Atas Utang Sewa Pembiayaan Dan Pembiayaan Konsumen,Penerimaan Atas Pinjaman Jangka Pendek,Pinjaman Bank Jangka Pendek,Penerimaan,Pembayaran,Total Pinjaman Bank Jangka Pendek,Penerimaan Atas Pinjaman Pihak Berelasi,Pembayaran Atas Pinjaman Pihak Berelasi,Penambahan Modal Saham Pada Entitas Anak,Setoran Modal Kepentingan Non-Pengendali Entitas Anak,Pinjaman Bank Jangka Panjang,Pembayaran Dividen Tunai,Pembayaran Liabilitas Sewa,Penambahan Liabilitas Sewa,Pembayaran Deviden Kepada,Pengendali,Kepentingan Non Pengendali,Total Pembayaran Deviden Kepada,Penerimaan Deviden Dari Entitas Anak,Pembayaran Deviden Entitas Anak,Pengendali,Kepentingan Non Pengendali,Total Pembayaran Deviden Entitas Anak,Penerimaan Dana Hasil Penawaran Saham,Penerimaan Dari Pelaksanaan Penjualan Saham Treasuri,Penggunaan Dana Hasil Penawaran Saham,Biaya Penawaran Umum Saham,Realisasi Penggunaan Dana,Total Penggunaan Dana Hasil Penawaran Saham,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,"Kas Dan Setara Kas, Dan Cerukan Entitas Anak Pada Saat Dekonsolidasi",Total Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2013,20507393445.000000,285590020122.000000,,-231102886878.000000,,-26967145524.000000,,-26967145524.000000,-2384950752.000000,,1067512568.000000,-10500125912.000000,4804969821.000000,,,20507393445.000000,-11650806954.000000,,,,,12800000.000000,-7296916230.000000,-7284116230.000000,,,,,,,,,,,,-4366690724.000000,,,,-11650806954.000000,-1550045274.000000,-899645274.000000,,,,,14750000000.000000,-200400000.000000,14549600000.000000,,,,,,-17000000000.000000,,,,,,,,,,,,,1800000000.000000,,,,,,-1550045274.000000,,7306541217.000000,34395084151.000000,,34395084151.000000,,41701625368.000000
12M 2014,24518758096.000000,268987741284.000000,,-185891552097.000000,,-45792336748.000000,,-45792336748.000000,-3046737016.000000,,2043969717.000000,-10836696348.000000,-945630696.000000,,,24518758096.000000,-50474366143.000000,-6287543918.000000,2522200000.000000,,,74545454.000000,-45080589190.000000,-45006043736.000000,,,,,,,,,-1702978489.000000,,,,,,,-50474366143.000000,60577008823.000000,-1645017605.000000,,,,,,-18931700000.000000,-18931700000.000000,,,,,,-10000000000.000000,,,,,,,,,,-263050000.000000,-263050000.000000,99000000000.000000,,,-7583223572.000000,,-7583223572.000000,,60577008823.000000,,34621400776.000000,41701625368.000000,,41701625368.000000,,76323026144.000000
12M 2015,23809570988.000000,323405914370.000000,,-203503244696.000000,-84208405245.000000,,,-84208405245.000000,-2103010083.000000,,2082265637.000000,-12637568712.000000,,773619717.000000,,23809570988.000000,-27823037393.000000,,,,,2159091.000000,-14775196484.000000,-14773037393.000000,,,,,,,,,,,,-3000000000.000000,,,-10050000000.000000,-27823037393.000000,-8890363119.000000,-497364038.000000,-127043400.000000,,,,,-1685025681.000000,-1685025681.000000,,,,,,-6000000000.000000,,,,,,,,,,-580930000.000000,-580930000.000000,,,,,,,,-8890363119.000000,,-12903829524.000000,76413399264.000000,,76413399264.000000,,63509569740.000000
12M 2016,39761184974.000000,333145252879.000000,,-200381931706.000000,-84648686727.000000,,,-84648686727.000000,-1623026877.000000,,1087219677.000000,-9704163694.000000,,1886521422.000000,,39761184974.000000,-31622327094.000000,,,,,830845454.000000,-31422447272.000000,-30591601818.000000,,,,,,,,,,,,,-965725276.000000,-65000000.000000,,-31622327094.000000,-10305432824.000000,-274513576.000000,-69595248.000000,,,,,-1650000000.000000,-1650000000.000000,,,,,,-8000000000.000000,,,,,,,,,,-311324000.000000,-311324000.000000,,,,,,,,-10305432824.000000,,-2166574944.000000,63509569740.000000,,63509569740.000000,,61342994796.000000
12M 2017,33220121814.000000,381651936938.000000,,-265857764352.000000,-74731946525.000000,,,-74731946525.000000,-2076848901.000000,,810903404.000000,-9531314784.000000,,2955156034.000000,,33220121814.000000,-31614266172.000000,,,,,625171354.000000,-26279413393.000000,-25654242039.000000,,,,,,,5690671800.000000,,,,,,-11650695933.000000,,,-31614266172.000000,10805511380.000000,-304608135.000000,-344030070.000000,18048807000.000000,,,,-1166157415.000000,-1166157415.000000,,,,175000000.000000,,-5000000000.000000,,,,,,,,,,-603500000.000000,-603500000.000000,,,,,,,,10805511380.000000,,12411367022.000000,61342994796.000000,,61342994796.000000,,73754361818.000000
12M 2018,-9774374433.000000,365310104960.000000,,-279172786032.000000,-85947588559.000000,,,-85947588559.000000,-3331144467.000000,,848532024.000000,-10193052028.000000,,2711559669.000000,,-9774374433.000000,-16642798942.000000,,,,,309558128.000000,-16845430070.000000,-16535871942.000000,,,,,,,,,,,,,-106927000.000000,,,-16642798942.000000,-8567914867.000000,-3046371062.000000,-628765864.000000,,,,3500772059.000000,-400000000.000000,3100772059.000000,,,,775000000.000000,,-8000000000.000000,,,,,,,,,,-768550000.000000,-768550000.000000,,,,,,,,-8567914867.000000,,-34985088242.000000,73754361818.000000,,73754361818.000000,,38769273576.000000
12M 2019,1955633127.000000,408555300883.000000,,-303622797158.000000,-93235406810.000000,,,-93235406810.000000,-4618458062.000000,,280485191.000000,-5806389546.000000,,402898629.000000,,1955633127.000000,-11386676751.000000,,,,,218562500.000000,-4702032051.000000,-4483469551.000000,,,,,,-4223439000.000000,,,,,,,-2679768200.000000,,,-11386676751.000000,15363524670.000000,-3750310168.000000,-1065675646.000000,9084325125.000000,,,15450000000.000000,-934614641.000000,14515385359.000000,,,,450000000.000000,,-3300000000.000000,,,,,,,,,,-570200000.000000,-570200000.000000,,,,,,,,15363524670.000000,,5932481046.000000,38769273576.000000,,38769273576.000000,,44701754622.000000
12M 2020,9913859814.000000,339214196720.000000,,-242091966576.000000,-78216566675.000000,,,-78216566675.000000,-6860466956.000000,,446034351.000000,-5812915030.000000,,3235543980.000000,,9913859814.000000,-3009208167.000000,,,,,62056723.000000,-987464890.000000,-925408167.000000,,,,,,,,,,,,,-2083800000.000000,,,-3009208167.000000,-11414039547.000000,-6179515450.000000,-666006963.000000,,,,484577261.000000,-1406000000.000000,-921422739.000000,,,,750000000.000000,,-2000000000.000000,-1497094395.000000,,,,,,,,,-900000000.000000,-900000000.000000,,,,,,,,-11414039547.000000,,-4509387900.000000,44701754622.000000,,44701754622.000000,,40192366722.000000
12M 2021,6584119038.000000,298958771872.000000,,-196677608026.000000,-76361482907.000000,,,-76361482907.000000,-6558555742.000000,,208750475.000000,3772406284.000000,,-16758162918.000000,,6584119038.000000,-3306231959.000000,,,,,31992244.000000,-4582909628.000000,-4550917384.000000,,-204558255.000000,1694243680.000000,,-245000000.000000,,,,,,,,,,,-3306231959.000000,-7118625643.000000,-7119741795.000000,-245183018.000000,,,,5156000000.000000,-3134577261.000000,2021422739.000000,,,,,,-1000000000.000000,-578670791.000000,222222222.000000,,,,,,,,-418675000.000000,-418675000.000000,,,,,,,,-7118625643.000000,,-3840738564.000000,37602217362.000000,,37602217362.000000,,33761478798.000000
12M 2022,-30309125262.000000,441773608902.000000,,-339945824776.000000,-119212544426.000000,,,-119212544426.000000,-6554450916.000000,,124075033.000000,-6713726496.000000,,219737417.000000,,-30309125262.000000,-90915585.000000,,,,,6019756757.000000,-3847200832.000000,2172555925.000000,,,-2263471510.000000,,,,,,,,,,,,,-90915585.000000,31361592727.000000,-6233240499.000000,-61815385.000000,,,,173008040012.000000,-132500212202.000000,40507827810.000000,,,,,,-1000000000.000000,-1333179199.000000,,,,,,,,,-518000000.000000,-518000000.000000,,,,,,,,31361592727.000000,,961551880.000000,33761478798.000000,,33761478798.000000,,34723030678.000000
