Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,0.63,622.46,0.63,622.46,724 B,143 B,867 B,(131 B),"1,032 B"
12M 2014,1.90,495.95,1.90,495.95,986 B,269 B,"1,255 B",747 B,387 B
12M 2015,2.45,383.40,2.45,383.40,"1,350 B",427 B,"1,777 B","1,745 B",(231 B)
12M 2016,3.15,285.79,3.15,285.79,677 B,97 B,774 B,707 B,114 B
12M 2017,2.62,271.51,2.62,271.51,"2,120 B",816 B,"2,937 B","2,909 B",(648 B)
12M 2018,4.13,445.11,4.13,445.11,"1,636 B",568 B,"2,204 B","2,167 B",(731 B)
12M 2019,2.93,597.77,2.93,597.77,"1,101 B",311 B,"1,412 B","1,287 B",(459 B)
12M 2020,3.42,872.30,3.42,872.30,89 B,45 B,134 B,(60 B),648 B
12M 2021,3.47,927.00,3.47,927.00,6 B,3 B,10 B,(158 B),672 B
12M 2022,3.14,1230.70,3.14,1230.70,,,,(371 B),691 B
12M 2023,1.51,1394.37,1.51,1394.37,231 B,,231 B,(244 B),759 B
12M 2024,1.90,1924.59,1.90,1924.59,,,,"(1,573 B)","2,336 B"
