Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2013,1.91,1.38,0.41,1.8,0.0,0.0,-0.06,0.23,0.8
12M 2014,1.52,0.76,0.75,1.69,0.0,0.0,0.45,0.44,0.69
12M 2015,0.75,0.12,1.37,2.16,0.0,0.0,1.35,0.64,1.16
12M 2016,1.16,0.39,0.8,2.83,0.0,0.0,0.73,0.28,1.83
12M 2017,0.54,0.23,3.21,2.93,0.0,0.0,3.18,1.1,1.93
12M 2018,0.47,0.17,1.47,2.18,0.0,0.0,1.44,0.67,1.18
12M 2019,0.68,0.41,0.7,1.92,0.0,0.0,0.64,0.37,0.92
12M 2020,2.08,0.83,0.04,1.2,0.0,0.0,-0.02,0.03,0.2
12M 2021,2.21,1.24,0.0,1.17,0.0,0.0,-0.04,0.0,0.17
12M 2022,1.81,0.93,0.0,1.19,0.0,0.0,-0.08,0.0,0.19
12M 2023,2.22,1.14,0.04,1.13,0.0,0.0,-0.04,0.04,0.13
12M 2024,9.99,6.87,0.0,1.04,0.0,0.0,-0.21,0.0,0.04
