Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Beban Usaha,Pembayaran Beban Keuangan,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penerimaan Atas Pelepasan Entitas Asosiasi,Penerimaan Atas Pelepasan Entitas Anak,Deposito Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Saham,Pembelian Modal Saham Diperoleh Kembali,Pembayaran Dividen,Piutang Pihak Berelasi,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Perolehan Dari Penawaran Umum Setelah Dikurangi Biaya Emisi Saham,Penerimaan Dari Penerbitan Saham,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Utang Pembelian Aset Tetap,Bagian Kepentingan Non-Pengendali,Pembayaran Liabilitas Sewa,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dikurangi Saldo Akhir Tahun Kas Dan Bank Milik Pt Tanobel Sehat Nutrisi,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2015,29865995206.000000,370666200405.000000,-233280181001.000000,-49301152860.000000,-41129439119.000000,-13294068684.000000,-3795363535.000000,29865995206.000000,-59552849966.000000,-54816232696.000000,-6855879700.000000,,,,2119262430.000000,-59552849966.000000,30697990533.000000,,,,-199813612.000000,52105034417.000000,-7407230272.000000,,,,,,,,,,,-13800000000.000000,,30697990533.000000,1011135773.000000,2427605.000000,653289932.000000,,,1666853310.000000
12M 2016,101894287145.000000,524677287593.000000,-247434643065.000000,-97366631693.000000,-59533770866.000000,-16071313053.000000,-2376641771.000000,101894287145.000000,-158096100198.000000,-140166094237.000000,-22641794174.000000,4701788213.000000,10000000.000000,,,-158096100198.000000,55446585513.000000,57350000000.000000,,-47850000000.000000,-1012555482.000000,56972972794.000000,-10014831799.000000,,,,,,,,1000000.000000,,,,,55446585513.000000,-755227540.000000,51898202.000000,1666853310.000000,,,963523972.000000
12M 2017,78486685676.000000,595927680522.000000,-284166534625.000000,-115112887818.000000,-75133541986.000000,-21140768418.000000,-21887261999.000000,78486685676.000000,-196801209129.000000,-119038083458.000000,-79258021505.000000,1494895834.000000,,,,-196801209129.000000,120331571989.000000,,,,1210569094.000000,82600000000.000000,-12895869070.000000,,,49416871965.000000,,,,,,,,,,120331571989.000000,2017048536.000000,78613234.000000,963523972.000000,,,3059185742.000000
12M 2018,131839301387.000000,816022868788.000000,-470456362293.000000,-101474732867.000000,-79563349233.000000,-23560446666.000000,-9128676342.000000,131839301387.000000,-178629746056.000000,-130590965238.000000,-49991159832.000000,1952379014.000000,,,,-178629746056.000000,47043984269.000000,,,,277500.000000,,-225793841466.000000,,,,274000000000.000000,-906016487.000000,,-256435278.000000,,,,,,47043984269.000000,253539600.000000,-630865082.000000,3059185742.000000,,,2681860260.000000
12M 2019,198145077505.000000,1060289755117.000000,-589006749363.000000,-119773272782.000000,-111811531635.000000,-14552284947.000000,-27000838885.000000,198145077505.000000,-422229857583.000000,-370401309451.000000,-63193566314.000000,365018182.000000,,11000000000.000000,,-422229857583.000000,228625339595.000000,,,,-136153319.000000,264124558850.000000,-31365712738.000000,,,,,-3045884486.000000,,-951468712.000000,,,,,,228625339595.000000,4540559517.000000,-35638933.000000,2681860260.000000,-343279016.000000,,6843501828.000000
12M 2020,226926314731.000000,981434554733.000000,-401712977806.000000,-183589003117.000000,-114904559772.000000,-25418981328.000000,-28882717979.000000,226926314731.000000,-171067896358.000000,-155093548861.000000,-17360711133.000000,1386363636.000000,,,,-171067896358.000000,-39273450620.000000,,-2702223851.000000,,,444201400000.000000,-472552338903.000000,,,,,-4258509283.000000,,-2911156734.000000,,-1050621849.000000,,,,-39273450620.000000,16584967753.000000,-538001571.000000,6843501828.000000,,,22890468010.000000
12M 2021,304980204013.000000,1101161600599.000000,-464099923897.000000,-174015972049.000000,-104214499062.000000,-14012095316.000000,-39838906262.000000,304980204013.000000,-157061487160.000000,-141502250403.000000,-16713495919.000000,1154259162.000000,,,,-157061487160.000000,-166013627130.000000,,-15924377189.000000,-59883719000.000000,,52000000000.000000,-133436455495.000000,,,,,-4736702587.000000,,-3004064898.000000,,-1028307961.000000,,,,-166013627130.000000,-18094910277.000000,-34507402.000000,22890468010.000000,,,4761050331.000000
12M 2022,254798627325.000000,1654435375252.000000,-745828831510.000000,-369404903584.000000,-216135150827.000000,-18223503879.000000,-50044358127.000000,254798627325.000000,-345773364089.000000,-270184189402.000000,-76226666599.000000,637491912.000000,,,,-345773364089.000000,89828823885.000000,,,-11959987600.000000,,393538580717.000000,-358538580717.000000,250000000000.000000,-132537164452.000000,,,-29639361111.000000,-11236350492.000000,,,-9798312460.000000,,,,89828823885.000000,-1145912879.000000,-168175766.000000,17158477022.000000,,,15844388377.000000
12M 2023,487763293949.000000,2093712397207.000000,-753721732710.000000,-466109240304.000000,-303211782090.000000,-21320407997.000000,-61585940157.000000,487763293949.000000,-357974798392.000000,-288668567430.000000,-75243851795.000000,5937620833.000000,,,,-357974798392.000000,79532977256.000000,,,-19733979540.000000,,262802044444.000000,-146202059444.000000,60000000000.000000,-24293888892.000000,,,,-10620722019.000000,,,-42418417293.000000,,,,79532977256.000000,209321472813.000000,-42563189.000000,15844388377.000000,,,225123298001.000000
12M 2024,553130339601.000000,2683227559691.000000,-1007800449086.000000,-577370958191.000000,-399237241981.000000,-30664792445.000000,-115023778387.000000,553130339601.000000,-579008451038.000000,-497118157044.000000,-84318299252.000000,2428005258.000000,,,,-579008451038.000000,-151191883815.000000,,,-60397937380.000000,,94500000000.000000,-167299985000.000000,90000000000.000000,-58313333340.000000,,,,-8453439413.000000,,1000000.000000,-41228188682.000000,,,,-151191883815.000000,-177069995252.000000,-11525386.000000,225123298001.000000,,,48041777363.000000
