Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Jangka Panjang,Piutang Usaha,Persediaan,Investasi Pada Entitas Asosiasi,Piutang Pihak Berelasi,Tanah Untuk Dikembangkan,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pihak Berelasi,Utang Pajak,Beban Akrual,Wesel Bayar,Liabilitas Derivatif,Utang Obligasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Derivatif,Wesel Bayar,Liabilitas Pajak Tangguhan,Utang Bank Jangka Panjang,Utang Obligasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Others,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,2464341405339.000000,182359884414.000000,128161639710.000000,,,128161639710.000000,48509362681.000000,34954971128.000000,13554391553.000000,48509362681.000000,,1882256276212.000000,22565512908.000000,4728194081264.000000,,,,,,,1486864502825.000000,1288806464327.000000,434373565032.000000,140651163.000000,170064096264.000000,3380249279611.000000,8108443360875.000000,,,1470519115706.000000,175828091445.000000,9053789332.000000,,88793766609.000000,57180619118.000000,145974385727.000000,,45769175173.000000,16859980218.000000,,,,1077033693811.000000,1470519115706.000000,37005420623.000000,,,37005420623.000000,,,,37005420623.000000,1507524536329.000000,,3278374457500.000000,7173979690.000000,-186460389006.000000,,,,-186460389006.000000,2603150120152.000000,898680656210.000000,6600918824546.000000,8108443360875.000000,6556748915.000000
12M 2009,,,2009261897754.000000,376090467968.000000,113066221915.000000,,,113066221915.000000,84283903971.000000,20885386497.000000,63398517474.000000,84283903971.000000,,2075315685595.000000,58003828306.000000,4716022005509.000000,,,,,,,1630787886174.000000,1524697443132.000000,421952749242.000000,299519727.000000,260186739645.000000,3837924337920.000000,8553946343429.000000,,,1557595162326.000000,125027890663.000000,11693628779.000000,,113117659993.000000,56882315633.000000,169999975626.000000,,24135351417.000000,15107019188.000000,,,,1211631296653.000000,1557595162326.000000,35325415446.000000,,,35325415446.000000,,,,35325415446.000000,1592920577772.000000,,3791453998500.000000,7173979690.000000,-50132720779.000000,,,,-50132720779.000000,2313849852036.000000,898680656210.000000,6961025765657.000000,8553946343429.000000,7582907997.000000
12M 2010,,,2235938145227.000000,136303983568.000000,179296995188.000000,,,179296995188.000000,133018587975.000000,19656022691.000000,113362565284.000000,133018587975.000000,,2154509310604.000000,121986343012.000000,4961053365574.000000,,,,,,,1728721812507.000000,2012889541100.000000,398986423539.000000,550524310.000000,276140469897.000000,4417288771353.000000,9378342136927.000000,,,2090606184612.000000,282159076889.000000,27157406998.000000,,121447662724.000000,65182569661.000000,186630232385.000000,,34184176342.000000,26706732763.000000,,,,1533768559235.000000,2090606184612.000000,35592266607.000000,,,35592266607.000000,,,,35592266607.000000,2126198451219.000000,,3791453998500.000000,7173979690.000000,207725839481.000000,5000000.000000,207720839481.000000,,207725839481.000000,2347107988227.000000,898681879810.000000,7252143685708.000000,9378342136927.000000,15165815994.000000
12M 2011,,,2109129637191.000000,261751937186.000000,277277894330.000000,,,277277894330.000000,64878226703.000000,47538192683.000000,17340034020.000000,64878226703.000000,,2675218498778.000000,227062070552.000000,5615318264740.000000,,,,,,,2110538328855.000000,2383992116329.000000,971707755409.000000,845402661.000000,442464954322.000000,5909548557576.000000,11524866822316.000000,,,3840430531316.000000,801939388346.000000,27962855820.000000,,202910554841.000000,,202910554841.000000,,52363900875.000000,33055188280.000000,,,,2722198643154.000000,3840430531316.000000,37002102186.000000,,,37002102186.000000,,,,37002102186.000000,3877432633502.000000,,3791453998500.000000,7173979690.000000,441554821940.000000,10000000.000000,441544821940.000000,,441554821940.000000,2540743669096.000000,866507719588.000000,7647434188814.000000,11524866822316.000000,15165815994.000000
12M 2012,,,2708108605767.000000,38412798569.000000,467483598704.000000,,,467483598704.000000,144296798260.000000,113371003490.000000,30925794770.000000,144296798260.000000,,3310133622905.000000,356598027894.000000,7025033452099.000000,,,31716023166.000000,,360672016338.000000,,2237284157364.000000,1240096106293.000000,3180142935353.000000,7179971845.000000,941267064786.000000,7998358275145.000000,15023391727244.000000,,,4503801547050.000000,20046457780.000000,10494810706.000000,,188667317372.000000,102746789.000000,188770064161.000000,,93418441432.000000,38915030457.000000,,,,4152156742514.000000,4503801547050.000000,2038845217942.000000,,,35974122476.000000,1336570214593.000000,,666300880873.000000,2038845217942.000000,6542646764992.000000,,3791453998500.000000,22136779346.000000,924494315447.000000,15000000.000000,924479315447.000000,,924494315447.000000,2891114949027.000000,851544919932.000000,8480744962252.000000,15023391727244.000000,15165815994.000000
12M 2013,,,3463817225281.000000,10970331102.000000,498453201984.000000,,,498453201984.000000,224471496907.000000,,,224471496907.000000,12016956135.000000,4891787434247.000000,551597818168.000000,9653114463824.000000,,,42909428269.000000,,255962738972.000000,1148695478.000000,3401518388763.000000,1779148712810.000000,3552003922156.000000,11365424216.000000,1417699607369.000000,10461756918033.000000,20114871381857.000000,,,7129204152992.000000,205000000000.000000,662646503249.000000,468270550917.000000,,,468270550917.000000,3292534444.000000,114083947849.000000,65646632920.000000,,,,5610263983613.000000,7129204152992.000000,3220154139164.000000,,,34306245772.000000,2098604043954.000000,,1087243849438.000000,3220154139164.000000,10349358292156.000000,,3791453998500.000000,22136779346.000000,1714219478085.000000,115000000.000000,1714104478085.000000,,1714219478085.000000,3388132299688.000000,849570534082.000000,9765513089701.000000,20114871381857.000000,15165815994.000000
12M 2014,,,2888343274954.000000,531045935.000000,764769485039.000000,764769485039.000000,,764769485039.000000,305902354588.000000,,,305902354588.000000,21486598336.000000,6428907748460.000000,1036577109859.000000,11446517617171.000000,,,,,462117615109.000000,10029168762.000000,3638867946664.000000,2351718580232.000000,4203671074999.000000,14249525546.000000,1156306092433.000000,11836960003745.000000,23283477620916.000000,,,7775481053758.000000,405230558901.000000,772909335952.000000,517237285274.000000,,,517237285274.000000,222375872.000000,193337894996.000000,68852024676.000000,,,,5817691578087.000000,7775481053758.000000,4086625795160.000000,,,32548697862.000000,2728407897348.000000,488760570185.000000,836908629765.000000,4086625795160.000000,11862106848918.000000,,3791453998500.000000,22136779346.000000,2750991628868.000000,215000000.000000,2750776628868.000000,,2750991628868.000000,4007217831202.000000,849570534082.000000,11421370771998.000000,23283477620916.000000,15165815994.000000
12M 2015,,,3034144319662.000000,588888962.000000,874125095817.000000,874125095817.000000,,874125095817.000000,449149003860.000000,,,449149003860.000000,27534118724.000000,7531393605944.000000,627567074491.000000,12544502107460.000000,,,,,498447809618.000000,6431243714.000000,4146600316173.000000,2961998869084.000000,4521082771854.000000,2911874162.000000,1576743568185.000000,13714216452790.000000,26258718560250.000000,,,8013555295087.000000,978787337003.000000,913690404343.000000,503177395919.000000,,,503177395919.000000,302358483.000000,155310015488.000000,227524110111.000000,,,,5234763673740.000000,8013555295087.000000,5194941985256.000000,136638222585.000000,616929020055.000000,30796790346.000000,2793766597918.000000,491399533179.000000,1125411821173.000000,5194941985256.000000,13208497280343.000000,,3832664959250.000000,,3746249775021.000000,315000000.000000,3745934775021.000000,,3746249775021.000000,4645987301847.000000,825319243789.000000,13050221279907.000000,26258718560250.000000,15330659837.000000
12M 2016,,,3467585000000.000000,574000000.000000,937575000000.000000,937575000000.000000,,937575000000.000000,764528000000.000000,,,764528000000.000000,,7945370000000.000000,595058000000.000000,13710690000000.000000,,,,,495008000000.000000,4531000000.000000,4801296000000.000000,3033847000000.000000,4907851000000.000000,20536000000.000000,2098491000000.000000,15361560000000.000000,29072250000000.000000,,,7311044000000.000000,932194000000.000000,829102000000.000000,543001000000.000000,,,543001000000.000000,1002000000.000000,141444000000.000000,232145000000.000000,,35523000000.000000,199468000000.000000,4397165000000.000000,7311044000000.000000,7463279000000.000000,,594707000000.000000,31660000000.000000,4085991000000.000000,295292000000.000000,2455629000000.000000,7463279000000.000000,14774323000000.000000,,3856323000000.000000,,4357729000000.000000,415000000.000000,4357314000000.000000,,4357729000000.000000,5120447000000.000000,963428000000.000000,14297927000000.000000,29072250000000.000000,15425291220.000000
12M 2017,,,3228549000000.000000,579000000.000000,957748000000.000000,957748000000.000000,,957748000000.000000,838879000000.000000,,,838879000000.000000,,9479848000000.000000,661575000000.000000,15167178000000.000000,,,,,309293000000.000000,7900000000.000000,5687152000000.000000,3137453000000.000000,4931376000000.000000,10302000000.000000,2455509000000.000000,16538985000000.000000,31706163000000.000000,,,7782985000000.000000,889019000000.000000,839049000000.000000,503998000000.000000,,,503998000000.000000,11298000000.000000,131681000000.000000,268588000000.000000,,,,5139352000000.000000,7782985000000.000000,8472413000000.000000,10476000000.000000,1494629000000.000000,30416000000.000000,4596106000000.000000,296873000000.000000,2043913000000.000000,8472413000000.000000,16255398000000.000000,,4640076000000.000000,,5164038000000.000000,515000000.000000,5163523000000.000000,,5164038000000.000000,2073130000000.000000,3573521000000.000000,15450765000000.000000,31706163000000.000000,18560303397.000000
