Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok,Pemasok Dan Karyawan,"Kontraktor, Pemasok Dan Lainnya",Karyawan,Lainnya,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Untuk Operasi Lainnya,Penerimaan Tagihan Pajak,Pembayaran Uang Tebusan Pengampunan Pajak,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Pengeluaran Untuk Investasi Lainnya,Perolehan Investasi Saham,Kenaikan Piutang Pihak Berelasi Non-Usaha,Penurunan (Kenaikan) Dana Yang Dibatasi Pencairannya,Kenaikan Aset Tidak Lancar Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Pendek,Penerimaan (Pembayaran) Utang Lain - Lain - Pihak Ketiga,Pembayaran Utang Kepada Pihak Berelasi,Penerimaan Utang Dari Pihak Berelasi,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Jangka Panjang Dan Utang Konversi,Pembayaran Utang Bank Jangka Pendek,Pembayaran Liabilitas Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2012,10058369233.000000,172085919284.000000,,-65326228925.000000,,,-46233844749.000000,,-111560073674.000000,-48878159897.000000,1106674474.000000,,105066651.000000,-552727582.000000,-2248330023.000000,10058369233.000000,-4498663900.000000,-475476726.000000,186818182.000000,,,,-1840023501.000000,-2369981855.000000,,-4498663900.000000,-2022204907.000000,19041132974.000000,,,,,,,-18835567611.000000,-2227770270.000000,-2022204907.000000,3537500426.000000,10421127472.000000,240917362.000000,14199545260.000000
12M 2013,5873952115.000000,238162554712.000000,,-106977098936.000000,,,-46066693195.000000,,-153043792131.000000,-76383676668.000000,,,290894600.000000,-1111431773.000000,-2040596625.000000,5873952115.000000,-10896498308.000000,-6162859250.000000,173227273.000000,,,,-1280610966.000000,-3626255365.000000,,-10896498308.000000,2263946239.000000,16468854838.000000,,,,,,,-12256002902.000000,-1948905697.000000,2263946239.000000,-2758599954.000000,14199545260.000000,1607630230.000000,13048575536.000000
12M 2014,-21291126837.000000,189972480649.000000,,-99094366209.000000,,,-61112392493.000000,,-160206758702.000000,-45780907996.000000,,,216076400.000000,-2546113062.000000,-2945904126.000000,-21291126837.000000,5491508516.000000,-5402373055.000000,7763636362.000000,,,,3752367567.000000,-622122358.000000,,5491508516.000000,13339627694.000000,73805946764.000000,,,,,,,-57526716597.000000,-2939602473.000000,13339627694.000000,-2459990627.000000,13048575536.000000,-274641308.000000,10313943601.000000
12M 2015,-14163710005.000000,213084282224.000000,,-127804248947.000000,,,-48958813019.000000,,-176763061966.000000,-43839192502.000000,,,52901673.000000,-4491305894.000000,-2207333540.000000,-14163710005.000000,-1551303217.000000,-1034739682.000000,102272727.000000,,,,,-618836262.000000,,-1551303217.000000,8223403089.000000,99947388944.000000,,,,40208950000.000000,,-33948011115.000000,-94947178547.000000,-3037746193.000000,8223403089.000000,-7491610133.000000,10313943601.000000,286289000.000000,3108622468.000000
12M 2016,-8427737158.000000,254029393788.000000,,-161549682194.000000,,,-49645452889.000000,,-211195135083.000000,-37431544259.000000,2039764978.000000,-108761100.000000,95861030.000000,-9462366713.000000,-6394949799.000000,-8427737158.000000,11218981218.000000,-3587259662.000000,16822727273.000000,,,,,-2016486393.000000,,11218981218.000000,819102339.000000,87357157297.000000,-9831445000.000000,,,,,-3742080000.000000,-70581537938.000000,-2382992020.000000,819102339.000000,3610346399.000000,3108622469.000000,-55894207.000000,6663074661.000000
12M 2017,-79173117840.000000,202155738333.000000,,-154610157909.000000,,,-45485565020.000000,,-200095722929.000000,-62595951195.000000,,,67082255.000000,-11736989041.000000,-6967275263.000000,-79173117840.000000,-1228996579.000000,-724895514.000000,20000000.000000,,,,,-524101065.000000,,-1228996579.000000,77302546455.000000,330689544650.000000,2505783615.000000,1271700000.000000,-4731415000.000000,,,,-250411902034.000000,-2021164776.000000,77302546455.000000,-3099567964.000000,6663074661.000000,12264542.000000,3575771239.000000
12M 2018,-26990342993.000000,247443251793.000000,,-136326994989.000000,,,-72568612453.000000,,-208895607442.000000,-48006340053.000000,,,43780568.000000,-13749910293.000000,-3825517566.000000,-26990342993.000000,-5243516492.000000,-6559906189.000000,23500000.000000,,,,,1292889697.000000,,-5243516492.000000,33952394088.000000,356914733037.000000,3575150461.000000,3164430000.000000,,,,,-327514594738.000000,-2187324672.000000,33952394088.000000,1718534603.000000,3575771239.000000,2848420.000000,5297154262.000000
12M 2019,-12391477827.000000,184363335296.000000,,-92836962825.000000,,,-59538320321.000000,,-152375283146.000000,-26429798097.000000,,,33374320.000000,-17297364755.000000,-685741445.000000,-12391477827.000000,-577485900.000000,-1031031355.000000,1754545455.000000,,,-1300000000.000000,,-1000000.000000,,-577485900.000000,12459129620.000000,319456751231.000000,-3311238753.000000,4498389799.000000,,,,,-306718013213.000000,-1466759444.000000,12459129620.000000,-509834107.000000,5368481105.000000,-4582027.000000,4854064971.000000
