Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2011,1.23 B,0.74,95.95,0.59,,0.42%,1.21%,6.55%,4.30
12M 2012,1.23 B,2.24,25.89,0.44,,1.06%,3.50%,9.37%,17.57
12M 2013,1.23 B,0.39,164.10,0.33,,0.15%,0.61%,28.51%,27.92
12M 2014,1.23 B,0.82,81.71,0.40,,0.28%,1.26%,0.82%,0.35
12M 2015,1.23 B,1.58,35.44,0.31,,0.32%,0.67%,3.78%,1.91
12M 2016,1.23 B,16.97,4.71,0.36,,3.39%,6.63%,6.07%,2.68
12M 2017,1.23 B,3.83,25.85,0.52,,0.67%,1.47%,5.06%,1.55
12M 2018,1.23 B,10.95,10.87,0.52,40.56 B,1.83%,4.11%,6.78%,1.86
12M 2019,1.23 B,-20.72,-3.38,0.57,(3.15 B),-3.44%,-8.58%,-1.80%,-0.41
12M 2020,1.23 B,-33.69,-1.63,0.66,(12.24 B),-5.98%,-18.06%,-4.49%,-0.95
12M 2021,1.23 B,-17.80,-2.81,0.66,1.54 B,-3.18%,-10.71%,-1.21%,-0.29
12M 2022,1.23 B,-26.95,-1.86,0.53,2.68 B,-4.66%,-19.19%,-0.51%,-0.07
12M 2023,1.23 B,-7.98,-1.50,0.15,8.98 B,-1.31%,-4.65%,1.29%,0.51
12M 2024,1.23 B,-15.91,-1.63,0.22,0.88 B,-2.67%,-10.27%,-0.34%,-0.18
