Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,0.00,28.21,0.00,28.21,18 B,,18 B,6 B,0 B
12M 2016,4.07,47.91,4.07,47.91,,,,(56 B),54 B
12M 2017,3.49,54.19,3.49,54.19,,,,(71 B),69 B
12M 2018,3.11,67.51,3.11,67.51,,,,(74 B),49 B
12M 2019,4.28,70.10,4.28,70.10,,,,(69 B),(90 B)
12M 2020,7.86,49.63,7.86,49.63,70 B,,70 B,(7 B),(145 B)
12M 2021,10.23,29.72,10.23,29.72,171 B,,171 B,108 B,(168 B)
12M 2022,15.08,14.06,15.08,14.06,156 B,,156 B,86 B,(168 B)
12M 2023,39.61,7.27,39.61,7.27,43 B,,43 B,(71 B),(160 B)
12M 2024,28.78,26.06,28.78,26.06,135 B,,135 B,12 B,(181 B)
