Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Beban Bunga,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,192415349000.000000,-110975454000.000000,81439895000.000000,-102596480000.000000,-102596480000.000000,-102596480000.000000,-21156585000.000000,-9673701000.000000,-56875000.000000,168456000.000000,-9785282000.000000,,,-9673701000.000000,-30830286000.000000,-4423942000.000000,-35254228000.000000,222764000.000000,-35031464000.000000,-35254228000.000000,-35254228000.000000,,-35254228000.000000,-35031464000.000000,-35031464000.000000,,-35031464000.000000
12M 2016,237500392000.000000,-132948951000.000000,104551441000.000000,-125326982000.000000,-125326982000.000000,-125326982000.000000,-20775541000.000000,-2810725000.000000,-27285000.000000,1112275000.000000,-1468761000.000000,,-2426954000.000000,-2810725000.000000,-23586266000.000000,-543570000.000000,-24129836000.000000,168604000.000000,-23961232000.000000,-24129836000.000000,-24129836000.000000,,-24129836000.000000,-23961232000.000000,-23961232000.000000,,-23961232000.000000
12M 2017,363682824000.000000,-198009202000.000000,165673622000.000000,-170676712000.000000,-170676712000.000000,-170676712000.000000,-5003090000.000000,1277101000.000000,70595000.000000,1251879000.000000,,,-45373000.000000,1277101000.000000,-3725989000.000000,-255197000.000000,-3981186000.000000,-714018000.000000,-4695204000.000000,-3981186000.000000,-3981186000.000000,,-3981186000.000000,-4695204000.000000,-4695204000.000000,,-4695204000.000000
12M 2018,547324968000.000000,-303643196000.000000,243681772000.000000,-241854425000.000000,-241854425000.000000,-241854425000.000000,1827347000.000000,621324000.000000,-2338924000.000000,2977921000.000000,,,-17673000.000000,621324000.000000,2448671000.000000,2750574000.000000,5199245000.000000,1106580000.000000,6305825000.000000,5199245000.000000,5199245000.000000,,5199245000.000000,6305825000.000000,6305825000.000000,,6305825000.000000
12M 2019,1094836588000.000000,-717128266000.000000,377708322000.000000,-354743716000.000000,-354743716000.000000,-354743716000.000000,22964606000.000000,-10319368000.000000,1506929000.000000,1087661000.000000,-12789962000.000000,,-123996000.000000,-10319368000.000000,12645238000.000000,5894473000.000000,18539711000.000000,-976084000.000000,17563627000.000000,18539711000.000000,18539711000.000000,,18539711000.000000,17563627000.000000,17563627000.000000,,17563627000.000000
12M 2020,886244543000.000000,-555006158000.000000,331238385000.000000,-358937778000.000000,-358937778000.000000,-358937778000.000000,-27699393000.000000,-18284085000.000000,-636069000.000000,917799000.000000,-18594664000.000000,,28849000.000000,-18284085000.000000,-45983478000.000000,-2833521000.000000,-48816999000.000000,-724885000.000000,-49541884000.000000,-48816999000.000000,-48816999000.000000,,-48816999000.000000,-49541884000.000000,-49541884000.000000,,-49541884000.000000
12M 2021,971296065000.000000,-604509841000.000000,366786224000.000000,-382578402000.000000,-382578402000.000000,-382578402000.000000,-15792178000.000000,-31624247000.000000,131464000.000000,1122814000.000000,-27219184000.000000,,-5659341000.000000,-31624247000.000000,-47416425000.000000,-4292339000.000000,-51708764000.000000,3508904000.000000,-48199860000.000000,-51708764000.000000,-51708764000.000000,,-51708764000.000000,-48199860000.000000,-48199860000.000000,,-48199860000.000000
12M 2022,1161587724000.000000,-732326989000.000000,429260735000.000000,-444886665000.000000,-444886665000.000000,-444886665000.000000,-15625930000.000000,-23311543000.000000,-1852596000.000000,883059000.000000,-21943045000.000000,,-398961000.000000,-23311543000.000000,-38937473000.000000,-1086086000.000000,-40023559000.000000,2118630000.000000,-37904929000.000000,-40023559000.000000,-40023559000.000000,,-40023559000.000000,-37904929000.000000,-37904929000.000000,,-37904929000.000000
12M 2023,1546000252000.000000,-1028594599000.000000,517405653000.000000,-513121419000.000000,-513121419000.000000,-513121419000.000000,4284234000.000000,-11931123000.000000,772261000.000000,2507796000.000000,-13755544000.000000,,-1455636000.000000,-11931123000.000000,-7646889000.000000,-8542099000.000000,-16188988000.000000,-241780000.000000,-16430768000.000000,-16188988000.000000,-16188988000.000000,,-16188988000.000000,-16430768000.000000,-16430768000.000000,,-16430768000.000000
12M 2024,2061051886000.000000,-1376246600000.000000,684805286000.000000,-594711841000.000000,-594711841000.000000,-594711841000.000000,90093445000.000000,-23319837000.000000,-3427062000.000000,1552585000.000000,-16449988000.000000,,-4995372000.000000,-23319837000.000000,66773608000.000000,-21098775000.000000,45674833000.000000,-206742000.000000,45468091000.000000,45674833000.000000,45674833000.000000,,45674833000.000000,45468091000.000000,45468091000.000000,,45468091000.000000
