Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,2.13,2.13,0.24,1.59,0.0,0.0,-0.11,0.15,0.59
12M 2009,2.04,2.04,0.26,1.63,0.0,0.0,-0.12,0.16,0.63
12M 2010,1.53,1.53,0.28,2.02,0.0,0.0,-0.4,0.14,1.02
12M 2011,2.3,2.12,0.16,1.55,0.0,0.0,-0.15,0.1,0.55
12M 2012,1.78,1.58,0.17,1.75,0.0,0.0,-0.15,0.1,0.75
12M 2013,1.56,1.38,0.25,1.98,0.0,0.0,-0.25,0.13,0.98
12M 2014,1.65,1.42,0.18,1.85,0.0,0.0,-0.08,0.1,0.85
12M 2015,1.56,1.41,0.21,1.93,0.0,0.0,0.03,0.11,0.93
12M 2016,1.2,1.2,0.19,2.05,0.0,0.0,0.02,0.09,1.05
12M 2017,1.08,1.05,0.27,2.32,0.0,0.0,0.05,0.12,1.32
12M 2018,1.17,1.15,0.33,2.6,0.0,0.0,0.09,0.13,1.6
12M 2019,1.43,1.41,0.15,1.99,0.0,0.0,-0.05,0.07,0.99
12M 2020,1.47,1.45,0.09,1.71,0.0,0.0,-0.06,0.05,0.71
12M 2021,1.59,1.54,0.03,1.55,0.0,0.0,-0.15,0.02,0.55
12M 2022,1.35,1.29,0.02,1.49,0.0,0.0,-0.05,0.01,0.49
12M 2023,1.56,1.52,0.07,1.45,0.0,0.0,0.03,0.05,0.45
12M 2024,1.28,1.23,0.17,1.75,0.0,0.0,0.01,0.09,0.75
