Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada :,Pemasok Dan Lainnya,"Komisaris, Direksi Dan Karyawan",Total Pembayaran Kepada :,Penerimaan Lain-Lain,Penghasilan Bunga,Penerimaan Pendapatan Jasa Manajemen,Pembayaran Bunga Utang Sewa Pembiayaan Konsumen,Pembayaran Ke Kas Negara,Pembayaran Bunga Pinjaman,Pembayaran Pajak Penghasilan Badan,Penerimaan Restitusi Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penurunan (Peningkatan) Dana Yang Dibatasi Penggunaanya,Peningkatan Efek Tersedia Dijual,Penghasilan Bunga,Perolehan Aset Tetap,Pembayaran Uang Muka Pembelian Aset Tetap,Penambahan Properti Investasi,Penerimaan Klaim Asuransi Aset Tetap,Penjualan Aset Tetap Pemilik Langsung,Penerimaan Dari Pengembalian Piutang Lain-Lain,Penerimaan Jasa Management Dari Instrumen Ekuitas,Penjualan Properti Investasi,Pencairan Investasi Jangka Pendek,Pembayaran Uang Muka Investasi Pada Entitas Asosiasi,Pembayaran Untuk Perolehan Kepemilikan Pada Entitas Asosiasi,Penerimaan Dividen Dari Investasi Jangka Panjang Lainnya,Penerimaan Dividen Dari Instrumen Ekuitas,Penerimaan Kembali Aset Tidak Lancar Lainnya,Pengembalian Investasi Dalam Ventura Bersama,Partisipasi Investasi Dalam Ventura Bersama,Partisipasi Investasi Dalam Kso,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Investasi,Perolehan Investasi Pada Entitas Asosiasi,Pengembalian Investasi Dalam Kso,Pembayaran Investasi Dalam Saham,Penjualan Investasi Dalam Saham,Hasil Penjualan Investasi Dalam Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Perolehan Utang Bank Dan Lembaga Keuangan,Pembayaran Utang Bank,Penerimaan Utang Lain-Lain,"Perolehan Utang Sewa Pembiayaan, Pembiayaan Konsumen Dan Lainnya","Pembayaran Utang Sewa Pembiayaan, Pembiayaan Bunga Dan Pijaman Bank",Pembayaran Bunga Pembiayaan Konsumen,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Provisi Bank,Pembayaran Bunga Pinjaman Bank,"Pembayaran Bunga Utang Sewa Pembiayaan, Pembiayaan Konsumen Dan Lainnya",Penerimaan Transaksi Jual Dan Sewa Balik Pembiayaan,Tambahan Modal Disetor Dari Pengampunan Pajak,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Pembayaran Dividen Kas,Perolehan Saham Diperoleh Kembali,Setoran Dari Kepentingan Non-Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Perubahan Selisih Kurs Terhadap Kas Dan Setara Kas,Kas Dan Setara Kas Yang Diperoleh Dari Akuisisi Entitas Anak,Pengaruh Divestasi,Kas Dan Setara Kas Akhir Periode
12M 2008,-171376275474.000000,1118615086487.000000,,-1128633680617.000000,-102052889178.000000,-1230686569795.000000,,8839168661.000000,,,,-22013865988.000000,-46130094839.000000,,-171376275474.000000,-15426490398.000000,2891332223.000000,-60000000000.000000,,-25912478522.000000,,,205026000.000000,1186550000.000000,,,,66203079901.000000,,,,,,,,,,,,,,,-15426490398.000000,56248144938.000000,-10565402318.000000,,141556689638.000000,-52668000000.000000,,-4416716729.000000,-1464333903.000000,,,,,,,,,-15238203750.000000,,-955888000.000000,56248144938.000000,-130554620934.000000,429123200945.000000,,,,298568580011.000000
12M 2009,51033740764.000000,1234481160132.000000,,-1020250512357.000000,-100123689465.000000,-1120374201822.000000,,5515736367.000000,,,,-30191107596.000000,-38397846317.000000,,51033740764.000000,-16230601069.000000,241340415.000000,,,-16213970576.000000,,,,10909092.000000,,,,,,,,,,,,,,,,,-268880000.000000,,-16230601069.000000,19070672945.000000,-6003165442.000000,,169713395705.000000,-127790085343.000000,,-3952245675.000000,-711673600.000000,,,,,,,,,-12147802700.000000,,-37750000.000000,19070672945.000000,53873812640.000000,298568580011.000000,,,,352442392651.000000
12M 2010,354838827833.000000,1461477506598.000000,,-981866248356.000000,-85608457807.000000,-1067474706163.000000,,,,,,,-42750639424.000000,3586666822.000000,354838827833.000000,-70825895962.000000,-2727599368.000000,,5238531353.000000,-48200401707.000000,,,,740000003.000000,,,,,,,,,,,,-50575920948.000000,,,24699494705.000000,,,,-70825895962.000000,26024080539.000000,48750345465.000000,,129791062774.000000,-105331428572.000000,,1800000000.000000,-3477054171.000000,,,,-31232440608.000000,-472083099.000000,,,,-13804321250.000000,,,26024080539.000000,310037012410.000000,352442392651.000000,,,,662479405061.000000
12M 2011,-197219826956.000000,1307358823409.000000,,-1348304576235.000000,-120607213426.000000,-1468911789661.000000,,,,,,,-37544464265.000000,1877603561.000000,-197219826956.000000,-20017958477.000000,1418191587.000000,,9638222157.000000,-18892310131.000000,,,,2965045454.000000,,,914400000.000000,,,,,,,,,-50893619023.000000,,,34563231479.000000,,268880000.000000,,-20017958477.000000,-152996354819.000000,14750000000.000000,-32720000000.000000,271858254299.000000,-397351788693.000000,27213862000.000000,,-3918641243.000000,,,,-16857280050.000000,-787007757.000000,,,,-15184753375.000000,,1000000.000000,-152996354819.000000,-370234140252.000000,662479405061.000000,,,,292245264809.000000
12M 2012,-11798365101.000000,1274972964390.000000,,-1116241810187.000000,-134845719950.000000,-1251087530137.000000,,,,,,,-36131720324.000000,447920970.000000,-11798365101.000000,-3264183340.000000,5404319699.000000,,3417024986.000000,-58387883507.000000,,,,4740926005.000000,,,,,,,,,,,,-60708322586.000000,,,102269752063.000000,,,,-3264183340.000000,51121042783.000000,5400000000.000000,-18030345465.000000,187368235457.000000,-164400864398.000000,62313288000.000000,,-6836051534.000000,,,,-12882697914.000000,-1810521363.000000,,,,,,,51121042783.000000,36058494342.000000,292245264809.000000,,,,328303759151.000000
12M 2013,125288823787.000000,1480356002976.000000,,-1122890733480.000000,-188786086336.000000,-1311676819816.000000,,,,,,,-43390359373.000000,,125288823787.000000,-13743681846.000000,4879006367.000000,,4922669793.000000,-67926342906.000000,,,,2615070000.000000,,,,,,,,,,,,-88369981880.000000,,,130135896780.000000,,,,-13743681846.000000,95374770849.000000,3061190286.000000,-30105000000.000000,283893092291.000000,-191577020757.000000,67877985000.000000,,-6259289167.000000,,,,-19000048271.000000,-1472681533.000000,,,,-11043457000.000000,,,95374770849.000000,206919912790.000000,328303759151.000000,,,,535223671941.000000
12M 2014,-59258530112.000000,1765647839121.000000,,-1568805371510.000000,-203011990539.000000,-1771817362049.000000,,,,,,,-53089007184.000000,,-59258530112.000000,-27984696435.000000,366886850.000000,,5377632321.000000,-34524529957.000000,,,,7487052500.000000,,,-10000000000.000000,,,,,2554550726.000000,,,,-31159818396.000000,,,31913529521.000000,,,,-27984696435.000000,-166978469048.000000,1588318203.000000,-2425107024.000000,132577000000.000000,-200340580286.000000,-49884688000.000000,,-1339621035.000000,,,,-26639445556.000000,-7210024100.000000,,,,-13804321250.000000,,500000000.000000,-166978469048.000000,-254221695595.000000,535223671941.000000,,,,281001976346.000000
12M 2015,10928772600.000000,1350162777293.000000,,-1113501165225.000000,-227359954773.000000,-1340861119998.000000,1011186149.000000,,,,,,1594620671.000000,-978691515.000000,10928772600.000000,-69371229498.000000,-19691143812.000000,,6634571366.000000,-69236840788.000000,-6359640000.000000,,,10101505070.000000,,,,,-33983982500.000000,,,6298637600.000000,,,,-28073478515.000000,,-1611940000.000000,66551082081.000000,,,,-69371229498.000000,-36566852736.000000,18495333005.000000,-1460715917.000000,161582806720.000000,-174156347107.000000,-396388800.000000,,-1525205435.000000,,,,-26731184021.000000,-9146617566.000000,15269256860.000000,,,-18497790475.000000,,,-36566852736.000000,-95009309634.000000,281001976346.000000,1246417756.000000,,,187239084468.000000
12M 2016,21673778869.000000,1074615646613.000000,,-861411474983.000000,-213723163427.000000,-1075134638410.000000,2612482825.000000,,25049033378.000000,,,,-5468745537.000000,,21673778869.000000,36733039595.000000,-152462863.000000,,4557043282.000000,-5056956186.000000,,-1838260500.000000,229334433.000000,4204424546.000000,,,,,,,,10479513600.000000,,,,-10714419120.000000,,,35024822403.000000,,,,36733039595.000000,-100646553934.000000,13768872987.000000,-5442165423.000000,47750000000.000000,-114689658127.000000,,,-6415064079.000000,,,,-16308664255.000000,-19309875037.000000,,,,,,,-100646553934.000000,-42239735470.000000,187239084468.000000,-266669501.000000,,-9348158480.000000,135384521017.000000
12M 2017,-59024930919.000000,1092317153788.000000,,-913226780453.000000,-250543149838.000000,-1163769930291.000000,6538518390.000000,,18398053481.000000,,,,-12508726287.000000,,-59024930919.000000,54367343100.000000,-2988389754.000000,,3678555805.000000,-1437798355.000000,,,,13987856544.000000,,,,,,,,7971037226.000000,,,,-4887079380.000000,,,38043161014.000000,,,,54367343100.000000,41185942453.000000,6973248290.000000,,117623000000.000000,-81048375028.000000,33846929700.000000,,-9243141512.000000,,,,-14466899903.000000,-12498819094.000000,,,,,,,41185942453.000000,36528354634.000000,135384521017.000000,426517449.000000,1832321392.000000,,174171714492.000000
