Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Pendapatan Bersih Ventura Bersama,Laba Kotor Setelah Ventura Bersama,Total Beban Usaha,Beban Umum Dan Administrasi,Final,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Others,Total Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1353284358271.000000,-1197140164172.000000,156144194099.000000,6702940866.000000,162847134965.000000,-43786387494.000000,,,-43786387494.000000,119060747471.000000,-21311851674.000000,671082384.000000,8839168661.000000,900416668.000000,-22013865988.000000,2185581275.000000,-11894234674.000000,-21311851674.000000,97748895797.000000,-36913106056.000000,,-34554613942.000000,-34554613942.000000,-2358492114.000000,,-36913106056.000000,60835789741.000000,,,,,60835789741.000000,60835789741.000000,,60835789741.000000,,,,
12M 2009,1288573678538.000000,-1122814181613.000000,165759496925.000000,11846923669.000000,177606420594.000000,-50946833090.000000,,,-50946833090.000000,126659587504.000000,-22316772811.000000,905557524.000000,5515736367.000000,10909092.000000,-30191107596.000000,-5624648950.000000,7066780752.000000,-22316772811.000000,104342814693.000000,-37599178252.000000,,-37599178252.000000,-37599178252.000000,,,-37599178252.000000,66743636441.000000,,,,,66743636441.000000,66743636441.000000,,66743636441.000000,,,,
12M 2010,1355108712261.000000,-1180018093795.000000,175090618466.000000,15950447818.000000,191041066284.000000,-56619809373.000000,,,-56619809373.000000,134421256911.000000,-23225836167.000000,726691564.000000,5238531353.000000,717500003.000000,-31232440608.000000,886879377.000000,437002144.000000,-23225836167.000000,111195420744.000000,-40653261368.000000,,-40653261368.000000,-40653261368.000000,,,-40653261368.000000,70542159376.000000,,,,,70542159376.000000,70542159376.000000,,70542159376.000000,,,,
12M 2011,1099417633431.000000,-976566728692.000000,122850904739.000000,9499671096.000000,132350575835.000000,-71475330279.000000,,,-71475330279.000000,60875245556.000000,-19355240058.000000,-3242689507.000000,9638222157.000000,2257442077.000000,-16857280050.000000,5304030241.000000,-16454964976.000000,-19355240058.000000,41520005498.000000,-33526192788.000000,,-33526192788.000000,-33526192788.000000,,,-33526192788.000000,7993812710.000000,9871391.000000,9871391.000000,9871391.000000,8003684101.000000,7993812710.000000,7993812710.000000,,7993812710.000000,8003684101.000000,8003684101.000000,,8003684101.000000
12M 2012,1216450967377.000000,-1074005292448.000000,142445674929.000000,21542974877.000000,163988649806.000000,-88894590253.000000,,,-88894590253.000000,75094059553.000000,9048549037.000000,19376818491.000000,3417024986.000000,829127131.000000,-13512239331.000000,1426194432.000000,-2488376672.000000,9048549037.000000,84142608590.000000,-36674371293.000000,,-36674249772.000000,-36674249772.000000,-121521.000000,,-36674371293.000000,47468237297.000000,23138522.000000,23138522.000000,23138522.000000,47491375819.000000,47468237297.000000,47468237297.000000,,47468237297.000000,47491375819.000000,47491375819.000000,,47491375819.000000
12M 2013,1452910435804.000000,-1267305679619.000000,185604756185.000000,626052094.000000,186230808279.000000,-105654784127.000000,,,-105654784127.000000,80576024152.000000,29767249636.000000,13939884822.000000,4922669793.000000,10576182.000000,-20331054258.000000,20883507272.000000,10341665825.000000,29767249636.000000,110343273788.000000,-44237438771.000000,,-44238342949.000000,-44238342949.000000,904178.000000,,-44237438771.000000,66105835017.000000,,,,66105835017.000000,66105835017.000000,66105835017.000000,,66105835017.000000,66105835017.000000,66105835017.000000,,66105835017.000000
12M 2014,2031947370598.000000,-1787966774300.000000,243980596298.000000,18477060401.000000,262457656699.000000,-116679404335.000000,,,-116679404335.000000,145778252364.000000,-23753074764.000000,1449053636.000000,5377632321.000000,3549685500.000000,-26278943700.000000,-3697043447.000000,-4153459074.000000,-23753074764.000000,122025177600.000000,-60957275845.000000,,-60957275845.000000,-60957275845.000000,,,-60957275845.000000,61067901755.000000,-2661652.000000,-2661652.000000,-2661652.000000,61065240103.000000,61067901755.000000,61067901755.000000,,61067901755.000000,61065240103.000000,61065240103.000000,,61065240103.000000
12M 2015,1547792419732.000000,-1378965173721.000000,168827246011.000000,17594438395.000000,186421684406.000000,-116026380574.000000,,,-116026380574.000000,70395303832.000000,-15981260978.000000,-2866143496.000000,6634571366.000000,938424832.000000,-26939730715.000000,1981391281.000000,4270225754.000000,-15981260978.000000,54414042854.000000,-49733558820.000000,-3299786228.000000,,-3299786228.000000,,-46433772592.000000,-49733558820.000000,4680484034.000000,2804270918.000000,2804270918.000000,2804270918.000000,7484754952.000000,4680484034.000000,4680484034.000000,,4680484034.000000,7484754952.000000,7484754952.000000,,7484754952.000000
12M 2016,1108563728519.000000,-1023830496340.000000,84733232179.000000,56236610429.000000,140969842608.000000,-156937469118.000000,,,-156937469118.000000,-15967626510.000000,-335659818378.000000,9978881583.000000,4557043282.000000,3990833713.000000,-18151481579.000000,-1605986251.000000,-334429109126.000000,-335659818378.000000,-351627444888.000000,-35216670055.000000,-12335812171.000000,,-12335812171.000000,,-22880857884.000000,-35216670055.000000,-386844114943.000000,1239487502.000000,1239487502.000000,1239487502.000000,-385604627441.000000,-386844114943.000000,-386844114943.000000,,-386844114943.000000,-385604627441.000000,-385604627441.000000,,-385604627441.000000
12M 2017,1206234001209.000000,-1038745626550.000000,167488374659.000000,43636769456.000000,211125144115.000000,-214147076554.000000,-178005702601.000000,-36141373953.000000,-214147076554.000000,-3021932439.000000,29269446312.000000,20621201658.000000,3678555805.000000,9554182461.000000,-13986466457.000000,426517449.000000,8975455396.000000,29269446312.000000,26247513873.000000,-10779880414.000000,,,,,,-10779880414.000000,15467633459.000000,9436036603.000000,9436036603.000000,9436036603.000000,24903670062.000000,15467633459.000000,15492924728.000000,-25291269.000000,15467633459.000000,24903670062.000000,24928963181.000000,-25293119.000000,24903670062.000000
12M 2018,1023990543809.000000,-948377035345.000000,75613508464.000000,25605201310.000000,101218709774.000000,-164202408642.000000,-134096744160.000000,-30105664482.000000,-164202408642.000000,-62983698868.000000,-80237064250.000000,31714879015.000000,2244722727.000000,4295245104.000000,-25355787807.000000,,-93136123289.000000,-80237064250.000000,-143220763118.000000,-3088132750.000000,,,,,,-3088132750.000000,-146308895868.000000,24298603733.000000,24298603733.000000,24298603733.000000,-122010292135.000000,-146308895868.000000,-146308030698.000000,-865170.000000,-146308895868.000000,-122010292135.000000,-122009426755.000000,-865380.000000,-122010292135.000000
12M 2019,921705861660.000000,-816159278973.000000,105546582687.000000,20043589880.000000,125590172567.000000,-146908817103.000000,-119868677855.000000,-27040139248.000000,-146908817103.000000,-21318644536.000000,25839885130.000000,33699020238.000000,3139930085.000000,9513676145.000000,-29182972907.000000,,8670231569.000000,25839885130.000000,4521240594.000000,-3297572500.000000,,,,,,-3297572500.000000,1223668094.000000,5543578268.000000,5543578268.000000,5543578268.000000,6767246362.000000,1223668094.000000,1226010094.000000,-2342000.000000,1223668094.000000,6767246362.000000,6769588239.000000,-2341877.000000,6767246362.000000
12M 2020,478933385858.000000,-431653375126.000000,47280010732.000000,33775218804.000000,81055229536.000000,-118169786618.000000,-103462665042.000000,-14707121576.000000,-118169786618.000000,-37114557082.000000,23436404138.000000,32462161930.000000,3100948463.000000,-20721287.000000,-10296814268.000000,,-1809170700.000000,23436404138.000000,-13678152944.000000,-1289896300.000000,,,,,,-1289896300.000000,-14968049244.000000,-4159256396.000000,-4159256396.000000,-4159256396.000000,-19127305640.000000,-14968049244.000000,-14966090545.000000,-1958699.000000,-14968049244.000000,-19127305640.000000,-19125346941.000000,-1958699.000000,-19127305640.000000
12M 2021,366451807136.000000,-315544256398.000000,50907550738.000000,11662203573.000000,62569754311.000000,-76011718641.000000,-65166132189.000000,-10845586452.000000,-76011718641.000000,-13441964330.000000,23814973081.000000,9497367381.000000,1491969093.000000,-904558800.000000,-4509765456.000000,,18239960863.000000,23814973081.000000,10373008751.000000,-2533268980.000000,,,,,,-2533268980.000000,7839739771.000000,-2919363115.000000,-2919363115.000000,-2919363115.000000,4920376656.000000,7839739771.000000,7837519453.000000,2220318.000000,7839739771.000000,4920376656.000000,4918156338.000000,2220318.000000,4920376656.000000
12M 2022,373043766945.000000,-315991477248.000000,57052289697.000000,21940429361.000000,78992719058.000000,-88608092099.000000,-78666105945.000000,-9941986154.000000,-88608092099.000000,-9615373041.000000,19384648708.000000,6663384302.000000,933252287.000000,590909091.000000,-3483884168.000000,,14680987196.000000,19384648708.000000,9769275667.000000,-1531814460.000000,,,,,,-1531814460.000000,8237461207.000000,4409338249.000000,4409338249.000000,4409338249.000000,12646799456.000000,8237461207.000000,8256118869.000000,-18657662.000000,8237461207.000000,12646799456.000000,12665457118.000000,-18657662.000000,12646799456.000000
12M 2023,462778375826.000000,-380427872353.000000,82350503473.000000,663467293.000000,83013970766.000000,-69015900744.000000,-56696496284.000000,-12319404460.000000,-69015900744.000000,13998070022.000000,11750215036.000000,5055502308.000000,633051947.000000,2407567567.000000,-3588121872.000000,,7242215086.000000,11750215036.000000,25748285058.000000,-600376260.000000,,,,,,-600376260.000000,25147908798.000000,-1372695145.000000,-1372695145.000000,-1372695145.000000,23775213653.000000,25147908797.000000,25153793286.000000,-5884489.000000,25147908797.000000,23775213652.000000,23781098141.000000,-5884489.000000,23775213652.000000
12M 2024,644556733549.000000,-556773122761.000000,87783610788.000000,34980695758.000000,122764306546.000000,-82426954844.000000,-65357747400.000000,-17069207444.000000,-82426954844.000000,40337351702.000000,9595890677.000000,17144940140.000000,681984707.000000,4965568651.000000,-3035270050.000000,,-10161332771.000000,9595890677.000000,49933242379.000000,-1524847500.000000,,,,,,-1524847500.000000,48408394879.000000,2674276993.000000,2674276993.000000,2674276993.000000,51082671872.000000,48408394879.000000,48389093220.000000,19301659.000000,48408394879.000000,51082671872.000000,51063370213.000000,19301659.000000,51082671872.000000
