Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,5.54 B,10.98,4.55,0.20,,4.41%,7.03%,25.99%,5.41
12M 2009,5.54 B,12.05,7.22,0.37,,4.47%,7.28%,13.51%,4.20
12M 2010,5.54 B,12.73,11.47,0.60,,3.60%,7.27%,13.82%,4.30
12M 2011,5.54 B,1.44,61.81,0.45,,0.54%,0.83%,6.04%,3.61
12M 2012,5.54 B,8.57,16.80,0.66,,2.70%,4.71%,7.12%,5.56
12M 2013,5.54 B,11.93,12.57,0.57,,3.15%,6.24%,7.33%,3.96
12M 2014,5.54 B,11.02,16.24,0.49,,2.99%,5.53%,12.73%,5.55
12M 2015,5.54 B,0.84,101.19,0.30,,0.22%,0.43%,5.98%,2.61
12M 2016,5.54 B,-69.81,-0.79,0.27,,-24.88%,-51.02%,-1.55%,-0.88
12M 2017,5.54 B,2.80,20.71,0.27,,0.85%,1.97%,-0.34%,-0.22
12M 2018,5.54 B,-26.40,-1.89,0.27,(24.60 B),-8.47%,-22.04%,-7.40%,-2.48
12M 2019,5.54 B,0.22,227.27,0.30,8.30 B,0.09%,0.18%,-2.74%,-0.73
12M 2020,5.54 B,-2.70,-18.52,0.58,(26.44 B),-1.35%,-2.32%,-4.86%,-3.60
12M 2021,5.54 B,1.41,139.72,2.98,(4.87 B),0.77%,1.20%,-1.82%,-2.98
12M 2022,5.54 B,1.49,88.59,1.96,(2.17 B),0.90%,1.34%,-1.40%,-2.76
12M 2023,5.54 B,4.54,21.15,1.15,21.52 B,2.75%,3.99%,2.14%,3.90
12M 2024,5.54 B,8.73,9.16,0.69,48.35 B,4.05%,7.09%,5.93%,13.29
