Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Pembiayaan Konsumen,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Aset Eksplorasi Dan Evaluasi,Properti Pertambangan,Aset Tak Berwujud,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Lembaga Keuangan Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembelian Kendaraan,Utang Sewa Pembiayaan,Utang Lembaga Keuangan Lain,Utang Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Usaha,Utang Lain-Lain,Utang Jangka Panjang Dari Pihak Berelasi,Utang Dari Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lembaga Keuangan Lain,Utang Pembelian Kendaraan,Utang Sewa Pembiayaan,Utang Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Beban Akrual,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,7010329941.000000,,,,,2000000.000000,,441317190.000000,7453647131.000000,,1500944008.000000,,7417459814.000000,,,,,,4816313008.000000,13734716830.000000,21188363961.000000,,,1543317370.000000,,,,,,,,289027454.000000,702624241.000000,,,,549065675.000000,,,,549065675.000000,2600000.000000,1543317370.000000,11603230482.000000,,,11286514800.000000,,11286514800.000000,,,,260644804.000000,,,260644804.000000,,56070878.000000,11603230482.000000,13146547852.000000,,54652000000.000000,2215200000.000000,-52725366329.000000,,,-52725366329.000000,1292593.000000,3898689845.000000,8041816109.000000,21188363961.000000,109304000.000000
12M 2009,,,112276805.000000,,,,,71869000.000000,,368361438.000000,552507243.000000,,2722500094.000000,,5791944401.000000,,,,,,7303959049.000000,15818403544.000000,16370910787.000000,,,597154364.000000,,,,1700000.000000,,,1700000.000000,202668182.000000,143792214.000000,,,,246393968.000000,,,,246393968.000000,2600000.000000,597154364.000000,11630470796.000000,,,11534582387.000000,,11534582387.000000,,,,40258213.000000,,,40258213.000000,,55630196.000000,11630470796.000000,12227625160.000000,,54652000000.000000,2215200000.000000,-56623682367.000000,,,-56623682367.000000,1078148.000000,3898689845.000000,4143285626.000000,16370910786.000000,109304000.000000
12M 2010,,,4373368677.000000,,,,,112801000.000000,,237083724.000000,4723253401.000000,,3337837220.000000,,5342246420.000000,,,,,,13760199955.000000,22440283595.000000,27163536996.000000,,,391018609.000000,,,,1700000.000000,,,1700000.000000,202668182.000000,143792214.000000,,,,40258213.000000,,,,40258213.000000,2600000.000000,391018609.000000,26328034676.000000,,,19200619155.000000,,19200619155.000000,,,,,7000000000.000000,,7000000000.000000,,127415521.000000,26328034676.000000,26719053285.000000,,54652000000.000000,2215200000.000000,-60322185100.000000,,,-60322185100.000000,778966.000000,3898689846.000000,444483712.000000,27163536997.000000,109304000.000000
12M 2011,,,1000232715905.000000,,152880622072.000000,152880622072.000000,152880622072.000000,27883006150.000000,12437257042.000000,28522358059.000000,1221955959228.000000,,269497592.000000,,22101255463.000000,55099377371.000000,,,,,1857355834.000000,79327486260.000000,1301283445488.000000,,,134129705478.000000,,449417355.000000,449417355.000000,,10788218758.000000,,10788218758.000000,53228100101.000000,40005635833.000000,,,2694628222.000000,4580142461.000000,,,3669750000.000000,10944520683.000000,18713812748.000000,134129705478.000000,8527432273.000000,,,,,,,,1370148258.000000,1188896735.000000,,4543500000.000000,7102544993.000000,,1424887280.000000,8527432273.000000,142657137751.000000,,546520000000.000000,491472175789.000000,120376204202.000000,,,120376204202.000000,257927746.000000,,1158626307737.000000,1301283445488.000000,1093040000.000000
12M 2012,,,746440803287.000000,,233236836256.000000,233236836256.000000,233236836256.000000,16171327327.000000,6402104254.000000,298693492785.000000,1300944563909.000000,,1367266520.000000,,84076054542.000000,124167578398.000000,,,22110735543.000000,,2983932125.000000,234705567128.000000,1535650131037.000000,,,138070810005.000000,,807670374.000000,807670374.000000,,12385394855.000000,,12385394855.000000,61662654078.000000,47056823507.000000,,,1691253791.000000,,,,5184250000.000000,6875503791.000000,9282763400.000000,138070810005.000000,11133755239.000000,,,,,,,,2635689159.000000,,,3029000000.000000,5664689159.000000,,5469066080.000000,11133755239.000000,149204565244.000000,,561235573000.000000,513545535289.000000,309491664907.000000,,,309491664907.000000,172792597.000000,2000000000.000000,1386445565793.000000,1535650131037.000000,5612355730.000000
12M 2013,,,833752463749.000000,,248040596887.000000,248040596887.000000,248040596887.000000,23368877276.000000,19064768295.000000,100189892749.000000,1224416598956.000000,,1613474023.000000,3230839198.000000,93188978223.000000,248264364968.000000,,,20947012620.000000,,3566382845.000000,370811051877.000000,1595227650833.000000,,,124456870506.000000,,,,,1220462981.000000,,1220462981.000000,37137738668.000000,77909133593.000000,,,2446035264.000000,,,,5743500000.000000,8189535264.000000,,124456870506.000000,17555369836.000000,,,,,,,,1928473744.000000,,,9173000000.000000,11101473744.000000,,6453896092.000000,17555369836.000000,142012240342.000000,,563052866500.000000,516271475539.000000,363401083944.000000,,,363401083944.000000,169658748.000000,10320325760.000000,1453215410491.000000,1595227650833.000000,5630438665.000000
12M 2014,,,445795284405.000000,,38122366515.000000,38122366515.000000,38122366515.000000,65580445734.000000,19064768295.000000,184666894816.000000,753229759765.000000,,32005187139.000000,,107915346202.000000,276427106550.000000,,,19783289697.000000,,2242960000.000000,438373889588.000000,1191603649353.000000,,,43387415623.000000,,,,,2097300669.000000,,2097300669.000000,371841945.000000,30535534950.000000,,,1982738059.000000,,,,2400000000.000000,4382738059.000000,6000000000.000000,43387415623.000000,13617148893.000000,,,,,,,,412112797.000000,,,6238251906.000000,6650364703.000000,,6966784190.000000,13617148893.000000,57004564516.000000,,563824660000.000000,517429165789.000000,33971514943.000000,,,33971514943.000000,56068027903.000000,-36694283798.000000,1134599084837.000000,1191603649353.000000,5638246600.000000
12M 2015,,,277442709715.000000,,14938635380.000000,14938635380.000000,14938635380.000000,88380331724.000000,11909420762.000000,445215541850.000000,837886639431.000000,,43159394212.000000,1264510557.000000,183587722372.000000,276284751336.000000,,,18619566774.000000,,2248501908.000000,525164447159.000000,1363051086590.000000,,,41546415133.000000,,,,,2165599327.000000,,2165599327.000000,2108710251.000000,33068287468.000000,,,402375799.000000,,,,3747647071.000000,4150022870.000000,53795217.000000,41546415133.000000,13959714326.000000,,,,,,,,,,,5183500000.000000,5183500000.000000,,8776214326.000000,13959714326.000000,55506129459.000000,,563824660000.000000,517429165789.000000,10223544928.000000,6000000000.000000,4223544928.000000,10223544928.000000,258297105442.000000,-42229519028.000000,1307544957131.000000,1363051086590.000000,5638246600.000000
12M 2016,,,104811014771.000000,,12124889928.000000,12124889928.000000,12124889928.000000,71803270315.000000,98147677684.000000,229408836221.000000,516295688919.000000,,35616999914.000000,,1002898278454.000000,301237971123.000000,,,17455843851.000000,,2748502200.000000,1359957595542.000000,1876253284461.000000,,,316816333838.000000,,,,,3721006102.000000,,3721006102.000000,1689390359.000000,22233015909.000000,118946019932.000000,,,,21867391867.000000,,5836262000.000000,27703653867.000000,142523247669.000000,316816333838.000000,345375626629.000000,,,,,,,329867754990.000000,,,,7422663321.000000,337290418311.000000,,8085208318.000000,345375626629.000000,662191960467.000000,,563824660000.000000,517429165789.000000,-67533178782.000000,6000000000.000000,-73533178782.000000,-67533178782.000000,249724783707.000000,-49384106720.000000,1214061323994.000000,1876253284461.000000,5638246600.000000
12M 2017,,,20393795335.000000,,41485905028.000000,,41485905028.000000,54573370775.000000,257438455326.000000,121318424671.000000,495209951135.000000,,49763616369.000000,34191575257.000000,1344998082105.000000,324064728965.000000,,,16292120928.000000,,3035752210.000000,1772345875834.000000,2267555826969.000000,,,618715726891.000000,,54387418646.000000,54387418646.000000,,12143455463.000000,,12143455463.000000,954193813.000000,19301467881.000000,247000854213.000000,,,403558406.000000,83644174055.000000,,9043857935.000000,93091590396.000000,191836746479.000000,618715726891.000000,479402858334.000000,,,,,,,455612057074.000000,,471096653.000000,,13258925321.000000,469342079048.000000,,10060779286.000000,479402858334.000000,1098118585225.000000,,563824660000.000000,517429165789.000000,-101191956171.000000,6000000000.000000,-107191956171.000000,-101191956171.000000,238759478846.000000,-49384106720.000000,1169437241744.000000,2267555826969.000000,5638246600.000000
