Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Aset Tetap,Others,Total Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Utang Pajak,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,8006947093.000000,44172101701.000000,,228000000000.000000,,228000000000.000000,,1310544134.000000,490238508514.000000,-274429645.000000,491274623003.000000,,17173281857.000000,-8968547146.000000,8204734711.000000,,1032987511.000000,74109163610.000000,854800557629.000000,,,3872822356.000000,559201562495.000000,27883964441.000000,531317598054.000000,559201562495.000000,10480495874.000000,,10480495874.000000,10480495874.000000,2552334812.000000,,5104855439.000000,581212070976.000000,,175000000000.000000,,98588486654.000000,25000000000.000000,73588486654.000000,98588486654.000000,,273588486654.000000,854800557630.000000,1750000000.000000
12M 2014,,8338399750.000000,98354282092.000000,,392494411507.000000,,392494411507.000000,,46162643514.000000,810419251565.000000,-534642056.000000,856047253023.000000,,115721853704.000000,-3405465816.000000,112316387888.000000,,899082014.000000,173000793126.000000,1641450609400.000000,,,7516925026.000000,1204317982767.000000,123975648474.000000,1080342334293.000000,1204317982767.000000,1878891530.000000,,1878891530.000000,1878891530.000000,2439809370.000000,,6281389592.000000,1222434998285.000000,,225000000000.000000,172000000.000000,102394333796.000000,25000000000.000000,77394333796.000000,102394333796.000000,91449277319.000000,419015611115.000000,1641450609400.000000,2250000000.000000
12M 2015,,14449643170.000000,111237968152.000000,,516465493310.000000,,516465493310.000000,,51226147087.000000,1085597347003.000000,-803234314.000000,1136020259776.000000,,118091531897.000000,-8332691490.000000,109758840407.000000,,1292323756.000000,184445097485.000000,2073669626056.000000,,,8274945631.000000,1470891173583.000000,118917004283.000000,1351974169300.000000,1470891173583.000000,150676737056.000000,,150676737056.000000,150676737056.000000,4696959008.000000,,6448786203.000000,1640988601481.000000,,225000000000.000000,172000000.000000,117986219011.000000,25622000000.000000,92364219011.000000,117986219011.000000,89522805564.000000,432681024575.000000,2073669626056.000000,2250000000.000000
12M 2016,,18930258550.000000,104152882507.000000,,302994001999.000000,,302994001999.000000,,54425756507.000000,1277933476901.000000,-988564257.000000,1331370669151.000000,,118953526757.000000,-12176305520.000000,106777221237.000000,,1421973618.000000,445582043339.000000,2311229050401.000000,,,11361686978.000000,1615093783883.000000,135659288334.000000,1479434495549.000000,1615093783883.000000,226325816603.000000,,226325816603.000000,226325816603.000000,3415518993.000000,,8954070359.000000,1865150876816.000000,,225000000000.000000,472000000.000000,132642141051.000000,25622000000.000000,107020141051.000000,132642141051.000000,87964032534.000000,446078173585.000000,2311229050401.000000,2250000000.000000
12M 2017,,15477655150.000000,141750668526.000000,,407960592037.000000,,407960592037.000000,,53968775738.000000,1329388770758.000000,-3160673072.000000,1380196873424.000000,,121199309486.000000,-13431357873.000000,107767951613.000000,,1533178531.000000,480423714917.000000,2535110634198.000000,,,11549697480.000000,1981823438496.000000,151906041597.000000,1829917396899.000000,1981823438496.000000,73044723690.000000,,73044723690.000000,73044723690.000000,2946150794.000000,,7659024170.000000,2077023034630.000000,,225000000000.000000,472000000.000000,144662989021.000000,25622000000.000000,119040989021.000000,144662989021.000000,87952610547.000000,458087599568.000000,2535110634198.000000,2250000000.000000
12M 2018,,24484173700.000000,124499117600.000000,,553992710460.000000,,553992710460.000000,,47753870376.000000,1198947735856.000000,-8014959544.000000,1238686646688.000000,,122200485945.000000,-16703077796.000000,105497408149.000000,,3396480871.000000,483709739187.000000,2534266276655.000000,,,13558358125.000000,1799597552997.000000,135706067140.000000,1663891485857.000000,1799597552997.000000,231429577687.000000,,231429577687.000000,231429577687.000000,2903792917.000000,,12716927710.000000,2060206209436.000000,,225000000000.000000,472000000.000000,161953786721.000000,25622000000.000000,136331786721.000000,161953786721.000000,86634280498.000000,474060067219.000000,2534266276655.000000,2250000000.000000
12M 2019,,21240929600.000000,139988641793.000000,,419295278892.000000,-111340000.000000,419183938892.000000,,1118957849.000000,3275610870348.000000,-19761858498.000000,3256967969699.000000,,160870652783.000000,-32676486672.000000,128194166111.000000,74381415334.000000,3133502046.000000,1065757463215.000000,5108848026690.000000,,,15528999851.000000,2337168922808.000000,67058026375.000000,2270110896433.000000,2337168922808.000000,699912715163.000000,,,699912715163.000000,4582819154.000000,,29826152173.000000,3087019609149.000000,,634155414600.000000,1208657809142.000000,150114584804.000000,25622000000.000000,124492584804.000000,150114584804.000000,28900608995.000000,2021828417541.000000,5108848026690.000000,6341554146.000000
12M 2020,,19144298500.000000,93960513681.000000,,823344937471.000000,,823344937471.000000,,30058679675.000000,4269794077086.000000,-43014437424.000000,4256838319337.000000,,170781421128.000000,-43100265122.000000,127681156006.000000,59983240913.000000,,894229900258.000000,6275182366166.000000,,,52208178876.000000,3164050064286.000000,46742032703.000000,3117308031583.000000,3164050064286.000000,474268534801.000000,,,474268534801.000000,4641969628.000000,3704084007.000000,54382514730.000000,3753255346328.000000,,1156278801600.000000,1183980592336.000000,150778291699.000000,25622000000.000000,125156291699.000000,150778291699.000000,30889334203.000000,2521927019838.000000,6275182366166.000000,11562788016.000000
12M 2021,,20203882900.000000,149337509366.000000,,697937017500.000000,,697937017500.000000,,178161605693.000000,5341026503696.000000,-86752383658.000000,5432435725731.000000,,176000359757.000000,-54875610446.000000,121124749311.000000,40659808634.000000,,1259645512939.000000,7721344206381.000000,,,68122263394.000000,3963989455037.000000,101088142116.000000,3862901312921.000000,3963989455037.000000,575663144357.000000,,,575663144357.000000,4259981868.000000,12515294774.000000,57087980452.000000,4681638119882.000000,,1409998511100.000000,1429008469465.000000,171005794394.000000,25622000000.000000,145383794394.000000,171005794394.000000,29693311540.000000,3039706086499.000000,7721344206381.000000,14099985111.000000
12M 2022,,26413110800.000000,406090896181.000000,,529376918859.000000,,529376918859.000000,,72694016623.000000,7991428666288.000000,-134468859962.000000,7929653822949.000000,,177866997938.000000,-63785927105.000000,114081070833.000000,31516464324.000000,,1146278951591.000000,10183411235537.000000,,,80974154780.000000,5368611972518.000000,18205125095.000000,5350406847423.000000,5368611972518.000000,600081913207.000000,,,600081913207.000000,14327487501.000000,10167621299.000000,556888439220.000000,6631051588525.000000,,1703779227400.000000,1633485884545.000000,188390849699.000000,29114061441.000000,159276788258.000000,188390849699.000000,26703685368.000000,3552359647012.000000,10183411235537.000000,17037792274.000000
