Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2013,1.75 B,4.33,0.00,0.00,,0.89%,2.77%,1.79%,
12M 2014,2.25 B,1.38,136.96,3.41,,0.19%,0.74%,0.24%,
12M 2015,2.25 B,6.23,17.66,1.33,,0.68%,3.24%,0.86%,
12M 2016,2.25 B,5.81,40.45,2.71,,0.57%,2.93%,0.80%,
12M 2017,2.25 B,4.48,60.94,3.09,,0.40%,2.20%,0.49%,
12M 2018,2.25 B,8.80,30.68,3.03,5.59 B,0.78%,4.18%,-0.08%,
12M 2019,6.34 B,-2.67,-88.39,3.71,(1.12 B),-0.33%,-0.84%,-0.24%,
12M 2020,11.56 B,0.68,254.41,4.55,68.88 B,0.13%,0.31%,0.35%,
12M 2021,14.10 B,1.24,235.48,7.82,74.69 B,0.23%,0.57%,0.36%,
12M 2022,17.04 B,0.78,217.95,4.13,65.18 B,0.13%,0.37%,0.22%,
12M 2023,17.04 B,1.68,72.02,2.06,74.01 B,0.26%,0.80%,0.35%,
12M 2024,17.04 B,2.93,38.57,1.86,105.01 B,0.42%,1.37%,0.59%,
