Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,2.75,64.46,2.75,64.46,,,,,5 B
12M 2009,1.96,81.12,1.96,81.12,,,,,0 B
12M 2010,1.85,78.53,1.85,78.53,,,,,1 B
12M 2011,2.08,69.79,2.08,69.79,,,,,(0 B)
12M 2012,1.64,69.03,1.64,69.03,,,,,(0 B)
12M 2013,1.58,506.89,1.58,506.89,,,,,274 B
12M 2014,1.71,534.57,1.71,534.29,,,,,305 B
12M 2015,2.07,554.14,2.07,553.79,,,,,287 B
12M 2016,1.89,580.52,1.90,579.99,,,,,131 B
12M 2017,3.75,599.88,3.75,599.27,,,,,"1,761 B"
12M 2018,5.24,628.42,5.24,627.98,,,,,"4,374 B"
12M 2019,4.69,653.95,4.70,653.69,,,,,"4,457 B"
12M 2020,5.03,696.37,5.03,696.18,,,,,"4,835 B"
12M 2021,4.32,761.26,4.32,761.09,,,,,"4,233 B"
12M 2022,4.84,855.78,4.84,855.60,,,,,813 B
12M 2023,5.20,903.96,5.20,903.73,,,,,"1,731 B"
12M 2024,9.14,984.65,9.15,983.78,,,,,"1,548 B"
