Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Bagian Atas Hasil Bersih Entitas Asosiasi,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,15995338387.000000,-10685300061.000000,5310038326.000000,-4737429772.000000,-61237500.000000,-4676192272.000000,,,,-4737429772.000000,572608554.000000,-348058090.000000,18942152.000000,,58161440.000000,17871368.000000,-443033050.000000,-348058090.000000,224550464.000000,-146811668.000000,-164260100.000000,17448432.000000,-146811668.000000,77738796.000000,,,,,77738796.000000,77738796.000000,,77738796.000000,,,,
12M 2009,16034920046.000000,-11468485228.000000,4566434818.000000,-4335276105.000000,-32846000.000000,-4302430105.000000,,,,-4335276105.000000,231158713.000000,11963910.000000,22161773.000000,,,-172455.000000,-10025408.000000,11963910.000000,243122623.000000,-54409206.000000,-155813484.000000,101404278.000000,-54409206.000000,188713417.000000,,,,,188713417.000000,188713417.000000,,188713417.000000,,,,
12M 2010,16425147393.000000,-11585076946.000000,4840070447.000000,-4274882143.000000,-10162490.000000,-4264719653.000000,,,,-4274882143.000000,565188304.000000,44661927.000000,8130960.000000,,,-160680.000000,36691647.000000,44661927.000000,609850231.000000,-170586221.000000,-204515880.000000,33929659.000000,-170586221.000000,439264010.000000,,,,,439264010.000000,439264010.000000,,439264010.000000,,,,
12M 2011,18371694219.000000,-13614629950.000000,4757064269.000000,-3831713630.000000,-11268000.000000,-3820445630.000000,,,,-3831713630.000000,925350639.000000,44316730.000000,6209990.000000,,,-121787835.000000,159894575.000000,44316730.000000,969667369.000000,-275562703.000000,-329467692.000000,53904989.000000,-275562703.000000,694104666.000000,,,,694104666.000000,694104666.000000,694104666.000000,,694104666.000000,694104666.000000,694104666.000000,,694104666.000000
12M 2012,13927640669.000000,-8557106714.000000,5370533955.000000,-5017584101.000000,-102599487.000000,-4680259344.000000,,,-234725270.000000,-5017584101.000000,352949854.000000,-3344961.000000,,-3344961.000000,,,,-3344961.000000,349604893.000000,-128775244.000000,,,-128775244.000000,220829649.000000,,,,220829649.000000,220829649.000000,220829649.000000,,220829649.000000,220829649.000000,220829649.000000,,220829649.000000
12M 2013,9022506782.000000,-6556375236.000000,2466131546.000000,179701066541.000000,-66451472.000000,-7313531361.000000,187096983536.000000,,-15934162.000000,179701066541.000000,182167198087.000000,10702285365.000000,10702467008.000000,-181643.000000,,,,10702285365.000000,192869483452.000000,19124114.000000,,,19124114.000000,192888607566.000000,,,,192888607566.000000,192888607566.000000,192888607566.000000,,192888607566.000000,192888607566.000000,192888607566.000000,,192888607566.000000
12M 2014,1927454466.000000,,1927454466.000000,367005856030.000000,-1042408353.000000,-13571886570.000000,383279060681.000000,,-1658909728.000000,367005856030.000000,368933310496.000000,23561591187.000000,23561591187.000000,,,,,23561591187.000000,392494901683.000000,85181826.000000,,,85181826.000000,392580083509.000000,,,,392580083509.000000,392580083509.000000,392580083509.000000,,392580083509.000000,392580083509.000000,392580083509.000000,,392580083509.000000
12M 2015,9202634682.000000,,9202634682.000000,383371512470.000000,-2288933720.000000,-30422981922.000000,416526159375.000000,,-442731263.000000,383371512470.000000,392574147152.000000,26440037996.000000,28905113941.000000,-2465075945.000000,,,,26440037996.000000,419014185148.000000,-4096226263.000000,,,-4096226263.000000,414917958885.000000,-423321750.000000,-423321750.000000,-423321750.000000,414494637135.000000,414917958885.000000,416693241160.000000,-1775282275.000000,414917958885.000000,414494637135.000000,416269919410.000000,-1775282275.000000,414494637135.000000
12M 2016,22658206779.000000,,22658206779.000000,368446399167.000000,-18255731221.000000,-42790728797.000000,427833956713.000000,,1658902472.000000,368446399167.000000,391104605946.000000,9757004070.000000,18313239531.000000,-8556235461.000000,,,,9757004070.000000,400861610016.000000,-2788663158.000000,,,-2788663158.000000,398072946858.000000,-24236985433.000000,-24236985433.000000,-24236985433.000000,373835961425.000000,398072946858.000000,410864005956.000000,-12791059098.000000,398072946858.000000,373835961425.000000,386708151976.000000,-12872190551.000000,373835961425.000000
12M 2017,56369329077.000000,,56369329077.000000,143542257143.000000,-53854841353.000000,268897115118.000000,-68193883811.000000,,-3306132811.000000,143542257143.000000,199911586220.000000,-35450138848.000000,11091596896.000000,-46541735744.000000,,,,-35450138848.000000,164461447372.000000,6331969390.000000,,,6331969390.000000,170793416762.000000,53609649233.000000,53609649233.000000,53609649233.000000,224403065995.000000,170793416762.000000,208358514153.000000,-37565097391.000000,170793416762.000000,224403065995.000000,262295743915.000000,-37892677920.000000,224403065995.000000
