Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan Pengembalian Pajak,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Untuk Beban Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Dari Penjualan Aset Tetap,Penerimaan Wesel Tagih,Penarikan Kas Di Bank Yang Dibatasi Penggunaannya,Peningkatan Investasi Pada Entitas Asosiasi,Pembayaran Atas Sisa Harga Perolehan Dari Akuisisi Bisnis,Hasil Dari Penjualan Entitas Anak,Perolehan Aset Tetap,Akuisisi Bisnis,Penambahan Aset Tidak Berwujud,Penempatan Kas Dalam Pembatasan,Pembelian Tanah,Penurunan Kas Dalam Pembatasan,Penerimaan Pendapatan Investasi,Hasil Dari Penjualan Aset Dimiliki Untuk Dijual,Uang Muka Terima,Pembatalan Atas Akuisisi Entitas Anak,Penjualan Anak Perusahaan,Pembelian Anak Perusahaan,Penempatan Investasi Jangka Pendek,Penarikan Investasi Jangka Pendek,Pengembalian Uang Muka Pembelian Tanah,Penerimaan Bunga,Pembayaran Uang Muka Pembelian Tanah,Kenaikan (Penurunan) Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hasil Dari (Pembayaran Atas) Pinjaman Bank - Bersih,Penerimaan Neto Dari Pinjaman Bank Jangka Panjang,Pembayaran Atas Pinjaman Bank Jangka Panjang,Total Hasil Dari (Pembayaran Atas) Pinjaman Bank - Bersih,Penerimaan Atas Utang Lainnya,Penerimaan Kepada Pihak Hubungan Istimewa,Penerbitan Modal Saham,Pembayaran Sewa Pembiayaan,Akuisisi Saham Treasuri,Penerimaan Atas Senior Notes,Pembayaran Bunga,Penerimaan (Pembayaran) Atas Utang Jangka Panjang,Pembayaran Utang Sewa Guna Usaha,Penerimaan Neto Dari Penawaran Umum Terbatas Dengan Hak Memesan Efek Terlebih Dahulu,Pembayaran Atas Senior Notes,Penerimaan Atas Pinjaman Bank,Hasil Dari Penempatan Tambahan Modal Dasar,Pembayaran Dividen,Kenaikan (Penurunan ) Utang Pihak Berelasi,Kenaikan (Penurunan ) Piutang Pihak Berelasi,Kenaikan Piutang Pihak Berelasi,Penurunan Piutang Pihak Hubungan Istimewa,Total Kenaikan (Penurunan ) Piutang Pihak Berelasi,Pembayaran Lain-Lain,Kenaikan ( Penurunan) Kewajiban Tidak Lancar,Modal Disetor,Hak Minoritas,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Operasi Yang Dihentikan,Kas Dan Setara Kas Dari Operasi Yang Dihentikan,Total Operasi Yang Dihentikan,Dampak Perubahan Selisih Kurs Terhadapa Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-2736362453.000000,68602857117.000000,-78776558681.000000,,7527596238.000000,,-90257127.000000,-2736362453.000000,-115133792869.000000,7333154716.000000,,,,,,-71448085.000000,,,,,,,,,,323000000000.000000,-297498999500.000000,-330699500500.000000,182803000500.000000,,,,,-115133792869.000000,40389638764.000000,47510259141.000000,,,47510259141.000000,,,,,,,-7120620377.000000,,,,,,,,,,,,,,,,,40389638764.000000,-77480516558.000000,78036783970.000000,,,,,556267412.000000
12M 2009,-323772235400.000000,1196348247245.000000,-1500318833221.000000,530668633.000000,463551468.000000,,-20795869525.000000,-323772235400.000000,-1683596597373.000000,46689666472.000000,,38671916585.000000,,,,-158051807068.000000,,,,,,,,,,,-1740307691878.000000,-6960000000.000000,111619500000.000000,20450661011.000000,8545377505.000000,-4254220000.000000,,-1683596597373.000000,2549326600279.000000,-334722500000.000000,,,-334722500000.000000,,,,,,,-75729139311.000000,-1850132480.000000,,,2961000000000.000000,,,,,,-8318046525.000000,8946418595.000000,628372070.000000,,,,,2549326600279.000000,541957767506.000000,556267412.000000,,,,,542514034918.000000
12M 2010,1164302943882.000000,6042401938982.000000,-4345739470737.000000,,1918329271.000000,,-534277853634.000000,1164302943882.000000,-846363185849.000000,48836967918.000000,,49221106167.000000,,,,-946491882606.000000,,,,,,,,,,,,,29265000000.000000,328288989.000000,1765588350.000000,-29288254667.000000,,-846363185849.000000,-311423189834.000000,3125003000293.000000,,,3125003000293.000000,,,,-121183755918.000000,,,-586778020348.000000,-4808187070.000000,,,-2723733540000.000000,,,,396629782.000000,-319316573.000000,,,-319316573.000000,,,,,-311423189834.000000,6516568199.000000,542514034918.000000,,,,,549030603117.000000
12M 2011,892051000000.000000,7025337000000.000000,-5410506000000.000000,,20358000000.000000,-368313000000.000000,-374825000000.000000,892051000000.000000,-964314000000.000000,59302000000.000000,,102422000000.000000,,,31510000000.000000,-1157548000000.000000,,,,,,,,,,,,,,,,,,-964314000000.000000,1447088000000.000000,,6868089000000.000000,-5992075000000.000000,876014000000.000000,,,,-483794000000.000000,,,,-8496000000.000000,,1171795000000.000000,-108431000000.000000,,,,,,,,,,,,,1447088000000.000000,1382825000000.000000,549031000000.000000,,,,,1931856000000.000000
12M 2012,85333345.000000,767500476.000000,-594230154.000000,,3569929.000000,-44955782.000000,-46551124.000000,85333345.000000,-138563645.000000,11317747.000000,,-258023.000000,,,4749574.000000,-137518996.000000,,,,,,,,,-16853947.000000,,,,,,,,,-138563645.000000,-102758518.000000,,,-17278663.000000,-17278663.000000,,,,-85286299.000000,,,,-181857.000000,,-11699.000000,,,,,,,,,,,,,,-102758518.000000,-155988818.000000,213041036.000000,,,,,57052218.000000
12M 2013,222877604.000000,785613324.000000,-502854451.000000,,2662070.000000,-41317779.000000,-21225560.000000,222877604.000000,-11481435.000000,11454400.000000,,258023.000000,,,,-23223542.000000,,,,,,,29684.000000,,,,,,,,,,,-11481435.000000,-53177808.000000,,98000000.000000,-90609388.000000,7390612.000000,,,,-60999939.000000,,,,,,431519.000000,,,,,,,,,,,,,,-53177808.000000,158218361.000000,57052218.000000,,,,,215270579.000000
12M 2014,77149345.000000,609532332.000000,-475455456.000000,,3669775.000000,-35136285.000000,-25461021.000000,77149345.000000,-63663687.000000,2702746.000000,,-25970800.000000,,,,-40395633.000000,,,,,,,,,,,,,,,,,,-63663687.000000,-159679029.000000,,,-106962823.000000,-106962823.000000,,,,,,,,-172633.000000,-52948379.000000,,,,404806.000000,,,,,,,,,,,-159679029.000000,-140176258.000000,215270579.000000,,,,,75094321.000000
12M 2015,118513548.000000,569860172.000000,-397417244.000000,,2359977.000000,-34016328.000000,-22273029.000000,118513548.000000,-44806422.000000,3574134.000000,,-2051268.000000,,,,-46329288.000000,,,,,,,,,,,,,,,,,,-44806422.000000,-76739088.000000,,,-37358085.000000,-37358085.000000,,,,,,,,-210594.000000,-39350873.000000,,,,180464.000000,,,,,,,,,,,-76739088.000000,-1820270.000000,75094321.000000,,,,-2656546.000000,70617505.000000
12M 2016,189899237.000000,604834596.000000,-360423900.000000,,1053899.000000,-34898888.000000,-20666470.000000,189899237.000000,-35877056.000000,4622354.000000,,-652765.000000,,,,-39846645.000000,,,,,,,,,,,,,,,,,,-35877056.000000,-158573369.000000,,,-127205491.000000,-127205491.000000,,,,,,,,-315140.000000,-31775603.000000,,,,722865.000000,,,,,,,,,,,-158573369.000000,-4551188.000000,70617505.000000,,,,868942.000000,66935259.000000
12M 2017,162259790.000000,730707556.000000,-466117891.000000,,1691026.000000,-64012375.000000,-40008526.000000,162259790.000000,-62922338.000000,47655076.000000,,2346976.000000,,,,-112924390.000000,,,,,,,,,,,,,,,,,,-62922338.000000,-98687573.000000,,,-530042588.000000,-530042588.000000,,,,,,346451000.000000,,-356542.000000,-48602184.000000,,,128750000.000000,5112741.000000,,,,,,,,,,,-98687573.000000,649879.000000,66935259.000000,,,,-82537.000000,67502601.000000
