Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Laba (Rugi) Selisih Kurs,Keuntungan (Rugi) Atas Transaksi Derivatif,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Pra Akuisisi,Hak Minoritas,Operasi Yang Dihentikan,Others,Total Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Laba Pra Akuisisi,Operasi Yang Dihentikan,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,9583750000.000000,,9583750000.000000,-4975500946.000000,,,-4975500946.000000,4608249054.000000,-13302847674.000000,18806972.000000,-114851023.000000,-8110898147.000000,3500000.000000,,-12078685658.000000,6979280182.000000,-13302847674.000000,-8694598620.000000,-1110920678.000000,-606889300.000000,-504031378.000000,-1110920678.000000,-9805519298.000000,,-33212181.000000,,,,-9838731479.000000,,,,,-9838731479.000000,-9805519298.000000,-33212181.000000,,,-9838731479.000000,,,,
12M 2009,6350638790348.000000,-4860034516496.000000,1490604273852.000000,-254957553207.000000,,,-254957553207.000000,1235646720645.000000,-613675317167.000000,10891819293.000000,20887530221.000000,-250093283593.000000,329366344461.000000,,,-724727727549.000000,-613675317167.000000,621971403478.000000,-269791151469.000000,-284779642370.000000,14988490901.000000,-269791151469.000000,352180252009.000000,-512288398483.000000,2413024.000000,,,,-160105733450.000000,,,,,-160105733450.000000,352180252009.000000,2413024.000000,-512288398483.000000,,-160105733450.000000,,,,
12M 2010,5798901592977.000000,-4445148648641.000000,1353752944336.000000,-316212126387.000000,,,-316212126387.000000,1037540817949.000000,-1005692878594.000000,1918782974.000000,6832510198.000000,-542202888431.000000,194459695969.000000,,,-666700979304.000000,-1005692878594.000000,31847939355.000000,-190506049938.000000,-236096884145.000000,45590834207.000000,-190506049938.000000,-158658110583.000000,,-13443462.000000,,,,-158671554045.000000,,,,,-158671554045.000000,-158658110583.000000,-13443462.000000,,,-158671554045.000000,,,,
12M 2011,6820719000000.000000,-5728539000000.000000,1092180000000.000000,-422940000000.000000,,,-422940000000.000000,669240000000.000000,-709524000000.000000,22706000000.000000,16756000000.000000,-415997000000.000000,-88008000000.000000,-72667000000.000000,,-172314000000.000000,-709524000000.000000,-40284000000.000000,-113091000000.000000,-164780000000.000000,51689000000.000000,-113091000000.000000,-153375000000.000000,,,,,,-153375000000.000000,-199102000000.000000,-199102000000.000000,-199102000000.000000,-352477000000.000000,-153375000000.000000,-153375000000.000000,,,,-153375000000.000000,-352477000000.000000,-352477000000.000000,,-352477000000.000000
12M 2012,843254769.000000,-740246140.000000,103008629.000000,-46935984.000000,,,-46935984.000000,56072645.000000,-73771310.000000,3493082.000000,-432266.000000,-51185516.000000,-15975482.000000,-10150254.000000,,479126.000000,-73771310.000000,-17698665.000000,2443045.000000,-5700499.000000,8143544.000000,2443045.000000,-15255620.000000,,,,,,-15255620.000000,-2112444.000000,-2112444.000000,-2112444.000000,-17368064.000000,-15255620.000000,-15255620.000000,,,,-15255620.000000,-17368064.000000,-17368063.000000,-1.000000,-17368064.000000
12M 2013,694912667.000000,-582382465.000000,112530202.000000,-48735886.000000,,,-48735886.000000,63794316.000000,-91981381.000000,3049531.000000,328185.000000,-45399541.000000,-43286108.000000,-11078028.000000,,4404580.000000,-91981381.000000,-28187065.000000,-1182908.000000,,-1182908.000000,-1182908.000000,-29369973.000000,,,,,,-29369973.000000,7804242.000000,7804242.000000,7804242.000000,-21565731.000000,-29369973.000000,-29369959.000000,-14.000000,,,-29369973.000000,-21565731.000000,-21565721.000000,-10.000000,-21565731.000000
12M 2014,607426558.000000,-484759358.000000,122667200.000000,-43302065.000000,,,-43302065.000000,79365135.000000,-52261773.000000,3588631.000000,823261.000000,-41905828.000000,-1438718.000000,-11292983.000000,,-2036136.000000,-52261773.000000,27103362.000000,-11633716.000000,-1351592.000000,-10282124.000000,-11633716.000000,15469646.000000,,,,,,15469646.000000,7131580.000000,7131580.000000,7131580.000000,22601226.000000,15469646.000000,15469635.000000,11.000000,,,15469646.000000,22601226.000000,22601212.000000,14.000000,22601226.000000
12M 2015,565615288.000000,-439779714.000000,125835574.000000,-38273942.000000,,,-38273942.000000,87561632.000000,-93350355.000000,2305366.000000,,-46052517.000000,,,,-49603204.000000,-93350355.000000,-5788723.000000,-2517872.000000,,,-2517872.000000,-8306595.000000,,,,,,-8306595.000000,7988902.000000,7988902.000000,7988902.000000,-317693.000000,-8306595.000000,-8306596.000000,1.000000,,,-8306595.000000,-317693.000000,-317698.000000,5.000000,-317693.000000
12M 2016,611231812.000000,-447355971.000000,163875841.000000,-41652700.000000,,,-41652700.000000,122223141.000000,-61513398.000000,1045737.000000,,-53495912.000000,,,,-9063223.000000,-61513398.000000,60709743.000000,-23620558.000000,,,-23620558.000000,37089185.000000,,,,,,37089185.000000,1423783.000000,1423783.000000,1423783.000000,38512968.000000,37089185.000000,37089171.000000,14.000000,,,37089185.000000,38512968.000000,38512953.000000,15.000000,38512968.000000
12M 2017,764608154.000000,-539464397.000000,225143757.000000,-53457141.000000,,,-53457141.000000,171686616.000000,-84983911.000000,1788658.000000,,-51906006.000000,,,,-34866563.000000,-84983911.000000,86702705.000000,-39955404.000000,,,-39955404.000000,46747301.000000,,,,,,46747301.000000,-3954578.000000,-3954578.000000,-3954578.000000,42792723.000000,46747301.000000,46747279.000000,22.000000,,,46747301.000000,42792723.000000,42792703.000000,20.000000,42792723.000000
