Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2012,0.87,441.98,0.87,441.98,,,,(45 B),95 B
12M 2013,0.78,605.07,0.78,605.07,,,,(67 B),151 B
12M 2014,0.56,633.96,0.56,633.96,,,,(70 B),162 B
12M 2015,0.60,646.65,0.60,646.65,,,,(102 B),171 B
12M 2016,0.59,677.00,0.59,677.00,,,,(116 B),163 B
12M 2017,0.50,694.50,0.50,694.50,,,,(88 B),162 B
12M 2018,0.43,727.27,0.43,727.27,,,,(56 B),167 B
12M 2019,0.34,744.27,0.34,744.27,,,,(75 B),177 B
12M 2020,0.36,756.70,0.36,756.70,,,,(82 B),182 B
12M 2021,0.47,829.74,0.47,829.74,,,,(83 B),202 B
12M 2022,0.44,898.91,0.44,898.91,,,,(31 B),226 B
12M 2023,0.42,1001.92,0.42,1001.92,,,,(56 B),246 B
12M 2024,0.32,1012.62,0.32,1012.62,,,,(38 B),249 B
