Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Aset Pajak Tangguhan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Tanah Untuk Dikembangkan,Aset Tetap,Properti Investasi,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Dana Syirkah Temporer,Utang Obligasi,Utang Usaha,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Obligasi Konversi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,606835934490.000000,450012753498.000000,32254254949.000000,7387111844.000000,24867143105.000000,32254254949.000000,8006228687.000000,,,8006228687.000000,1199354060334.000000,,53070468799.000000,2349533700757.000000,,,1399082880201.000000,200996172243.000000,517898179895.000000,7069873062.000000,38946622059.000000,2163993727460.000000,4513527428217.000000,,,1712418466809.000000,284852500000.000000,,545500000000.000000,10495534090.000000,14564592363.000000,37867546160.000000,,,,,819138294196.000000,1712418466809.000000,125318654246.000000,,,58105000000.000000,67213654246.000000,125318654246.000000,1837737121055.000000,,925000000000.000000,452294849950.000000,914497115151.000000,589383000.000000,913907732151.000000,914497115151.000000,409927544657.000000,-25929202596.000000,2675790307162.000000,4513527428217.000000,1850000000.000000
12M 2009,,,616766627760.000000,469284440200.000000,30715327736.000000,4887176852.000000,25828150884.000000,30715327736.000000,7022200841.000000,,,7022200841.000000,1099180342611.000000,,52232698985.000000,2275201638133.000000,,,1396403517591.000000,199564161230.000000,500794716277.000000,5392357711.000000,52146899751.000000,2154301652560.000000,4429503290693.000000,,,1390814503716.000000,63500000000.000000,,549000000000.000000,9492761283.000000,9383062788.000000,31345532730.000000,,,,,728093146915.000000,1390814503716.000000,136013229156.000000,,,67401000000.000000,68612229156.000000,136013229156.000000,1526827732872.000000,,925000000000.000000,452294849950.000000,1126483566697.000000,1089383000.000000,1125394183697.000000,1126483566697.000000,423437363087.000000,-24540221913.000000,2902675557821.000000,4429503290693.000000,1850000000.000000
12M 2010,,,756672698794.000000,586826817406.000000,31538044238.000000,2580652113.000000,28957392125.000000,31538044238.000000,13141291388.000000,,,13141291388.000000,1047233723780.000000,,93929614962.000000,2529342190568.000000,,,1455168348663.000000,183311718709.000000,501457993834.000000,4277705546.000000,49807317531.000000,2194023084283.000000,4723365274851.000000,,,1382596592088.000000,128500000000.000000,,497000000000.000000,7758980431.000000,10155557319.000000,35242123467.000000,,,,,703939930871.000000,1382596592088.000000,134094749834.000000,,,67401000000.000000,66693749834.000000,134094749834.000000,1516691341922.000000,,925000000000.000000,452294849950.000000,1393524787191.000000,1589383000.000000,1391935404191.000000,1393524787191.000000,459197864332.000000,-23343568544.000000,3206673932929.000000,4723365274851.000000,1850000000.000000
12M 2011,,,1060088159162.000000,553675327047.000000,26095597964.000000,1976326790.000000,24119271174.000000,26095597964.000000,5975642608.000000,,,5975642608.000000,1085088900043.000000,,128859409571.000000,2859783036395.000000,,,1608057784343.000000,158738274209.000000,505046429335.000000,9302932297.000000,47257988211.000000,2328403408395.000000,5188186444790.000000,,,1485248493314.000000,97000000000.000000,,499000000000.000000,10865798741.000000,13846215011.000000,34416808067.000000,,,,,830119671495.000000,1485248493314.000000,138954551393.000000,,,67401000000.000000,71553551393.000000,138954551393.000000,1624203044707.000000,,925000000000.000000,452294849950.000000,1747140887015.000000,3589383000.000000,1743551504015.000000,1747140887015.000000,462693181645.000000,-23145518527.000000,3563983400083.000000,5188186444790.000000,1850000000.000000
12M 2012,,,1464191705578.000000,150739916345.000000,28794903846.000000,7665038961.000000,21129864885.000000,28794903846.000000,5249983522.000000,,,5249983522.000000,1471430066118.000000,,92212892177.000000,3212619467586.000000,,,2694877277040.000000,135680718699.000000,495065925599.000000,9302932297.000000,44708658891.000000,3379635512526.000000,6592254980112.000000,,,1301198524867.000000,91000000000.000000,,,11170076651.000000,24987955424.000000,23773813111.000000,,,,,1150266679681.000000,1301198524867.000000,135340637473.000000,,,44160000000.000000,91180637473.000000,135340637473.000000,1436539162340.000000,,925000000000.000000,452294849950.000000,2275972597600.000000,5589383000.000000,2270383214600.000000,2275972597600.000000,1524317718044.000000,-21869347822.000000,5155715817772.000000,6592254980112.000000,1850000000.000000
12M 2013,,,1020729812703.000000,38655793611.000000,60371262759.000000,30670386119.000000,29700876640.000000,60371262759.000000,6511046639.000000,,,6511046639.000000,1582240538260.000000,,512888156186.000000,3221396610158.000000,,,2852104754037.000000,164009364927.000000,1070459925589.000000,9302932297.000000,156322922688.000000,4252199899538.000000,7473596509696.000000,,,917230812556.000000,,,,13311085852.000000,15016111504.000000,35875122633.000000,,,,,853028492567.000000,917230812556.000000,511313717462.000000,32668511072.000000,,,478645206390.000000,511313717462.000000,1428544530018.000000,,925000000000.000000,428109824645.000000,2934829484386.000000,7589383000.000000,2927240101386.000000,2934829484386.000000,1752576823099.000000,4535847548.000000,6045051979678.000000,7473596509696.000000,1850000000.000000
12M 2014,,,1356250496864.000000,43142957906.000000,44410604517.000000,20412481585.000000,23998122932.000000,44410604517.000000,17776146570.000000,,,17776146570.000000,1922464585786.000000,,203828879745.000000,3587873671388.000000,,19634408.000000,2871304120774.000000,265105374809.000000,9302932297.000000,250000000.000000,1290455310442.000000,4436437372730.000000,8024311044118.000000,,,954119713824.000000,200000000000.000000,27000000000.000000,,16761307110.000000,26048307743.000000,41744654458.000000,,1024000000.000000,,1024000000.000000,641541444513.000000,954119713824.000000,821773734561.000000,101986888224.000000,,,719786846337.000000,821773734561.000000,1775893448385.000000,,925000000000.000000,428109824645.000000,3519969685301.000000,9589383000.000000,3510380302301.000000,3519969685301.000000,1366777775732.000000,8560310055.000000,6248417595733.000000,8024311044118.000000,1850000000.000000
12M 2015,,,1767352103328.000000,86884602494.000000,47240721285.000000,16302554472.000000,30938166813.000000,47240721285.000000,12804568819.000000,,,12804568819.000000,2131669474095.000000,,298434720040.000000,4344386190061.000000,,2566351406.000000,2921649977564.000000,309347200786.000000,9302932297.000000,250000000.000000,1427408564337.000000,4670525026390.000000,9014911216451.000000,,,1198803132680.000000,257000000000.000000,,,27694273156.000000,22186229671.000000,33200963495.000000,,34088000000.000000,2512039151.000000,36600039151.000000,822121627207.000000,1198803132680.000000,985050011169.000000,68172000000.000000,6723672378.000000,,910154338791.000000,985050011169.000000,2183853143849.000000,,925000000000.000000,455548574771.000000,4061654304063.000000,11589383000.000000,4050064921063.000000,4061654304063.000000,1408631305479.000000,-19776111711.000000,6831058072602.000000,9014911216451.000000,1850000000.000000
12M 2016,,,1480367038928.000000,59388431981.000000,64935896642.000000,28420996742.000000,36514899900.000000,64935896642.000000,66781156224.000000,,,66781156224.000000,2185857347393.000000,,274206440435.000000,4131536311603.000000,,5085510192.000000,3895915037630.000000,343658065497.000000,9302932297.000000,250000000.000000,1306469928606.000000,5560681474222.000000,9692217785825.000000,,,1062796457582.000000,27000000000.000000,,,33027796688.000000,25250555030.000000,28672466105.000000,,34088000000.000000,2543490694.000000,36631490694.000000,912214149065.000000,1062796457582.000000,836508299208.000000,34084000000.000000,4005205360.000000,,798419093848.000000,836508299208.000000,1899304756790.000000,,925000000000.000000,463891634211.000000,4759245567984.000000,13589383000.000000,4745656184984.000000,4759245567984.000000,1656455968224.000000,-11680141384.000000,7792913029035.000000,9692217785825.000000,1850000000.000000
12M 2017,,,1598097714883.000000,75372817831.000000,50301238917.000000,17992266061.000000,32308972856.000000,50301238917.000000,103178405956.000000,,,103178405956.000000,2252586799592.000000,,369582490109.000000,4449119467288.000000,,1614127493.000000,4253685333948.000000,352197975439.000000,9302932297.000000,1350000000.000000,1508411849820.000000,6126562218997.000000,10575681686285.000000,,,1172699957282.000000,,,,35284495857.000000,24320457113.000000,27436885020.000000,,8518000000.000000,2666188144.000000,11184188144.000000,1074473931148.000000,1172699957282.000000,1068120041552.000000,263442839976.000000,1372403864.000000,,803304797712.000000,1068120041552.000000,2240819998834.000000,,925000000000.000000,465031634211.000000,5282713669367.000000,15589383000.000000,5267124286367.000000,5282713669367.000000,1672934494219.000000,-10818110346.000000,8334861687451.000000,10575681686285.000000,1850000000.000000
12M 2018,,,2533281889883.000000,156700336654.000000,41467249736.000000,14043887742.000000,27423361994.000000,41467249736.000000,171940819672.000000,,,171940819672.000000,2435895164487.000000,,325975588645.000000,5665261049077.000000,,198290293.000000,4426474122024.000000,317166296444.000000,9302932297.000000,1350000000.000000,2223143048688.000000,6977634689746.000000,12642895738823.000000,,,1571910026185.000000,,,,49496529336.000000,85934493088.000000,29339645334.000000,,,1466916177.000000,1466916177.000000,1405672442250.000000,1571910026185.000000,1656066914398.000000,369442839976.000000,,,1286624074422.000000,1656066914398.000000,3227976940583.000000,,925000000000.000000,465031634211.000000,6202470253542.000000,17589383000.000000,6184880870542.000000,6202470253542.000000,1808748850016.000000,13668060471.000000,9414918798240.000000,12642895738823.000000,1850000000.000000
