Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Final,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1062378872385.000000,-487242701480.000000,575136170905.000000,-420661984052.000000,-102845102774.000000,-317816881278.000000,,-420661984052.000000,154474186853.000000,-12259980040.000000,48845757021.000000,-15354701061.000000,,664466378.000000,-140973025566.000000,94557523188.000000,-12259980040.000000,142214206813.000000,-58974448992.000000,-38078282920.000000,-20896166072.000000,,-58974448992.000000,83239757821.000000,-43152164827.000000,40087592994.000000,,,,,40087592994.000000,83239757821.000000,-43152164827.000000,40087592994.000000,,,,
12M 2009,1002554493801.000000,-366718860261.000000,635835633540.000000,-332618567680.000000,-78049690126.000000,-254568877554.000000,,-332618567680.000000,303217065860.000000,21855267428.000000,49768851071.000000,5854689607.000000,,-39553522.000000,-98141468098.000000,64412748370.000000,21855267428.000000,325072333288.000000,-57877672557.000000,-57877672557.000000,,,-57877672557.000000,267194660731.000000,-55208209185.000000,211986451546.000000,,,,,211986451546.000000,267194660731.000000,-55208209185.000000,211986451546.000000,,,,
12M 2010,1007355373926.000000,-276830466284.000000,730524907642.000000,-389930278551.000000,-114802900090.000000,-275127378461.000000,,-389930278551.000000,340594629091.000000,50831796905.000000,43087872306.000000,-1282531810.000000,,3057532612.000000,-80409089173.000000,86378012970.000000,50831796905.000000,391426425996.000000,-61097749807.000000,,,,-61097749807.000000,330328676189.000000,-63287455695.000000,267041220494.000000,,,,,267041220494.000000,330328676189.000000,-63287455695.000000,267041220494.000000,,,,
12M 2011,1117683055738.000000,-291002515238.000000,826680540500.000000,-413795910473.000000,-113205588805.000000,-300590321668.000000,,-413795910473.000000,412884630027.000000,76477764030.000000,52213393194.000000,2132923596.000000,,199900000.000000,-78920162955.000000,100851710195.000000,76477764030.000000,489362394057.000000,-66956991565.000000,,,,-66956991565.000000,422405402492.000000,,422405402492.000000,267237913.000000,267237913.000000,267237913.000000,422672640405.000000,422405402492.000000,348590873075.000000,73814529417.000000,422405402492.000000,422672640405.000000,348788923092.000000,73883717313.000000,422672640405.000000
12M 2012,1569176913981.000000,-515648475325.000000,1053528438656.000000,-452020111636.000000,-133229735198.000000,-318790376438.000000,,-452020111636.000000,601508327020.000000,103180201728.000000,56846768448.000000,8842049317.000000,,92000000.000000,-43764280482.000000,81163664445.000000,103180201728.000000,704688528748.000000,-91360686637.000000,,,,-91360686637.000000,613327842111.000000,,613327842111.000000,1721995283.000000,1721995283.000000,1721995283.000000,615049837394.000000,613327842111.000000,528831710585.000000,84496131526.000000,613327842111.000000,615049837394.000000,530107881290.000000,84941956104.000000,615049837394.000000
12M 2013,1604535230345.000000,-440948927285.000000,1163586303060.000000,-544223270263.000000,-153136660917.000000,-391086609346.000000,,-544223270263.000000,619363032797.000000,234804918249.000000,58347990538.000000,35066146428.000000,,715569720.000000,-1763528824.000000,142438740387.000000,234804918249.000000,854167951046.000000,-97309514256.000000,,,,-97309514256.000000,756858436790.000000,,756858436790.000000,-1700816240.000000,-1700816240.000000,-1700816240.000000,755157620550.000000,756858436790.000000,658856886786.000000,98001550004.000000,756858436790.000000,755157620550.000000,657823332030.000000,97334288520.000000,755157620550.000000
12M 2014,1543419395688.000000,-386395217982.000000,1157024177706.000000,-579932857246.000000,-173847026121.000000,-406085831125.000000,,-579932857246.000000,577091320460.000000,224025577405.000000,64483165022.000000,6871503111.000000,,-158834821.000000,-11831375830.000000,164661119923.000000,224025577405.000000,801116897865.000000,-99475459546.000000,,,,-99475459546.000000,701641438319.000000,,701641438319.000000,3010021083.000000,3010021083.000000,3010021083.000000,704651459402.000000,701641438319.000000,585140200915.000000,116501237404.000000,701641438319.000000,704651459402.000000,587224436096.000000,117427023306.000000,704651459402.000000
12M 2015,1686812400465.000000,-388305796442.000000,1298506604023.000000,-621436570545.000000,-185886634327.000000,-435549936218.000000,,-621436570545.000000,677070033478.000000,105591896484.000000,69168010505.000000,32235569857.000000,,928151235.000000,-35540884188.000000,38801049075.000000,105591896484.000000,782661929962.000000,-111712433215.000000,-930336534.000000,,-110782096681.000000,-111712433215.000000,670949496747.000000,,670949496747.000000,3069633960.000000,3069633960.000000,3069633960.000000,674019130707.000000,670949496747.000000,534915278377.000000,136034218370.000000,670949496747.000000,674019130707.000000,538170706075.000000,135848424632.000000,674019130707.000000
12M 2016,2019459161815.000000,-485073052724.000000,1534386109091.000000,-619005353682.000000,-188564095778.000000,-430441257904.000000,,-619005353682.000000,915380755409.000000,59926291070.000000,70388771427.000000,-16571339911.000000,,718261187.000000,-27705808994.000000,33096407361.000000,59926291070.000000,975307046479.000000,-134656422463.000000,-3724457750.000000,,-130931964713.000000,-134656422463.000000,840650624016.000000,,840650624016.000000,-4761054958.000000,-4761054958.000000,-4761054958.000000,835889569058.000000,840650624016.000000,703671697717.000000,136978926299.000000,840650624016.000000,835889569058.000000,699004622667.000000,136884946391.000000,835889569058.000000
12M 2017,1718746728686.000000,-361773553769.000000,1356973174917.000000,-729964078209.000000,-324284426323.000000,-299356144648.000000,-106323507238.000000,-729964078209.000000,627009096708.000000,26003176521.000000,67774448638.000000,1141614444.000000,,80070000.000000,-12141377378.000000,-30851579183.000000,26003176521.000000,653012273229.000000,-4366075250.000000,-4366075250.000000,,,-4366075250.000000,648646197979.000000,,648646197979.000000,-11578337688.000000,-11578337688.000000,-11578337688.000000,637067860291.000000,648646197979.000000,535308856527.000000,113337341452.000000,648646197979.000000,637067860291.000000,524330135424.000000,112737724867.000000,637067860291.000000
12M 2018,2225704530841.000000,-451850024775.000000,1773854506066.000000,-800501970829.000000,-358617411105.000000,-328308617511.000000,-113575942213.000000,-800501970829.000000,973352535237.000000,159830052695.000000,107716711281.000000,-3315512352.000000,,1129384500.000000,-5807213152.000000,60106682418.000000,159830052695.000000,1133182587932.000000,-6525357822.000000,-6525357822.000000,,,-6525357822.000000,1126657230110.000000,,1126657230110.000000,10817950362.000000,10817950362.000000,10817950362.000000,1137475180472.000000,1126657230110.000000,911492519460.000000,215164710650.000000,1126657230110.000000,1137475180472.000000,920832091589.000000,216643088883.000000,1137475180472.000000
12M 2019,2459812402375.000000,-588845015999.000000,1870967386376.000000,-820470310643.000000,-342577632420.000000,-349757558980.000000,-128135119243.000000,-820470310643.000000,1050497075733.000000,247976483832.000000,169855581806.000000,-3784390685.000000,,325585273.000000,-5539276113.000000,87118983551.000000,247976483832.000000,1298473559565.000000,-8510594250.000000,-8510594250.000000,,,-8510594250.000000,1289962965315.000000,,1289962965315.000000,-6264189939.000000,-6264189939.000000,-6264189939.000000,1283698775376.000000,1289962965315.000000,1102853913328.000000,187109051987.000000,1289962965315.000000,1283698775376.000000,1097731675915.000000,185967099461.000000,1283698775376.000000
12M 2020,1724797535246.000000,-424922470929.000000,1299875064317.000000,-719157939673.000000,-267941748779.000000,-366222537143.000000,-84993653751.000000,-719157939673.000000,580717124644.000000,60109827174.000000,131223912001.000000,-449883912.000000,,676684136.000000,-155300308980.000000,83959423929.000000,60109827174.000000,640826951818.000000,-2399578545.000000,-2399578545.000000,,,-2399578545.000000,638427373273.000000,,638427373273.000000,921556916.000000,921556916.000000,921556916.000000,639348930189.000000,638427373273.000000,533728203352.000000,104699169921.000000,638427373273.000000,639348930189.000000,534681278119.000000,104667652070.000000,639348930189.000000
