Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Deposito Berjangka,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,86156940831.000000,,8639777094.000000,500407607.000000,165110985627.000000,67579088208.000000,327987199367.000000,,,14386971361.000000,4433235250.000000,,116807549316.000000,5022802162.000000,140650558089.000000,468637757456.000000,,,180905900133.000000,135652958345.000000,,,135652958345.000000,,,,,19027880974.000000,8800082534.000000,,11484042464.000000,,11484042464.000000,5940935816.000000,180905900133.000000,62064545905.000000,,,,43744235171.000000,,43744235171.000000,18320310734.000000,62064545905.000000,242970446038.000000,,100000000000.000000,,125413906667.000000,,125413906667.000000,253404751.000000,,225667311418.000000,468637757456.000000,1000000000.000000
12M 2013,,,742453783003.000000,214841125000.000000,6703906531.000000,1684601192.000000,445138671136.000000,147390627825.000000,1558212714687.000000,,,520817904.000000,6242248000.000000,,447841566905.000000,9760102292.000000,464364735101.000000,2022577449788.000000,,,280420823413.000000,223169202536.000000,,,223169202536.000000,3894217934.000000,,,3894217934.000000,14034051688.000000,17703925967.000000,,12933932042.000000,,12933932042.000000,8685493246.000000,280420823413.000000,56915117802.000000,251742870.000000,,,30548886966.000000,,30548886966.000000,26114487966.000000,56915117802.000000,337335941215.000000,,133433300000.000000,1219361729183.000000,332194136974.000000,,332194136974.000000,252342416.000000,,1685241508573.000000,2022577449788.000000,1333333000.000000
12M 2014,,,443620515038.000000,,6773099500.000000,11347573980.000000,489219839168.000000,488458899269.000000,1439419926955.000000,,,241988611.000000,9346724615.000000,,542436156133.000000,12090634108.000000,564115503467.000000,2003535430422.000000,,,167393940053.000000,130202539121.000000,,,130202539121.000000,,,,,2427239100.000000,15584297409.000000,,12674545395.000000,1254652778.000000,13929198173.000000,5250666250.000000,167393940053.000000,58657939513.000000,824192936.000000,,,17966791646.000000,2652201684.000000,20618993330.000000,37214753247.000000,58657939513.000000,226051879566.000000,,133433300000.000000,1219361729183.000000,424443924574.000000,,424443924574.000000,244597099.000000,,1777483550856.000000,2003535430422.000000,1334333000.000000
12M 2015,,,434673736194.000000,,12066237280.000000,14418870175.000000,436703554298.000000,418837510679.000000,1316699908626.000000,,,,9383458365.000000,,559368659344.000000,12966847098.000000,581718964807.000000,1898418873433.000000,,,93848579757.000000,43471239819.000000,,,43471239819.000000,17531513272.000000,,,17531513272.000000,3499875790.000000,12061226357.000000,,10272918928.000000,1423678524.000000,11696597452.000000,5588127067.000000,93848579757.000000,47094810927.000000,450002915.000000,,,7644318550.000000,1075201580.000000,8719520130.000000,37925287882.000000,47094810927.000000,140943390684.000000,,133433300000.000000,1219361729183.000000,448204300952.000000,,448204300952.000000,237045706.000000,-43760893092.000000,1757475482749.000000,1898418873433.000000,1334333000.000000
12M 2016,,,417077987466.000000,,17049740200.000000,33111893890.000000,431612853227.000000,351905803715.000000,1250758278498.000000,,,251559000.000000,7004850865.000000,,604781778650.000000,18849466053.000000,630887654568.000000,1881645933066.000000,,,121582650739.000000,93686786821.000000,,,93686786821.000000,4860618385.000000,,,4860618385.000000,1731540770.000000,8126380559.000000,,7623318552.000000,647702494.000000,8271021046.000000,4906303158.000000,121582650739.000000,32301698153.000000,2414363747.000000,,,21000000.000000,1051794997.000000,1072794997.000000,28814539409.000000,32301698153.000000,153884348892.000000,,133433300000.000000,1223693710389.000000,420119274515.000000,,420119274515.000000,336156586.000000,-49820857316.000000,1727761584174.000000,1881645933066.000000,1334333000.000000
12M 2017,,,517294780598.000000,,30843065001.000000,3505672975.000000,390702672015.000000,360621909880.000000,1302968100469.000000,,,2500000000.000000,9907704365.000000,,565997810360.000000,18557016998.000000,596962531723.000000,1899930632192.000000,,,141923244622.000000,122520881037.000000,,,122520881037.000000,5144379720.000000,,,5144379720.000000,1521483802.000000,7493766321.000000,,21000000.000000,1217559660.000000,1238559660.000000,4004174082.000000,141923244622.000000,42742828186.000000,,,,,2451635930.000000,2451635930.000000,40291192256.000000,42742828186.000000,184666072808.000000,,133433300000.000000,1223693710389.000000,407624730953.000000,,407624730953.000000,333675358.000000,-49820857316.000000,1715264559384.000000,1899930632192.000000,1334333000.000000
12M 2018,,,473141559720.000000,82512441563.000000,17215131170.000000,9661321540.000000,353157040231.000000,331547347923.000000,1267234842147.000000,,,34368600000.000000,12152005365.000000,,595947250015.000000,28478820934.000000,670946676314.000000,1938181518461.000000,,,150800434062.000000,124235230036.000000,,,124235230036.000000,9415870498.000000,,,9415870498.000000,2402733227.000000,7494519940.000000,,,1585799411.000000,1585799411.000000,5666280950.000000,150800434062.000000,51884263504.000000,,,,,2368261696.000000,2368261696.000000,49516001808.000000,51884263504.000000,202684697566.000000,,133433300000.000000,1223693710389.000000,429452462344.000000,,429452462344.000000,329003265.000000,-51411655103.000000,1735496820895.000000,1938181518461.000000,1334333000.000000
12M 2019,,,411847900805.000000,70231918120.000000,16292193770.000000,4522828912.000000,181935242597.000000,147106950119.000000,831937034323.000000,,,24368600000.000000,13970125866.000000,,635301490253.000000,339747124308.000000,1013387340427.000000,1845324374750.000000,,,399844207730.000000,359094450251.000000,,,359094450251.000000,21505532085.000000,,,21505532085.000000,2448921179.000000,8927262579.000000,,,2317893476.000000,2317893476.000000,5550148160.000000,399844207730.000000,65484325206.000000,,,,,2502088402.000000,2502088402.000000,62982236804.000000,65484325206.000000,465328532936.000000,,133433300000.000000,1223693710389.000000,72363471689.000000,,72363471689.000000,326217052.000000,-49820857316.000000,1379995841814.000000,1845324374750.000000,1334333000.000000
12M 2020,,,397236034419.000000,268228515327.000000,19701697210.000000,3603402227.000000,195314478301.000000,69243310265.000000,953327437749.000000,,,23782347621.000000,10301989517.000000,,649791168201.000000,93393513474.000000,777269018813.000000,1730596456562.000000,,,397514035472.000000,342256850756.000000,,,342256850756.000000,12356223987.000000,,,12356223987.000000,7442059885.000000,12528618064.000000,,,17402495897.000000,17402495897.000000,5527786883.000000,397514035472.000000,80268968169.000000,,,,,18310568505.000000,18310568505.000000,61958399664.000000,80268968169.000000,477783003641.000000,,133433300000.000000,1223693710389.000000,51001987460.000000,,51001987460.000000,328996900.000000,-155644541828.000000,1252813452921.000000,1730596456562.000000,1334333000.000000
12M 2021,,,323813668062.000000,419301666131.000000,18310227904.000000,1909146745.000000,244375274458.000000,91261928921.000000,1098971912221.000000,,50000000000.000000,18241079278.000000,1823095326.000000,,656068995114.000000,72103538925.000000,798236708643.000000,1897208620864.000000,,,424753994044.000000,387564149467.000000,,,387564149467.000000,8097892745.000000,,,8097892745.000000,6317424718.000000,9575078612.000000,,,7951636614.000000,7951636614.000000,5247811888.000000,424753994044.000000,71645247964.000000,,,,23250000000.000000,8138490932.000000,31388490932.000000,40256757032.000000,71645247964.000000,496399242008.000000,,133433300000.000000,1223693710389.000000,72001656297.000000,,72001656297.000000,308216987.000000,-28627504817.000000,1400809378856.000000,1897208620864.000000,1334333000.000000
