Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,4221793046.000000,9530002605.000000,4282260000.000000,18830281549.000000,,,18830281549.000000,2779855658.000000,19475268282.000000,62862565186.000000,121982026326.000000,,261091053.000000,12324769748.000000,1552653000.000000,770782000.000000,3872439440.000000,18781735241.000000,140763761567.000000,,,47030481685.000000,30551844364.000000,,5528227755.000000,3918050862.000000,9446278617.000000,1266666633.000000,1061200723.000000,1461192334.000000,,2788415340.000000,,2788415340.000000,454883674.000000,47030481685.000000,13834084352.000000,,11234141416.000000,,11234141416.000000,,2599942936.000000,13834084352.000000,60864566037.000000,,27951000000.000000,7126240000.000000,28334088794.000000,,28334088794.000000,28334088794.000000,20879116327.000000,-4391249591.000000,79899195530.000000,140763761567.000000,559020000.000000
12M 2009,,,2385466666.000000,8483176561.000000,5604600000.000000,24580838018.000000,,,24580838018.000000,129208108.000000,43506720432.000000,6004404949.000000,90694414734.000000,,225802612.000000,66641467151.000000,1495147333.000000,987134309.000000,5078536635.000000,74428088040.000000,165122502774.000000,,,64475926403.000000,40983249072.000000,,8277854681.000000,3877381481.000000,12155236162.000000,4330447395.000000,2298334445.000000,1532839251.000000,,2588597056.000000,,2588597056.000000,587223022.000000,64475926403.000000,11735378437.000000,,8667402517.000000,,8667402517.000000,,3067975920.000000,11735378437.000000,76211304840.000000,,27951000000.000000,7126240000.000000,43100367247.000000,,43100367247.000000,43100367247.000000,19386333660.000000,-8652742973.000000,88911197934.000000,165122502774.000000,559020000.000000
12M 2010,,,1698998949.000000,10125012688.000000,16555800000.000000,30787852462.000000,,,30787852462.000000,252557367.000000,55680519953.000000,7396975238.000000,122497716657.000000,,320014538.000000,67542386924.000000,1437641666.000000,860793108.000000,11811930102.000000,81972766338.000000,204470482995.000000,,,69499301764.000000,43277296058.000000,,9072493357.000000,7390829761.000000,16463323118.000000,2130550485.000000,2629609193.000000,1971911491.000000,,2814051845.000000,,2814051845.000000,212559574.000000,69499301764.000000,9771761410.000000,,6817770490.000000,,6817770490.000000,,2953990920.000000,9771761410.000000,79271063174.000000,,27951000000.000000,7126240000.000000,65908472145.000000,200000000.000000,65708472145.000000,65908472145.000000,18677354047.000000,5536353629.000000,125199419821.000000,204470482995.000000,559020000.000000
12M 2011,,,7056318590.000000,10208721022.000000,18795300000.000000,41637314691.000000,,,41637314691.000000,109838302.000000,73015114568.000000,4911830730.000000,155734437903.000000,,313108519.000000,74431794076.000000,1380135999.000000,1129767705.000000,4603064112.000000,81857870411.000000,237592308314.000000,,,81808618930.000000,46634206905.000000,,12220877687.000000,11757106722.000000,23977984409.000000,2835733063.000000,3228691075.000000,2075274992.000000,,2774001683.000000,,2774001683.000000,282726803.000000,81808618930.000000,8138161133.000000,,4029220213.000000,,4029220213.000000,,4108940920.000000,8138161133.000000,89946780063.000000,,34938750000.000000,138490000.000000,87814986686.000000,700000000.000000,87114986686.000000,87814986686.000000,17656071291.000000,7097230274.000000,147645528251.000000,237592308314.000000,698775000.000000
12M 2012,,,6427674775.000000,11590737148.000000,24168486000.000000,49624880131.000000,,,49624880131.000000,79048907.000000,81649066066.000000,6830993386.000000,180370886413.000000,,347401319.000000,85360512949.000000,1322630332.000000,1490281193.000000,5001755223.000000,93522581016.000000,273893467429.000000,,,74814329851.000000,43648580232.000000,,8541885244.000000,8980724390.000000,17522609634.000000,4750913160.000000,836025444.000000,1808302627.000000,,3062733627.000000,,3062733627.000000,3185165127.000000,74814329851.000000,7101330539.000000,,1399649738.000000,,1399649738.000000,,5701680801.000000,7101330539.000000,81915660390.000000,,34938750000.000000,138490000.000000,118893866350.000000,1200000000.000000,117693866350.000000,118893866350.000000,17883513997.000000,20123186692.000000,191977807039.000000,273893467429.000000,698775000.000000
12M 2013,,,9840519275.000000,14074950632.000000,20819148000.000000,62545480155.000000,,,62545480155.000000,87087925.000000,109379000446.000000,12295068621.000000,229041255054.000000,,406918977.000000,104497530455.000000,1265124665.000000,1885501190.000000,6505173748.000000,114560249035.000000,343601504089.000000,,,98355431960.000000,61695780704.000000,,13552868276.000000,10178709286.000000,23731577562.000000,3988197357.000000,1196707547.000000,2711333841.000000,,1328228035.000000,,1328228035.000000,3703606914.000000,98355431960.000000,7538510774.000000,,314200774.000000,,314200774.000000,,7224310000.000000,7538510774.000000,105893942734.000000,,34938750000.000000,138490000.000000,152156976818.000000,1700000000.000000,150456976818.000000,152156976818.000000,18480856350.000000,31992488187.000000,237707561355.000000,343601504089.000000,698775000.000000
12M 2014,,,13222553628.000000,10393646641.000000,26295675000.000000,73793333708.000000,,,73793333708.000000,61375278.000000,162138882145.000000,10533865522.000000,296439331922.000000,,390921817.000000,105345565956.000000,,,9172970875.000000,114909458648.000000,411348790570.000000,,,127248837925.000000,79743850745.000000,,24996296668.000000,12526381582.000000,37522678250.000000,1821192708.000000,1197553256.000000,2932838660.000000,,190901638.000000,,190901638.000000,3839822668.000000,127248837925.000000,10900720681.000000,,369441242.000000,,369441242.000000,1387000473.000000,9144278966.000000,10900720681.000000,138149558606.000000,,34938750000.000000,138490000.000000,185910936610.000000,2200000000.000000,183710936610.000000,185910936610.000000,19193999840.000000,33017055514.000000,273199231964.000000,411348790570.000000,698775000.000000
12M 2015,,,49519815569.000000,9909235850.000000,20732550000.000000,70048850011.000000,,,70048850011.000000,1100891864.000000,114682749936.000000,18061109509.000000,284055202739.000000,,316150525.000000,96595733391.000000,,,8724508845.000000,105636392761.000000,389691595500.000000,,,79594446891.000000,31253168835.000000,,17313568302.000000,13592527032.000000,30906095334.000000,8278222109.000000,606145232.000000,3928506325.000000,,131383813.000000,,131383813.000000,4490925243.000000,79594446891.000000,18135731998.000000,,232481369.000000,,232481369.000000,549044810.000000,17354205819.000000,18135731998.000000,97730178889.000000,,34938750000.000000,138490000.000000,222385991410.000000,2700000000.000000,219685991410.000000,222385991410.000000,19112522729.000000,15385662472.000000,291961416611.000000,389691595500.000000,698775000.000000
12M 2016,,,94849702667.000000,9567151821.000000,20139711000.000000,81737871362.000000,,,81737871362.000000,135760110.000000,124204877915.000000,7009008761.000000,337644083636.000000,,295116835.000000,354771515162.000000,,541107999.000000,9256807076.000000,364864547072.000000,702508630708.000000,,,69110450442.000000,14411744209.000000,,14611637823.000000,8493860014.000000,23105497837.000000,14546715823.000000,1146928808.000000,3508070416.000000,,5975903784.000000,,5975903784.000000,6415589565.000000,69110450442.000000,41393372541.000000,,20723190142.000000,,20723190142.000000,,20670182399.000000,41393372541.000000,110503822983.000000,,34938750000.000000,138490000.000000,312794242512.000000,7200000000.000000,305594242512.000000,312794242512.000000,21661897824.000000,222471427389.000000,592004807725.000000,702508630708.000000,698775000.000000
12M 2017,,,112224189675.000000,10783092044.000000,17567115000.000000,91479657638.000000,91329537970.000000,150119668.000000,91479657638.000000,90770399.000000,171149332500.000000,10322930200.000000,413617087456.000000,,311851485.000000,364850961596.000000,,2507283426.000000,15480462209.000000,383150558716.000000,796767646172.000000,,,91524721725.000000,22786837920.000000,,46707968385.000000,1255483724.000000,47963452109.000000,5055118014.000000,752739045.000000,1518389015.000000,,6600212273.000000,,6600212273.000000,6847973349.000000,91524721725.000000,42425198982.000000,,16469122068.000000,,16469122068.000000,,25956076914.000000,42425198982.000000,133949920707.000000,,34938750000.000000,138490000.000000,385899075653.000000,7200000000.000000,378699075653.000000,385899075653.000000,22502505543.000000,219338904269.000000,662817725465.000000,796767646172.000000,698775000.000000
