Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.13,105.58,1.16,102.80,33 B,11 B,45 B,40 B,75 B
12M 2009,0.80,124.37,0.82,121.69,44 B,9 B,52 B,50 B,26 B
12M 2010,1.08,190.55,1.10,187.98,46 B,7 B,53 B,51 B,53 B
12M 2011,1.51,186.02,1.52,184.05,49 B,4 B,53 B,46 B,74 B
12M 2012,1.40,249.14,1.42,247.25,47 B,1 B,48 B,42 B,106 B
12M 2013,1.24,313.73,1.25,311.92,63 B,0 B,63 B,53 B,131 B
12M 2014,1.42,363.50,1.42,363.50,80 B,0 B,80 B,67 B,169 B
12M 2015,1.02,390.47,1.02,390.47,31 B,0 B,32 B,(18 B),204 B
12M 2016,0.72,816.20,0.72,816.20,20 B,21 B,41 B,(54 B),269 B
12M 2017,0.76,916.34,0.76,916.34,29 B,16 B,46 B,(66 B),322 B
12M 2018,0.85,1002.31,0.85,1000.57,29 B,10 B,40 B,(74 B),370 B
12M 2019,0.91,1181.63,0.91,1180.32,20 B,8 B,28 B,(134 B),416 B
12M 2020,0.95,1321.00,0.95,1320.13,15 B,3 B,18 B,(330 B),484 B
12M 2021,1.02,1428.56,1.02,1427.82,30 B,2 B,32 B,(328 B),561 B
12M 2022,0.91,309.37,0.91,309.30,13 B,0 B,13 B,(379 B),613 B
12M 2023,0.78,318.91,0.78,318.87,5 B,,5 B,(122 B),665 B
12M 2024,0.64,331.74,0.64,331.72,10 B,,10 B,(80 B),704 B
